u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
80.0,95.0,62.5,105.5,78.0,87.5,71.0,87.5,54.5,87.5,60.0,80.0,62.5,79.5
76.5,98.0,59.0,109.0,74.5,90.0,68.0,90.0,52.0,90.0,56.5,83.5,59.5,83.5
78.5,97.0,61.0,107.0,76.5,89.5,70.0,89.0,54.0,89.0,59.0,81.5,61.5,81.5
74.5,100.5,57.0,111.0,72.5,92.5,66.0,93.0,49.5,92.5,55.0,85.0,58.0,85.0
73.5,102.0,56.0,113.0,72.0,93.5,64.5,94.0,48.5,94.5,54.0,86.5,56.5,86.5
73.5,102.0,56.0,113.0,72.0,93.5,65.0,94.0,48.0,94.0,54.0,87.0,56.5,86.5
72.5,103.5,54.5,115.0,70.0,96.0,64.0,96.0,47.0,96.0,52.5,89.0,54.5,89.5
72.5,103.0,55.0,114.0,71.0,95.0,64.0,94.5,48.0,95.0,53.0,88.0,56.0,87.5
78.0,97.5,60.5,108.0,76.0,90.0,69.0,90.0,52.0,90.0,58.0,82.0,60.5,82.5
73.0,102.0,56.0,113.5,71.5,94.5,64.5,94.5,48.0,95.0,54.0,87.0,56.5,87.0
78.5,97.0,61.0,107.0,76.5,89.5,70.0,89.0,53.0,89.0,58.5,81.5,61.5,81.5
75.5,99.5,58.0,110.0,73.5,91.5,66.5,91.5,50.0,92.0,56.0,84.0,58.5,84.0
75.0,99.0,58.0,110.0,73.5,91.5,66.5,91.5,50.0,91.5,56.0,84.0,58.5,84.0
78.5,96.0,61.0,106.5,76.5,88.5,70.0,89.0,53.0,88.0,58.5,81.5,61.0,81.0
78.5,96.0,61.0,106.5,76.5,88.5,70.0,89.0,53.0,88.0,58.5,81.5,61.0,81.0
75.0,97.0,58.0,107.5,73.5,89.5,66.5,89.0,50.0,89.5,56.0,82.0,58.0,82.0
74.5,96.5,56.5,107.5,72.0,89.0,65.0,89.0,49.0,89.0,54.5,81.5,57.0,81.0
74.0,95.5,56.0,107.0,,,65.0,88.0,,,54.5,81.0,56.5,81.0
70.5,93.5,,,,,,,45.5,86.5,52.0,80.0,54.0,79.0
71.0,92.0,54.0,103.0,69.0,85.0,,,45.5,85.0,51.5,77.5,54.5,77.5
72.5,91.5,55.0,101.5,71.0,84.0,64.5,84.0,47.0,84.0,53.0,77.0,55.5,77.0
77.0,93.0,,,75.5,85.0,68.0,85.0,52.0,85.0,57.5,77.5,60.5,77.5
76.0,91.0,59.0,101.0,74.5,83.5,67.5,83.5,51.0,84.0,56.5,76.5,59.0,76.0
77.0,91.0,59.5,101.0,75.0,83.5,68.0,83.0,52.0,83.0,57.0,76.0,60.0,76.0
77.0,90.0,60.0,101.0,75.0,83.0,68.5,83.0,52.0,83.0,57.5,75.5,60.0,76.0
76.0,88.0,58.5,98.0,73.5,80.5,67.0,81.0,50.5,81.5,56.0,74.0,58.5,73.5
76.0,88.0,59.0,99.0,74.5,81.5,68.0,81.5,51.0,81.0,57.0,74.0,59.0,74.0
74.0,85.0,57.0,95.5,72.5,78.0,66.0,78.0,49.5,78.5,54.5,71.5,57.0,71.0
78.0,89.5,60.5,99.5,76.0,82.0,69.0,82.0,52.5,82.0,58.0,75.0,60.5,75.0
74.5,84.0,57.0,94.0,73.0,77.0,66.0,77.0,49.5,77.0,55.0,70.5,57.0,70.0
