x,y,z
7.14,4.87,21.72
8.139999,4.87,21.72
8.139999,4.87,21.72
8.139999,4.87,21.72
8.135004,5.069667,21.62017
8.120067,5.267339,21.52133
8.095336,5.46104,21.42448
8.061061,5.648837,21.33058
8.017582,5.828851,21.24057
7.965335,5.999285,21.15536
7.904842,6.158435,21.07578
7.836707,6.304712,21.00264
7.76161,6.436654,20.93667
7.680302,6.552942,20.87853
7.593596,6.652415,20.82879
7.502357,6.734078,20.78796
7.407499,6.797116,20.75644
7.309967,6.840899,20.73455
7.210737,6.86499,20.7225
7.1108,6.869147,20.72043
7.011155,6.85333,20.72833
6.912798,6.817695,20.74615
6.81671,6.7626,20.7737
6.723853,6.688595,20.8107
6.635154,6.596418,20.85679
6.551499,6.486993,20.9115
6.473724,6.36141,20.97429
6.402606,6.220926,21.04454
6.338856,6.066944,21.12153
6.283111,5.901002,21.2045
6.235928,5.72476,21.29262
6.197777,5.539976,21.38501
6.169042,5.348498,21.48075
6.150007,5.15224,21.57888
6.140865,4.95316,21.67842
6.141705,4.753251,21.77837
6.15252,4.554508,21.87774
6.173202,4.358917,21.97554
6.203543,4.168433,22.07078
6.243241,3.984959,22.16252
6.2919,3.810328,22.24984
6.349032,3.646284,22.33186
6.414068,3.494467,22.40777
6.486356,3.356395,22.4768
6.565176,3.233445,22.53828
6.649739,3.126848,22.59158
6.739201,3.037668,22.63617
6.832667,2.966796,22.6716
6.929204,2.914939,22.69753
7.027848,2.882618,22.71369
7.127612,2.870153,22.71992
7.227499,2.877671,22.71616
7.326513,2.905095,22.70245
7.423662,2.952151,22.67892
7.517978,3.018371,22.64581
7.608517,3.103091,22.60345
7.694375,3.205465,22.55227
7.774693,3.324471,22.49276
7.84867,3.458919,22.42554
7.915566,3.607467,22.35126
7.974713,3.768629,22.27069
8.025519,3.940796,22.1846
8.067478,4.122248,22.09388
8.10017,4.311169,21.99941
8.123268,4.505676,21.90216
8.136542,4.703823,21.80309
8.139858,4.903628,21.70319
8.133184,5.103099,21.60345
8.116588,5.30024,21.50488
8.090232,5.493083,21.40846
8.054383,5.679699,21.31515
8.009398,5.858228,21.22589
7.955725,6.02688,21.14156
7.893902,6.183974,21.06301
7.824546,6.327939,20.99103
7.748351,6.457336,20.92633
7.666077,6.570873,20.86956
7.578547,6.667416,20.82129
7.486634,6.746,20.782
7.391259,6.80584,20.75208
7.293373,6.846336,20.73183
7.193955,6.867086,20.72146
7.093997,6.867883,20.72106
6.9945,6.848716,20.73064
6.896455,6.809779,20.75011
6.800844,6.751461,20.77927
6.708622,6.674343,20.81783
6.620711,6.579197,20.8654
6.537988,6.466974,20.92151
6.461279,6.338794,20.9856
6.391353,6.195937,21.05703
6.328907,6.039834,21.13508
6.274564,5.872041,21.21898
6.228869,5.694235,21.30788
6.192278,5.508196,21.4009
6.165156,5.315778,21.49711
6.147775,5.118908,21.59554
6.140307,4.919549,21.69522
6.142828,4.719697,21.79515
6.155312,4.521346,21.89433
6.177635,4.326477,21.99176
6.209574,4.13704,22.08648
6.250809,3.954927,22.17754
6.300928,3.781958,22.26402
6.359432,3.619858,22.34507
6.425735,3.470249,22.41987
6.499174,3.334628,22.48769
6.579016,3.214346,22.54783
6.664464,3.110608,22.5997
6.754662,3.024449,22.64277
6.848711,2.956729,22.67663
6.94567,2.908127,22.70094
7.044571,2.879127,22.71544
7.144425,2.870019,22.71999
7.244236,2.880895,22.71455
7.343006,2.911645,22.69918
7.439746,2.961962,22.67402
7.533491,3.031343,22.63933
7.623305,3.119096,22.59545
7.70829,3.224343,22.54283
7.787597,3.346034,22.48198
7.860433,3.482951,22.41352
7.926071,3.633727,22.33814
7.983854,3.796854,22.25657
8.033207,3.970707,22.16965
8.073634,4.153543,22.07823
8.104733,4.343538,21.98323
8.126192,4.538795,21.8856
8.137798,4.737358,21.78632
8.139435,4.937247,21.68638
8.131084,5.136466,21.58677
8.112832,5.333022,21.48849
8.08486,5.52495,21.39252
8.047446,5.710334,21.29983
8.000966,5.887323,21.21134
7.945883,6.054148,21.12793
7.882749,6.20914,21.05043
7.812193,6.350751,20.97962
7.734921,6.477569,20.91621
7.651703,6.588325,20.86084
7.563374,6.68191,20.81404
7.470814,6.757392,20.7763
7.374948,6.814015,20.74799
7.276736,6.851215,20.72939
7.177158,6.868619,20.72069
7.077208,6.866053,20.72197
6.977884,6.843544,20.73323
6.880182,6.801315,20.75434
6.785076,6.73979,20.7851
6.693515,6.659582,20.82521
6.606415,6.561493,20.87425
6.524647,6.446504,20.93175
6.449028,6.315763,20.99712
6.380311,6.170573,21.06971
6.319186,6.012392,21.1488
6.266263,5.842796,21.2336
6.222069,5.663479,21.32326
6.187047,5.476233,21.41688
6.161546,5.282933,21.51353
6.145822,5.085506,21.61225
6.140032,4.885925,21.71204
6.144232,4.686184,21.81191
6.158382,4.488282,21.91086
6.182341,4.294193,22.0079
6.215867,4.105856,22.10207
6.258628,3.925155,22.19242
6.310194,3.753897,22.27805
6.370053,3.593784,22.35811
6.437604,3.446426,22.43179
6.512174,3.313293,22.49835
6.593015,3.195715,22.55714
6.679322,3.094865,22.60757
6.770233,3.011751,22.64912
6.864837,2.947205,22.6814
6.962191,2.90187,22.70406
7.061322,2.8762,22.7169
7.16124,2.870451,22.71977
7.260945,2.884681,22.71266
7.35944,2.918748,22.69563
7.455744,2.972311,22.66884
7.548893,3.044836,22.63258
7.637957,3.135597,22.5872
7.722045,3.243687,22.53316
7.800318,3.368028,22.47099
7.871993,3.507376,22.40131
7.936353,3.660336,22.32483
7.992757,3.825385,22.24231
8.040641,4.000871,22.15456
8.079525,4.185039,22.06248
8.109022,4.376053,21.96697
8.128838,4.572003,21.869
8.138772,4.770931,21.76953
8.138728,4.970848,21.66957
8.128704,5.169755,21.57012
8.108802,5.365669,21.47216
8.07922,5.556631,21.37668
8.040254,5.740733,21.28463
7.992291,5.916134,21.19693
7.935814,6.081083,21.11446
7.871385,6.233931,21.03803
7.799649,6.373148,20.96843
7.721321,6.497349,20.90632
7.637184,6.605289,20.85235
7.548082,6.69589,20.80705
7.4549,6.76825,20.77087
7.358572,6.821641,20.74418
7.260061,6.855533,20.72723
7.160349,6.869586,20.72021
7.060436,6.863659,20.72317
6.961317,6.837813,20.73609
6.863982,6.792305,20.75885
6.769405,6.72759,20.7912
6.678532,6.644314,20.83284
6.592269,6.543309,20.88334
6.511479,6.425585,20.94221
6.43697,6.292321,21.00884
6.369485,6.144843,21.08258
6.309698,5.984628,21.16269
6.258208,5.813278,21.24836
6.215528,5.6325,21.33875
6.182085,5.444104,21.43295
6.158213,5.249971,21.53001
6.144151,5.052042,21.62898
6.140039,4.852297,21.72885
6.145919,4.652722,21.82864
6.16173,4.455326,21.92734
6.187317,4.262069,22.02397
6.222423,4.074886,22.11756
6.266696,3.895648,22.20718
6.319695,3.726145,22.29193
6.38089,3.568074,22.37096
6.449671,3.423009,22.44349
6.525349,3.292401,22.5088
6.607167,3.177559,22.56622
6.69431,3.079625,22.61519
6.785907,2.999579,22.65521
6.881042,2.938223,22.68589
6.978764,2.896168,22.70691
7.078096,2.873836,22.71808
7.178048,2.871448,22.71927
7.277617,2.889029,22.71049
7.375814,2.926404,22.6918
7.471654,2.983198,22.6634
7.564179,3.058843,22.62558
7.652469,3.152588,22.5787
7.735636,3.263492,22.52325
7.812851,3.390444,22.45978
7.883345,3.532182,22.38891
7.946409,3.687285,22.31136
8.001419,3.854211,22.22789
8.04782,4.03128,22.13936
8.085152,4.216735,22.04663
8.113038,4.408711,21.95064
8.131203,4.6053,21.85235
8.139464,4.80453,21.75274
8.137739,5.004417,21.65279
8.126045,5.202959,21.55352
8.104498,5.39818,21.45591
8.073315,5.588117,21.36094
8.032805,5.770885,21.26956
7.983376,5.944649,21.18267
7.92552,6.107672,21.10116
7.859815,6.258331,21.02583
7.786919,6.395117,20.95744
7.707557,6.516668,20.89667
7.622526,6.621763,20.84412
7.532671,6.709358,20.80032
7.438896,6.778571,20.76571
7.342133,6.828716,20.74064
7.243352,6.85929,20.72536
7.143537,6.869987,20.72001
7.043688,6.860703,20.72465
6.944798,6.831526,20.73924
6.847861,6.782752,20.76362
6.75384,6.714864,20.79757
6.66368,6.628543,20.84073
6.578279,6.524654,20.89267
6.498491,6.404231,20.95288
6.425113,6.26848,21.02076
6.358875,6.118751,21.09562
6.300445,5.95655,21.17672
6.250401,5.783486,21.26326
6.209248,5.601302,21.35435
6.177393,5.411808,21.44909
6.155158,5.216904,21.54655
6.142761,5.018529,21.64573
6.140329,4.818675,21.74566
6.147886,4.619326,21.84534
6.165356,4.422481,21.94376
6.192563,4.230116,22.03994
6.229237,4.04414,22.13293
6.275011,3.866419,22.22179
6.329428,3.698723,22.30564
6.391943,3.542732,22.38363
6.461934,3.399998,22.455
6.538698,3.271956,22.51902
6.621473,3.159877,22.57506
6.709426,3.064889,22.62255
6.801682,2.987936,22.66103
6.897317,2.929788,22.69011
6.995379,2.891026,22.70949
7.094884,2.872036,22.71898
7.194844,2.87301,22.71849
7.294255,2.893938,22.70803
7.392121,2.934609,22.68769
7.487471,2.994618,22.65769
7.579346,3.073364,22.61832
7.666834,3.170063,22.56997
7.749056,3.283745,22.51313
7.825195,3.413281,22.44836
7.894486,3.557368,22.37632
7.95624,3.714575,22.29771
8.009836,3.883321,22.21334
8.054743,4.061928,22.12403
8.090508,4.248606,22.0307
8.116778,4.441496,21.93425
8.133288,4.638672,21.83566
8.139874,4.838151,21.73592
8.136467,5.037956,21.63602
8.123106,5.236076,21.53696
8.099921,5.430542,21.43973
8.067145,5.619402,21.3453
8.025105,5.800779,21.25461
7.974223,5.972853,21.16857
7.915003,6.133914,21.08804
7.848042,6.28234,21.01383
7.774004,6.416659,20.94667
7.693634,6.535521,20.88724
7.607732,6.637741,20.83613
7.517157,6.722299,20.79385
7.42281,6.788352,20.76082
7.325636,6.835237,20.73738
7.226613,6.862484,20.72376
7.126719,6.869823,20.72009
