u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
74.0,94.0,57.0,105.0,72.5,87.0,66.0,87.0,49.0,87.0,54.5,79.5,57.5,79.5
74.5,95.5,57.0,106.0,72.5,87.5,66.0,88.0,49.0,88.0,55.0,81.0,57.0,81.0
74.5,97.0,57.0,108.0,72.5,89.5,66.0,90.0,49.5,89.5,54.5,82.0,57.5,82.0
75.0,98.0,57.0,109.0,72.5,91.0,66.0,91.0,50.0,91.0,54.5,83.5,58.0,84.0
75.0,100.0,57.5,111.0,73.0,92.0,66.5,92.5,50.0,92.5,55.0,85.0,58.0,85.0
75.0,101.5,58.0,112.5,73.0,94.0,66.5,94.0,50.0,94.0,55.5,87.0,58.5,87.0
75.5,103.0,58.0,114.0,73.0,95.0,67.0,95.0,50.5,95.0,56.0,88.0,58.5,88.5
76.0,104.0,59.0,116.0,74.0,97.0,67.0,97.0,51.0,97.0,56.0,89.0,59.0,89.0
76.5,106.0,59.0,117.0,74.0,98.0,68.0,98.0,51.0,98.0,57.0,90.0,59.5,90.5
77.0,107.0,60.0,118.0,75.0,98.5,68.0,98.0,51.5,98.5,57.0,91.0,60.0,91.0
78.0,108.0,60.0,119.0,76.0,99.0,69.0,99.5,53.0,100.0,57.5,92.0,61.0,92.0
78.0,108.0,61.0,120.0,75.5,100.5,69.5,100.5,53.5,100.5,58.0,93.0,61.5,92.5
79.0,109.0,61.5,120.5,77.0,101.0,70.0,101.0,54.0,101.0,59.0,93.5,62.0,93.0
80.0,109.0,62.0,121.0,77.0,102.0,71.0,102.0,54.0,101.5,60.0,94.0,62.0,93.5
80.0,110.0,63.0,122.0,77.5,102.5,71.5,102.5,55.5,102.5,60.0,94.0,63.0,95.0
81.5,110.5,63.5,121.5,79.0,102.0,71.5,102.5,55.5,102.5,61.5,94.5,63.5,94.5
81.5,110.5,65.0,122.0,79.5,102.5,73.0,102.0,57.0,102.0,61.5,94.5,64.0,94.0
83.0,110.0,65.0,122.0,79.5,102.5,73.0,102.0,57.0,102.0,62.0,95.0,65.0,94.0
83.5,110.5,66.0,122.0,80.0,102.0,73.0,102.0,57.5,102.0,63.0,95.0,65.0,94.0
84.0,110.0,67.0,121.0,81.0,103.0,75.0,101.5,58.5,101.0,64.0,94.0,66.5,94.0
85.0,109.0,68.0,120.0,82.0,101.0,75.5,100.5,59.5,100.5,64.0,93.0,67.0,93.0
85.5,108.5,68.0,119.0,83.0,100.0,76.0,100.0,60.0,100.0,65.5,92.5,67.5,92.5
86.0,107.0,69.0,118.0,83.0,99.0,77.0,99.0,60.0,99.0,66.0,91.5,68.0,91.0
85.5,106.5,69.0,117.0,83.5,98.5,77.5,98.5,61.0,98.0,65.5,90.5,69.0,90.0
86.0,106.0,69.5,116.5,84.0,98.0,77.5,97.5,62.0,97.0,66.0,89.5,69.0,90.0
87.0,104.0,70.0,114.0,85.0,96.5,78.0,97.0,61.0,96.0,67.0,88.0,69.5,88.5
