u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
81.0,94.0,64.5,104.5,79.0,87.0,72.5,87.0,56.0,87.0,61.5,80.0,64.0,80.0
80.5,95.0,64.0,105.0,78.5,87.5,72.5,87.5,56.0,87.0,61.0,80.0,64.0,80.0
80.0,95.0,63.0,106.0,78.0,88.0,71.0,88.0,55.0,87.0,60.5,80.5,63.5,80.0
80.0,96.0,62.0,106.0,77.5,88.5,71.0,88.0,54.5,88.0,60.0,81.0,62.5,81.5
79.0,97.0,62.0,107.0,77.0,89.0,70.0,89.0,54.0,89.0,59.5,81.5,62.0,81.0
78.5,97.0,61.0,107.5,76.5,89.5,70.0,89.0,53.0,89.5,59.0,82.0,61.5,81.5
78.0,97.5,60.5,108.0,76.0,90.0,69.0,90.0,52.5,90.0,58.5,82.0,61.0,82.0
78.0,98.0,60.5,109.0,76.0,90.0,68.5,90.0,52.5,90.0,58.0,83.0,60.0,83.0
77.0,98.0,60.0,109.0,75.0,91.0,68.0,91.0,51.5,90.5,57.5,83.5,60.0,83.0
76.5,99.0,59.0,110.0,74.5,91.5,68.0,91.0,51.0,91.0,57.0,84.0,59.5,83.5
76.5,99.5,58.5,110.0,74.5,91.5,67.5,91.5,50.5,91.5,57.0,84.0,59.0,84.0
75.5,99.5,58.0,111.0,74.0,92.0,67.0,92.0,50.5,91.5,56.5,84.5,58.5,84.5
75.5,99.5,58.0,111.0,74.0,92.0,66.5,92.5,50.0,92.0,56.0,84.5,58.5,84.5
75.0,100.0,57.5,111.5,73.0,92.0,66.5,92.5,50.0,92.0,56.0,85.5,58.0,85.0
75.0,101.0,57.0,112.0,73.0,93.0,66.0,93.0,49.0,93.0,55.0,85.0,57.5,85.5
74.0,101.0,56.5,111.5,72.0,93.0,65.5,93.5,48.5,93.5,54.5,85.5,57.0,86.0
74.0,101.0,56.0,112.0,72.5,93.5,65.0,93.5,48.5,93.5,54.5,85.5,56.5,85.5
73.5,101.5,56.5,112.0,72.0,93.0,65.0,94.0,48.5,93.5,54.0,86.0,56.5,85.5
73.5,101.5,56.0,112.0,72.0,93.5,64.5,93.5,48.0,94.0,54.0,86.0,56.0,86.0
73.0,101.5,55.5,112.5,72.0,93.0,64.5,93.5,48.0,93.5,54.0,86.0,56.5,86.0
72.5,101.5,,,71.0,94.0,64.0,94.0,47.0,94.0,54.0,86.0,56.0,86.0
72.5,101.5,54.5,113.5,70.5,94.0,64.0,93.5,47.0,94.0,53.0,86.5,55.5,86.5
72.5,101.5,54.5,113.5,70.5,94.0,63.5,93.5,47.0,94.0,53.0,87.0,55.5,86.5
72.5,101.5,54.5,113.5,70.5,94.0,63.5,93.5,46.5,94.5,53.0,87.0,55.0,86.0
72.0,102.0,54.0,113.0,70.0,94.0,63.0,94.0,46.5,94.0,52.5,87.0,55.0,87.0
71.5,101.5,54.0,113.0,70.0,94.0,63.0,94.0,46.5,94.0,52.5,87.0,54.5,86.5
71.5,101.5,54.0,113.0,70.0,94.0,63.0,94.0,46.5,94.0,52.5,86.5,54.5,86.5
71.5,101.5,54.0,113.0,69.5,93.5,62.5,93.5,46.0,94.0,52.0,86.0,54.5,86.5
71.5,101.5,54.0,112.0,69.5,93.5,62.5,93.5,46.0,93.5,52.0,86.0,54.5,86.0
71.0,101.0,53.5,112.0,69.5,93.5,62.5,93.5,46.0,93.5,52.0,86.0,54.5,85.5
71.0,101.0,53.5,112.0,69.0,93.0,62.5,93.5,46.0,93.5,52.0,86.0,54.5,85.5
71.0,100.5,53.5,111.5,69.0,93.0,62.5,93.0,46.0,93.0,52.0,85.5,54.5,85.5
71.0,100.0,53.5,111.5,69.5,92.5,62.5,92.5,46.0,93.0,52.0,85.0,54.5,85.5
71.0,99.5,53.5,111.0,69.0,92.0,62.5,92.0,46.0,92.0,51.5,85.5,54.0,85.0
71.0,99.5,53.5,110.0,69.0,91.5,62.0,92.0,46.0,92.0,51.0,85.0,54.5,84.5
71.0,99.5,53.5,110.0,69.0,91.0,62.5,91.5,46.0,91.5,52.0,85.0,54.5,84.0
71.0,98.0,54.0,109.0,69.0,91.0,62.5,91.0,46.0,91.0,52.0,84.0,54.5,83.5
71.0,98.0,54.0,109.0,69.0,90.0,62.5,90.0,46.0,91.0,52.0,83.0,54.0,83.0
71.0,97.5,54.0,108.0,69.5,89.5,62.5,90.0,46.5,90.0,52.0,83.0,54.5,83.0
71.5,97.0,54.0,107.5,70.0,89.0,62.5,89.5,46.5,89.5,52.0,82.0,54.5,82.0
72.0,96.0,54.5,107.0,70.0,89.0,63.0,89.0,46.5,89.5,52.5,81.5,55.0,81.5
72.0,95.5,54.5,106.0,70.0,88.0,63.0,89.0,47.0,88.5,52.5,81.5,55.0,81.0
72.0,95.0,55.0,106.0,70.0,87.5,64.0,88.0,47.0,88.0,53.0,81.0,55.0,81.0
72.5,94.0,55.0,105.0,70.5,87.0,64.0,87.0,48.0,87.0,53.0,80.0,56.0,80.0
73.0,94.0,56.0,104.0,71.0,86.0,64.0,87.0,48.0,87.0,53.5,79.5,56.5,79.5
73.0,93.0,56.0,103.0,71.0,86.0,64.5,86.0,48.5,86.0,54.0,79.0,56.5,79.0
73.0,92.0,56.0,103.0,71.0,85.0,65.0,85.5,49.0,85.0,54.0,78.0,57.0,78.0
74.0,91.5,57.0,102.0,72.0,85.0,65.0,85.0,49.0,85.0,54.0,78.0,57.0,77.5
74.0,91.0,57.0,101.0,72.0,84.0,66.0,84.0,50.0,84.0,55.0,77.0,57.5,77.0
74.5,90.0,58.0,100.5,72.5,83.0,66.0,83.0,50.0,83.0,55.0,76.5,58.0,76.0
75.0,90.0,58.0,100.0,73.0,82.5,67.0,83.0,50.5,82.5,55.5,76.0,58.5,76.0
75.5,89.0,58.5,99.0,73.0,82.0,67.0,82.0,51.0,82.0,56.0,75.0,59.0,75.0
76.0,88.5,59.0,99.0,74.0,81.5,67.5,81.5,51.0,81.5,56.5,75.0,59.0,75.0
76.0,88.0,59.5,98.0,74.0,81.0,68.0,81.0,52.0,81.0,57.0,74.0,60.0,74.0
77.0,87.0,60.0,98.0,75.0,80.5,68.5,80.5,52.5,80.5,57.0,74.0,60.0,74.0
77.0,87.0,61.0,97.0,75.0,80.0,69.0,80.0,53.0,80.0,58.0,73.5,61.0,73.0
78.0,86.0,61.0,97.0,76.0,79.5,69.5,79.5,53.5,79.5,58.0,73.0,61.0,73.0
78.0,86.0,62.0,96.0,76.0,79.0,70.0,79.0,54.0,79.0,59.0,72.0,62.0,72.0
79.0,86.0,62.0,96.0,77.0,79.0,70.5,79.0,54.5,79.0,59.0,72.0,62.0,72.0
80.0,85.0,63.5,95.5,77.0,79.0,71.0,79.0,55.0,78.5,60.0,72.0,62.5,72.0
80.0,85.0,64.0,95.0,78.0,78.5,72.0,78.0,56.0,78.0,61.0,71.5,63.5,71.5
81.0,85.0,64.0,95.0,79.0,78.0,72.0,78.0,56.0,78.0,61.5,71.5,64.0,71.0
81.0,85.0,64.0,94.5,79.0,78.0,73.0,78.0,56.0,78.0,61.5,71.0,64.0,71.0
82.0,85.0,65.0,94.5,80.0,78.0,73.5,78.0,56.0,78.0,62.0,71.0,64.5,70.5
82.0,84.5,65.0,94.5,80.0,78.0,74.0,78.0,57.0,78.0,63.0,71.0,65.0,71.0
83.0,85.0,65.0,95.0,81.0,78.0,74.0,78.0,57.0,78.0,63.0,71.0,65.0,71.0
83.0,84.5,66.0,95.0,81.0,78.0,74.0,78.0,58.0,78.0,63.0,71.0,66.0,71.0
83.0,85.0,66.0,95.0,81.5,78.0,75.0,78.0,58.0,78.0,64.0,71.0,66.0,71.0
83.0,85.0,66.5,94.5,82.0,78.5,75.0,78.0,58.5,78.0,64.0,71.0,66.0,71.0
84.0,85.0,67.0,95.0,82.0,78.0,75.0,78.0,59.0,78.0,64.0,71.0,66.5,71.0
84.0,86.0,67.5,95.5,83.0,79.0,75.5,78.5,60.0,78.0,65.0,71.0,67.5,71.5
85.0,86.0,68.0,96.0,83.0,79.0,76.0,79.0,60.0,79.0,65.0,72.0,68.0,72.0
85.0,86.5,68.0,96.0,83.0,79.0,77.0,79.0,60.5,79.0,65.0,72.0,68.0,72.0
85.0,87.0,69.0,97.0,84.0,80.0,77.5,79.5,61.0,79.0,65.5,72.5,69.0,72.0
86.0,87.0,69.0,97.0,84.0,80.0,78.0,80.0,61.0,79.5,66.0,73.0,69.0,73.0
86.0,88.0,70.0,98.0,84.5,80.5,78.0,80.5,61.0,80.0,66.0,73.0,69.0,73.5
87.0,88.0,70.0,98.0,85.0,81.0,78.5,81.0,61.5,80.5,67.0,74.0,69.5,73.5
87.5,89.0,70.0,99.0,85.0,82.0,79.0,81.0,62.0,81.0,67.0,74.0,70.0,74.0
88.0,89.0,70.0,99.0,86.0,82.0,78.5,82.0,62.0,81.5,68.0,75.0,70.0,75.0
88.0,90.0,70.5,100.0,86.0,83.0,78.5,82.5,62.0,82.0,68.0,75.5,70.0,75.0
88.0,90.0,71.0,100.0,86.0,83.0,79.0,83.0,62.0,83.0,68.0,75.5,70.0,76.0
88.0,91.0,71.0,101.0,86.5,84.0,79.0,83.5,62.5,83.0,68.5,76.0,70.0,76.0
88.5,92.0,71.0,102.0,87.0,84.0,79.0,84.0,62.5,84.0,68.5,77.0,70.0,77.0
89.0,93.0,71.0,102.5,86.5,85.0,80.0,85.0,62.5,84.5,68.5,77.5,70.5,77.0
89.0,93.0,71.5,103.0,86.5,85.5,80.0,85.0,63.0,85.0,69.0,78.0,70.5,78.0
89.0,94.0,72.0,103.5,87.0,86.0,80.0,86.0,63.0,85.5,68.5,78.5,70.5,78.0
89.0,94.0,72.0,104.0,87.0,87.0,80.0,86.0,62.5,86.0,69.0,79.0,71.0,79.0
89.5,95.0,72.0,105.0,87.0,87.5,80.0,87.0,63.0,87.0,69.0,79.5,71.0,80.0
89.5,95.5,72.0,106.0,87.0,88.0,81.0,88.0,63.5,87.5,69.0,80.0,71.0,80.0
90.0,96.0,72.0,106.0,87.5,88.5,80.5,88.0,63.0,88.0,69.0,81.0,71.0,80.0
90.0,97.0,72.0,107.0,88.0,89.0,81.0,89.0,64.0,88.5,69.0,81.0,72.0,81.5
90.0,97.0,72.0,107.0,88.0,89.0,80.5,89.5,64.0,89.0,69.0,81.5,72.0,81.5
90.0,98.0,72.5,108.0,88.0,89.5,80.5,90.0,64.0,89.5,69.0,82.0,72.0,82.0
90.0,98.0,72.5,108.5,88.0,91.0,81.0,90.0,64.0,90.0,69.5,83.0,72.0,83.0
90.0,99.0,72.5,109.0,88.0,91.5,81.0,91.0,64.0,90.5,69.0,83.0,72.0,84.0
90.0,99.5,72.5,110.0,88.0,92.0,80.5,91.5,64.0,91.0,69.5,84.0,72.0,83.5
90.0,100.0,72.5,110.0,88.0,92.5,80.5,92.0,64.0,91.5,69.0,84.0,72.0,84.0
90.0,101.0,72.5,111.0,88.0,93.0,81.0,92.0,64.0,91.5,70.0,85.0,72.0,85.0
90.0,101.0,72.5,111.0,88.0,93.5,81.0,93.0,64.0,92.0,70.0,85.0,72.0,85.0
90.0,101.5,72.5,112.0,88.0,93.5,80.5,93.5,64.0,93.0,70.0,86.0,72.0,85.0
90.0,102.0,72.5,112.5,88.0,94.0,81.0,94.0,64.0,93.0,69.0,86.0,72.0,85.5
90.0,102.0,72.5,112.5,88.0,94.5,80.0,94.0,64.0,94.0,69.0,86.5,72.0,86.0
90.0,103.0,72.5,113.0,88.0,95.0,80.5,94.5,63.0,94.0,69.0,87.0,71.5,86.0
90.0,103.0,72.0,113.0,87.5,95.0,80.5,95.0,63.5,94.0,69.0,87.5,71.0,87.0
90.0,103.0,72.0,114.0,87.0,95.5,80.5,95.0,64.0,94.0,69.0,87.5,71.0,87.0
89.5,103.5,72.0,114.0,87.0,96.0,80.0,95.0,63.0,95.0,69.0,87.5,71.0,87.0
89.0,104.0,72.0,114.0,87.0,95.5,80.0,95.0,63.0,95.0,69.0,88.0,71.0,87.0
89.0,104.0,72.0,114.0,87.0,95.5,80.0,95.0,63.0,95.0,69.0,88.0,71.0,88.0
89.0,104.0,72.0,114.0,87.0,96.0,80.0,95.5,63.0,95.0,68.0,88.0,71.0,88.0
89.0,104.0,72.0,114.0,86.5,96.5,79.5,95.5,63.0,95.0,68.0,88.0,71.0,88.0
89.0,104.0,71.0,114.0,86.0,96.0,79.0,96.0,63.0,95.0,68.0,88.0,70.5,88.0
88.0,104.0,71.0,114.0,86.0,96.0,79.0,96.0,63.0,95.0,68.0,88.0,70.0,88.0
88.0,104.0,71.0,114.0,86.0,96.0,79.0,96.0,63.0,95.0,68.0,88.0,70.0,88.0
88.0,104.0,70.5,114.0,85.5,96.0,79.0,96.0,62.0,95.0,67.0,88.0,70.0,88.0
87.0,103.0,70.5,114.0,85.0,96.0,79.0,96.0,62.0,95.0,67.0,88.0,70.0,88.0
87.0,103.0,70.0,113.0,84.5,95.5,78.0,95.0,62.0,95.0,67.0,88.0,69.5,87.5
87.0,103.0,70.0,113.0,84.0,95.0,78.0,95.0,61.0,94.5,66.0,87.0,69.0,87.0
86.0,102.0,69.0,113.0,84.0,95.0,77.0,94.0,61.0,94.0,66.0,87.0,69.0,87.0
85.5,101.5,69.0,112.0,83.0,94.0,77.0,94.0,60.5,93.0,65.5,87.0,68.0,86.0
85.0,101.0,68.0,111.0,83.0,94.0,76.0,93.0,60.0,93.0,65.0,87.0,68.0,86.0
85.0,100.5,68.0,111.0,82.0,93.0,76.0,93.0,60.0,92.0,65.0,86.0,67.0,85.0
84.0,100.0,67.0,110.0,82.0,92.0,75.0,92.0,59.0,92.0,64.0,85.0,67.0,85.0
84.0,99.0,67.0,109.0,82.0,92.0,75.0,92.0,59.0,91.0,64.0,84.5,66.5,84.5
83.5,98.0,66.0,108.5,81.0,91.0,74.5,90.5,58.0,90.0,63.5,84.0,66.0,84.0
83.0,98.0,66.0,108.0,80.5,90.5,74.0,90.0,58.0,90.0,63.0,83.0,66.0,83.0
82.0,97.0,65.5,107.0,80.0,89.5,73.5,89.5,57.0,89.0,62.0,82.0,65.0,82.0
82.0,96.0,65.0,106.5,79.5,89.0,73.0,89.0,57.0,88.0,62.0,82.0,65.0,81.5
81.0,95.0,64.0,106.0,79.0,88.0,73.0,88.0,56.0,88.0,61.5,81.0,64.5,81.0
81.0,94.0,64.0,105.0,78.0,87.0,72.0,87.0,56.0,87.0,61.0,80.0,64.0,80.0
80.0,93.0,63.0,104.0,78.0,86.5,71.0,86.0,55.0,86.0,60.0,79.5,63.0,79.0
79.0,93.0,63.0,103.0,77.0,86.0,71.0,86.0,55.0,86.0,60.0,79.0,62.5,79.0
79.0,92.0,62.0,102.0,77.0,85.0,70.0,85.0,54.0,85.0,59.0,78.0,62.0,78.0
78.0,91.0,61.5,101.5,76.0,84.0,70.0,84.0,54.0,84.0,59.0,77.0,62.0,77.0
78.0,90.0,61.0,100.5,76.0,83.0,69.0,83.0,53.0,83.0,58.0,77.0,61.0,76.0
77.0,90.0,60.0,100.0,75.0,83.0,69.0,83.0,52.5,82.5,58.0,76.0,60.5,76.0
