x,y,z
7.14,4.87,21.72
7.065195,4.830232,21.77313
7.065195,4.830232,21.77313
7.065195,4.830232,21.77313
6.970021,4.716683,21.84946
7.06405,4.682744,21.7161
7.140676,4.828905,21.73941
7.010997,4.905553,21.81072
6.974235,5.025064,21.70053
7.07996,5.141083,21.6445
6.988766,5.02138,21.71614
6.946393,4.914441,21.59553
6.983772,5.038075,21.4902
6.874657,4.950011,21.58029
6.872295,4.816112,21.6795
6.764677,4.917448,21.75649
6.636437,4.98009,21.84256
6.728188,5.037591,21.96926
6.604726,5.087716,21.86915
6.639822,5.072798,21.7069
6.5427,5.197027,21.65294
6.407331,5.201802,21.75005
6.290617,5.083265,21.76028
6.166566,5.075145,21.64927
6.283522,5.193249,21.637
6.133008,5.223917,21.57233
6.235125,5.355368,21.58073
6.152826,5.222486,21.63859
6.216042,5.212324,21.48471
6.148987,5.125342,21.61007
6.293791,5.173898,21.54335
6.13036,5.166738,21.51147
6.198714,5.035904,21.58885
6.296308,4.908649,21.54347
6.404807,5.026206,21.59023
6.485005,5.148962,21.66945
6.587947,5.148393,21.53838
6.574804,4.996113,21.47193
6.446615,4.917429,21.40013
6.312078,4.988015,21.46866
6.188323,5.047392,21.56319
6.065805,5.041107,21.67601
6.12769,4.897655,21.61796
6.084482,4.939064,21.46241
5.959297,4.859432,21.38648
5.911293,4.751797,21.50433
6.061663,4.727241,21.57188
6.178483,4.797099,21.4757
6.078453,4.666943,21.50453
6.221545,4.713272,21.43272
6.23114,4.857799,21.35027
6.258695,4.989104,21.25139
6.180198,5.096303,21.15077
6.278799,5.077606,21.28384
6.265068,5.202186,21.3937
6.202441,5.117939,21.26424
6.11221,5.021392,21.16268
6.036164,5.145696,21.24357
6.083436,5.028303,21.13512
6.037554,5.127914,21.00962
6.005439,5.20312,21.15484
6.040079,5.283205,21.01284
6.162459,5.196023,20.94073
6.179182,5.0892,21.06756
6.231431,4.977503,21.17969
6.335802,5.077732,21.26238
6.301807,5.236165,21.22338
6.34079,5.380776,21.15027
6.358145,5.535782,21.09153
6.328004,5.688019,21.03076
6.233499,5.775734,20.92515
6.306999,5.864096,20.80446
6.314872,5.739527,20.69401
6.237157,5.600456,20.74297
6.229901,5.746067,20.82374
6.26588,5.798952,20.66983
6.409529,5.8728,20.62873
6.442411,6.015807,20.70776
6.380114,6.138862,20.6142
6.439187,6.016825,20.71112
6.556477,5.997215,20.59435
6.504818,6.040623,20.74675
6.413883,6.091682,20.87675
6.39808,6.251397,20.83181
6.486267,6.132673,20.75496
6.644106,6.184776,20.74272
6.557582,6.284695,20.6412
6.451938,6.172511,20.70469
6.30085,6.109026,20.73503
6.404105,6.225382,20.67521
6.311011,6.108538,20.7491
6.342002,5.9508,20.7051
6.293746,5.848989,20.58228
6.406488,5.80101,20.4693
6.290447,5.69695,20.52832
6.239532,5.562239,20.61222
6.354568,5.484657,20.70455
6.18825,5.474754,20.70878
6.117677,5.503592,20.85699
6.03581,5.622211,20.94069
5.993162,5.755584,20.85029
5.871431,5.642251,20.86103
6.019987,5.7145,20.88314
6.115889,5.637198,20.99541
6.081539,5.529256,20.87316
6.016879,5.682752,20.87914
6.106427,5.796371,20.96191
6.151656,5.671106,20.8617
6.267112,5.760356,20.78119
6.269717,5.600986,20.73249
6.370533,5.537813,20.61577
6.516446,5.576043,20.54488
6.622967,5.452455,20.51086
6.598777,5.542842,20.64878
