u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
82.0,94.0,64.5,104.0,79.5,86.5,73.0,86.0,56.5,86.0,62.0,79.0,64.5,79.0
82.5,93.0,65.0,103.0,80.0,86.0,73.0,85.5,57.0,86.0,62.5,79.0,65.0,78.5
82.0,93.0,65.0,103.0,79.5,85.5,73.0,85.5,57.0,86.0,62.0,79.0,65.0,79.0
81.0,94.0,64.5,104.0,79.0,86.5,73.0,86.0,56.0,86.0,61.5,79.5,64.5,79.0
82.0,94.0,65.0,104.5,80.0,87.0,73.0,87.0,56.5,86.5,62.0,79.5,64.5,79.5
82.5,95.0,65.0,106.0,80.0,87.5,73.0,87.5,57.0,87.0,62.5,80.0,65.0,80.5
82.0,95.5,65.0,106.0,79.5,88.0,73.0,88.5,56.5,88.0,62.0,81.0,65.0,81.0
82.0,95.0,65.0,106.0,80.0,87.5,73.0,88.0,57.0,87.5,62.5,80.5,65.0,80.0
82.5,95.0,65.0,105.0,80.0,87.0,74.0,87.0,57.0,87.0,62.5,80.0,65.0,80.0
83.0,95.0,65.0,106.0,80.0,88.0,74.0,88.0,57.0,88.0,62.5,81.0,65.0,81.0
83.0,95.0,66.0,105.5,80.5,87.5,74.0,87.0,57.0,87.0,63.0,80.0,65.5,80.0
83.0,94.0,66.0,104.0,81.0,87.0,74.0,87.0,57.5,86.0,62.5,79.5,66.0,79.5
83.0,94.0,66.0,105.0,81.5,87.0,74.5,87.0,58.5,87.0,63.0,80.0,66.0,79.5
84.0,95.0,66.5,105.0,82.0,87.0,75.0,87.5,58.5,87.0,64.0,80.0,67.0,80.0
84.0,95.0,66.0,105.0,81.5,87.5,75.0,87.0,58.5,87.0,64.0,80.0,67.0,80.0
84.0,95.0,67.0,106.0,82.5,87.5,75.0,88.0,59.0,88.0,64.0,80.0,67.0,80.0
84.0,95.0,67.0,106.0,82.5,87.5,75.0,88.0,59.0,88.0,64.0,80.5,67.0,80.0
85.0,96.0,68.0,106.5,82.5,87.5,75.0,88.0,59.5,88.0,64.5,81.0,67.5,81.5
84.0,96.0,68.5,106.5,83.0,88.0,76.5,89.0,59.5,88.0,65.0,81.0,68.0,81.0
86.0,95.5,70.0,106.0,84.0,88.0,78.0,88.0,60.5,87.5,66.5,81.0,69.0,80.0
88.0,95.5,70.5,106.0,85.5,88.0,78.5,88.0,62.0,87.5,67.0,81.0,70.0,81.0
87.0,96.0,70.0,107.0,84.0,89.0,78.0,89.0,62.0,88.0,67.0,81.5,70.0,82.0
88.0,97.0,71.0,107.0,86.0,89.5,79.0,89.0,62.0,89.0,68.0,82.0,70.5,81.5
87.5,98.0,70.0,108.0,85.0,90.0,78.5,90.0,62.0,89.5,67.0,83.0,70.0,82.5
88.0,97.0,71.0,107.0,86.0,89.0,79.0,89.5,62.5,89.0,68.0,82.0,70.5,82.0
88.0,97.0,71.0,107.0,85.5,89.5,78.5,89.5,62.0,89.0,68.0,82.0,70.0,82.0
88.0,97.0,70.5,106.5,86.0,89.0,79.0,89.0,63.0,88.0,68.0,81.5,70.5,81.5
87.5,97.0,70.0,107.0,85.0,89.5,78.5,89.0,62.0,88.0,67.0,81.5,70.0,81.5
88.0,97.0,71.0,107.0,86.0,89.5,79.0,89.0,62.5,88.5,68.0,81.5,70.0,82.0
88.0,96.0,70.5,106.5,86.0,88.0,79.0,88.0,62.0,88.0,67.5,81.0,70.0,81.0
87.0,95.0,70.0,105.0,85.0,87.0,78.0,88.0,62.0,87.0,67.0,80.0,70.0,80.0
86.0,95.0,69.0,106.0,84.0,88.0,77.5,88.0,61.0,88.0,66.0,81.0,69.0,80.0
86.0,96.0,69.0,106.0,84.0,89.0,77.0,89.0,60.5,88.0,66.0,81.0,68.5,81.0
85.0,96.0,68.0,106.5,83.0,89.0,76.0,89.0,60.0,88.0,65.0,81.5,68.0,81.5
85.0,96.0,68.0,106.0,83.0,88.5,76.0,88.0,60.0,88.0,65.0,81.0,68.0,81.0
85.5,95.5,69.0,106.0,83.0,88.0,77.0,87.5,60.5,87.5,66.0,80.5,68.5,80.5
86.5,95.5,69.5,105.5,84.0,88.0,78.0,88.0,61.0,88.0,66.0,81.0,69.0,81.0
87.5,95.5,70.0,106.0,85.0,88.0,78.5,88.0,62.0,87.5,67.0,81.0,70.0,81.0
88.0,95.0,71.0,106.0,86.0,88.0,79.0,88.0,62.5,87.5,68.0,81.0,70.5,80.5
88.0,95.0,71.0,105.5,86.0,87.5,79.0,87.0,62.0,87.0,68.0,80.0,70.5,80.0
88.5,95.0,71.0,105.5,86.0,88.0,79.0,87.0,62.0,87.0,68.0,80.0,70.5,80.0
89.0,95.0,72.0,105.0,86.5,87.5,80.0,87.0,63.0,87.0,69.0,80.0,71.5,79.5
90.0,94.0,72.0,105.0,87.0,87.0,81.0,87.0,64.0,86.0,69.0,80.0,72.0,79.0
89.0,94.0,72.0,104.0,86.5,86.5,80.0,86.0,63.0,86.0,68.5,79.5,72.0,79.0
88.5,94.0,72.0,104.0,86.0,87.0,79.0,87.0,62.0,86.0,68.0,79.5,70.0,79.0
89.0,94.0,71.0,103.5,86.0,86.0,79.0,86.0,63.0,85.5,68.0,79.0,70.5,78.5
88.0,93.0,71.0,104.0,86.0,86.0,79.0,86.0,62.5,86.5,68.0,79.0,70.0,79.0
88.0,94.0,70.5,104.5,85.5,87.5,79.0,87.0,62.0,87.0,68.0,80.0,70.0,80.0
88.0,96.0,70.5,106.0,85.0,88.5,78.5,88.0,62.0,87.5,67.5,81.0,70.0,80.5
88.0,96.5,71.0,107.0,86.0,89.0,79.0,89.0,62.5,88.5,68.0,82.0,70.0,81.0
88.0,96.5,70.5,106.5,85.0,89.0,79.0,89.0,62.5,88.5,67.5,81.5,70.0,81.0
88.0,97.0,70.5,107.0,85.0,89.0,79.0,89.0,62.0,89.0,67.0,81.0,70.0,82.0
88.0,96.5,71.0,107.0,85.5,89.5,79.0,89.0,62.5,88.5,67.5,81.5,70.0,81.5
89.0,96.0,71.0,106.0,86.0,89.0,79.0,89.0,63.0,88.0,68.0,81.0,70.0,81.0
89.0,97.0,72.0,107.0,87.0,89.0,80.0,89.0,63.0,89.0,69.0,82.0,71.0,81.5
89.0,97.0,72.0,107.0,86.5,89.0,80.0,89.0,63.0,88.0,68.5,81.5,71.0,81.0
89.0,97.0,72.0,107.0,87.0,90.0,79.5,89.0,64.0,89.0,69.0,82.0,71.5,82.0
89.0,97.0,72.0,108.0,87.0,90.0,80.0,90.0,64.0,89.0,69.0,82.0,72.0,82.0
89.5,98.0,72.0,108.0,87.0,91.0,80.0,90.0,64.0,90.0,69.0,83.0,71.5,83.0
89.0,98.0,72.0,108.0,86.0,90.0,80.0,90.0,63.0,90.0,68.0,83.0,71.0,82.5
88.5,96.5,71.0,107.0,86.0,89.5,79.5,89.5,63.0,89.0,68.0,82.0,70.0,82.0
88.0,96.0,71.0,106.0,86.0,89.0,79.0,89.0,62.5,88.0,68.0,81.0,70.0,81.0
87.0,96.0,70.0,106.5,85.0,89.0,78.5,89.0,62.0,88.0,67.0,81.5,70.0,81.0
87.5,97.5,70.0,108.0,85.0,90.0,78.0,90.0,62.0,89.5,67.0,82.5,70.0,82.0
87.0,98.0,70.0,109.0,85.0,91.0,78.0,91.0,62.0,91.0,67.0,83.5,69.5,83.5
87.0,100.0,70.0,110.0,85.0,92.0,78.0,92.0,62.0,92.0,67.0,85.0,69.5,84.5
87.0,101.0,70.0,111.5,85.0,94.0,78.0,93.0,62.0,93.0,67.0,86.0,70.0,86.0
88.0,102.0,71.0,112.0,86.0,94.0,79.0,94.5,62.5,94.5,68.0,87.0,70.0,87.0
88.0,103.0,71.0,113.0,85.0,95.0,79.0,95.0,62.0,94.5,68.0,88.0,70.0,87.0
88.0,102.0,71.0,113.0,85.0,95.0,79.0,95.0,62.0,94.0,68.0,87.0,70.0,87.0
88.0,101.0,71.0,112.0,86.0,94.0,79.0,94.0,62.5,92.5,68.0,87.0,70.5,86.5
88.0,102.0,71.0,112.0,86.0,94.0,79.0,94.0,62.5,93.5,68.0,87.0,70.5,86.5
88.0,102.5,71.0,113.0,86.0,95.0,79.0,95.0,62.5,94.5,68.0,87.0,70.0,87.0
87.0,103.0,70.0,114.0,84.0,96.0,78.0,96.0,62.0,95.0,67.0,88.0,70.0,88.0
87.0,104.0,70.0,115.0,84.0,96.5,78.0,97.0,62.0,96.0,66.5,89.0,69.5,88.5
87.5,105.5,70.0,116.0,85.0,98.0,78.0,97.5,62.0,97.0,67.0,90.0,70.0,90.0
87.0,105.0,70.0,115.0,84.0,97.0,78.0,97.0,61.5,96.5,66.5,89.0,70.0,89.0
86.5,104.5,69.0,115.0,84.0,97.0,77.0,97.0,61.0,96.0,66.0,89.0,69.0,89.0
87.0,105.0,69.5,114.5,84.0,97.0,77.0,97.0,61.0,96.0,66.0,89.0,69.0,89.0
87.0,105.0,70.0,115.0,84.0,97.0,78.0,97.0,61.0,96.5,66.0,89.0,69.5,89.0
87.0,106.0,69.5,116.5,84.0,98.0,78.0,98.0,62.0,97.0,67.0,90.0,69.0,90.0
87.0,106.0,69.5,116.5,84.0,97.0,77.5,97.0,61.5,96.5,66.0,90.0,69.0,90.0
85.0,105.0,68.0,116.0,83.0,98.0,76.0,98.0,60.0,97.0,65.0,90.0,68.0,90.0
85.5,106.5,69.0,117.0,83.5,98.5,77.0,98.0,61.0,98.0,65.5,90.5,68.0,90.0
86.5,106.0,69.5,116.5,84.0,98.0,77.5,98.0,61.5,96.5,66.0,90.0,69.0,90.0
88.0,105.0,71.0,116.0,85.0,98.0,79.0,97.0,62.0,97.0,68.0,89.0,70.0,89.0
87.5,106.0,70.0,117.0,85.0,98.0,78.0,98.0,62.0,97.0,67.0,90.0,69.5,90.5
88.0,105.0,71.0,116.0,85.0,97.0,79.0,97.0,62.0,97.0,67.0,89.0,70.0,89.0
88.0,104.0,71.0,115.0,85.5,96.5,78.5,96.5,62.0,95.5,67.5,88.5,70.0,89.0
88.0,104.0,71.0,114.0,85.0,96.0,79.0,96.0,63.0,95.0,67.0,88.0,70.0,88.0
87.0,103.0,70.0,114.0,84.5,96.0,78.0,95.0,62.0,95.0,67.0,88.0,69.5,88.0
88.0,102.0,71.0,113.0,86.0,95.0,79.0,95.0,62.5,94.5,67.5,87.0,70.0,87.0
88.0,101.0,71.0,112.0,86.0,94.0,79.0,93.0,63.0,93.0,68.0,86.5,70.5,86.5
88.0,100.5,70.5,110.5,85.0,93.0,78.5,92.5,62.0,92.0,67.0,85.5,70.0,85.5
89.0,100.0,71.0,111.0,86.0,93.0,79.0,93.0,62.0,92.0,68.0,85.0,70.5,85.0
89.0,100.0,72.0,111.0,86.0,93.0,80.0,93.0,63.0,92.0,68.5,85.0,71.0,85.0
89.0,101.0,72.0,111.0,87.0,93.0,80.0,93.0,64.0,93.0,69.0,86.0,72.0,85.0
90.0,102.0,73.0,112.5,87.0,94.5,81.0,94.0,64.0,94.0,69.0,87.0,72.0,86.0
91.0,101.0,73.5,112.0,88.0,94.0,81.5,93.5,65.0,93.0,70.0,86.5,73.0,86.0
90.0,102.0,73.0,112.0,87.0,94.0,80.0,94.0,64.5,93.0,69.0,86.5,72.0,86.0
89.0,101.0,72.0,111.0,87.0,94.0,80.0,93.0,63.5,93.0,69.0,86.0,71.0,86.0
89.0,100.0,72.0,111.0,87.0,93.0,80.0,93.0,63.5,92.0,69.0,86.0,71.0,85.0
90.0,101.0,73.0,112.0,87.0,94.0,80.0,94.0,64.0,93.0,69.0,86.0,72.0,86.0
