x,y,z
7.14,4.87,21.72
8.139999,4.87,21.72
8.1382,4.87,21.72
8.1382,4.87,21.72
8.133213,4.866666,21.81965
8.115362,4.863333,21.91772
8.087885,4.86,22.01321
8.051113,4.856667,22.10521
8.005471,4.853333,22.19281
7.95147,4.85,22.27516
7.889698,4.846666,22.35146
7.820821,4.843333,22.421
7.745572,4.84,22.48312
7.664742,4.836667,22.53724
7.579172,4.833333,22.58287
7.489748,4.83,22.6196
7.397387,4.826666,22.64713
7.303032,4.823333,22.66524
7.207639,4.82,22.6738
7.112167,4.816667,22.67279
7.017572,4.813333,22.66228
6.924794,4.81,22.64243
6.83475,4.806666,22.61349
6.748322,4.803333,22.57583
6.666353,4.8,22.52986
6.589634,4.796667,22.4761
6.518898,4.793333,22.41515
6.454814,4.79,22.34764
6.397981,4.786666,22.2743
6.34892,4.783333,22.19591
6.308073,4.78,22.11327
6.275794,4.776667,22.02725
6.25235,4.773333,21.93872
6.237919,4.77,21.84859
6.232586,4.766666,21.75776
6.236344,4.763333,21.66716
6.249096,4.76,21.57768
6.270656,4.756667,21.49022
6.300748,4.753333,21.40563
6.339016,4.75,21.32474
6.385022,4.746666,21.24834
6.438254,4.743333,21.17716
6.498131,4.74,21.11188
6.56401,4.736667,21.05311
6.63519,4.733333,21.00139
6.710924,4.73,20.9572
6.790423,4.726666,20.92092
6.872867,4.723333,20.89287
6.957409,4.72,20.87326
7.04319,4.716667,20.86225
7.129344,4.713333,20.85987
7.215004,4.71,20.86609
7.299319,4.706666,20.88079
7.381453,4.703333,20.90376
7.4606,4.7,20.93472
7.53599,4.696667,20.9733
7.606894,4.693333,21.01906
7.672634,4.69,21.0715
7.732589,4.686666,21.13003
7.786201,4.683333,21.19403
7.832978,4.68,21.26282
7.8725,4.676667,21.33568
7.904427,4.673333,21.41185
7.928491,4.67,21.49054
7.944509,4.666667,21.57096
7.95238,4.663333,21.65227
7.952084,4.66,21.73366
7.943684,4.656667,21.81431
7.927323,4.653333,21.89343
7.903225,4.65,21.97023
7.871688,4.646667,22.04396
7.833082,4.643333,22.11391
7.787848,4.64,22.1794
7.736486,4.636666,22.23981
7.679558,4.633333,22.29457
7.617676,4.63,22.34319
7.551497,4.626667,22.38521
7.481715,4.623333,22.42027
7.409057,4.62,22.44807
7.334273,4.616666,22.46839
7.258128,4.613333,22.48108
7.181394,4.61,22.48608
7.104845,4.606667,22.48339
7.029245,4.603333,22.4731
6.955345,4.6,22.45537
6.88387,4.596666,22.43044
6.815518,4.593333,22.39861
6.750949,4.59,22.36026
6.69078,4.586667,22.31583
6.635576,4.583333,22.2658
6.585853,4.58,22.21073
6.542064,4.576666,22.1512
6.504599,4.573333,22.08785
6.473783,4.57,22.02134
6.449871,4.566667,21.95237
6.433045,4.563333,21.88164
6.423417,4.56,21.80988
6.421022,4.556666,21.73782
6.425827,4.553333,21.66618
6.437723,4.55,21.59567
6.456531,4.546667,21.52699
6.482005,4.543333,21.46082
6.513834,4.54,21.3978
6.551645,4.536666,21.33853
6.595009,4.533333,21.28358
6.643444,4.53,21.23345
6.696421,4.526667,21.18861
6.753371,4.523333,21.14946
6.813688,4.52,21.11635
6.876738,4.516666,21.08956
6.941866,4.513333,21.0693
7.0084,4.51,21.05571
7.075662,4.506667,21.04888
7.142971,4.503333,21.04881
7.209651,4.5,21.05544
7.275039,4.496666,21.06865
7.338491,4.493333,21.08825
7.399388,4.49,21.11398
7.457143,4.486667,21.14553
7.511206,4.483333,21.18253
7.561066,4.48,21.22456
7.606263,4.476666,21.27115
7.646385,4.473333,21.3218
7.681077,4.47,21.37595
7.710042,4.466667,21.43304
7.733042,4.463333,21.49245
7.749902,4.46,21.55359
7.760509,4.456666,21.6158
7.764819,4.453333,21.67847
7.762845,4.45,21.74095
7.754668,4.446667,21.80263
7.740429,4.443333,21.86289
7.72033,4.44,21.92113
7.694629,4.436666,21.9768
7.663637,4.433333,22.02937
7.627718,4.43,22.07832
7.587281,4.426667,22.12321
7.542776,4.423333,22.16363
7.49469,4.42,22.19921
7.443541,4.416667,22.22965
7.389874,4.413333,22.25469
7.334253,4.41,22.27414
7.277256,4.406667,22.28784
7.219471,4.403333,22.29574
7.161485,4.4,22.2978
7.103882,4.396667,22.29406
7.047238,4.393333,22.28463
6.992112,4.39,22.26965
6.939043,4.386666,22.24933
6.888541,4.383333,22.22394
6.841087,4.38,22.19378
6.797127,4.376667,22.15921
6.757065,4.373333,22.12062
6.721262,4.37,22.07844
6.690032,4.366666,22.03313
6.663641,4.363333,21.98518
6.642301,4.36,21.93511
6.626171,4.356667,21.88344
6.615356,4.353333,21.83071
6.609908,4.35,21.77745
6.60982,4.346666,21.72422
6.615035,4.343333,21.67155
6.625439,4.34,21.61995
6.640871,4.336667,21.56994
6.661118,4.333333,21.52201
6.68592,4.33,21.47661
6.714976,4.326666,21.43417
6.747945,4.323333,21.39508
6.78445,4.32,21.3597
6.82408,4.316667,21.32833
6.8664,4.313333,21.30126
6.910953,4.31,21.2787
6.957263,4.306666,21.26083
7.00484,4.303333,21.24776
7.053194,4.3,21.23958
7.101826,4.296667,21.23631
7.150242,4.293333,21.23791
7.197957,4.29,21.24432
7.244496,4.286666,21.25541
7.289409,4.283333,21.27101
7.33226,4.28,21.29091
7.372644,4.276667,21.31485
7.410183,4.273333,21.34254
7.444536,4.27,21.37365
7.475397,4.266666,21.40782
7.502497,4.263333,21.44468
7.525614,4.26,21.48381
7.544565,4.256667,21.52479
7.559213,4.253333,21.56719
7.569468,4.25,21.61054
7.575283,4.246666,21.65441
7.57666,4.243333,21.69834
7.573644,4.24,21.74189
7.566326,4.236667,21.78463
7.554838,4.233333,21.82612
7.539353,4.23,21.86598
7.520084,4.226666,21.90381
7.497278,4.223333,21.93927
7.471215,4.22,21.97202
7.442205,4.216667,22.00179
7.410586,4.213333,22.02829
7.376712,4.21,22.05132
7.34096,4.206666,22.0707
7.303721,4.203333,22.08627
7.265392,4.2,22.09794
7.226379,4.196667,22.10564
7.187088,4.193333,22.10936
7.14792,4.19,22.10912
7.109272,4.186666,22.10497
7.071529,4.183333,22.09703
7.035059,4.18,22.08543
7.000213,4.176666,22.07034
6.96732,4.173333,22.05197
6.936684,4.17,22.03056
6.90858,4.166667,22.00638
6.883255,4.163333,21.97971
6.860922,4.16,21.95087
6.841758,4.156667,21.92019
6.825908,4.153333,21.88799
6.813479,4.15,21.85466
6.804541,4.146667,21.82052
6.799127,4.143333,21.78596
6.797232,4.14,21.75133
6.798816,4.136666,21.71698
6.803804,4.133333,21.68326
6.812087,4.13,21.6505
6.823522,4.126667,21.61902
6.837936,4.123333,21.58912
6.855131,4.12,21.56108
6.87488,4.116666,21.53515
6.896935,4.113333,21.51156
6.92103,4.11,21.49051
6.946878,4.106667,21.47216
6.974184,4.103333,21.45666
7.00264,4.1,21.44411
7.031932,4.096666,21.43458
7.061743,4.093333,21.42811
7.091758,4.09,21.42472
7.121664,4.086667,21.42437
7.151155,4.083333,21.42702
7.179936,4.08,21.43256
7.207725,4.076666,21.4409
7.234255,4.073333,21.45189
7.259278,4.07,21.46535
7.282567,4.066667,21.48111
7.303917,4.063333,21.49895
7.323148,4.06,21.51863
7.340106,4.056666,21.53993
7.354664,4.053333,21.56258
7.366723,4.05,21.58632
7.376212,4.046667,21.61088
7.38309,4.043333,21.63599
7.387343,4.04,21.66137
7.388988,4.036666,21.68675
7.388064,4.033333,21.71187
7.384643,4.03,21.73648
7.378817,4.026667,21.76032
7.370705,4.023333,21.78317
7.360446,4.02,21.80481
7.348199,4.016666,21.82504
7.334143,4.013333,21.84369
7.318468,4.01,21.8606
7.301381,4.006667,21.87563
7.283097,4.003333,21.88868
7.263839,4,21.89965
7.243838,3.996666,21.90849
7.223324,3.993333,21.91515
7.202528,3.99,21.91963
7.181679,3.986666,21.92194
7.161001,3.983333,21.92211
7.140708,3.98,21.92019
7.121007,3.976666,21.91628
7.102092,3.973333,21.91046
7.084144,3.97,21.90285
7.067326,3.966666,21.8936
7.051787,3.963333,21.88284
7.037656,3.96,21.87074
7.025043,3.956666,21.85746
7.014039,3.953333,21.8432
7.004711,3.95,21.82814
6.99711,3.946666,21.81246
6.991261,3.943333,21.79637
6.987173,3.94,21.78004
6.98483,3.936666,21.76367
6.9842,3.933333,21.74744
6.985231,3.93,21.73153
6.987853,3.926666,21.71609
6.99198,3.923333,21.7013
6.99751,3.92,21.68729
7.00433,3.916667,21.67418
7.012314,3.913333,21.66211
7.021326,3.91,21.65116
7.031223,3.906667,21.64141
7.041857,3.903333,21.63293
7.053074,3.9,21.62577
7.064719,3.896667,21.61996
7.076637,3.893333,21.61551
7.088677,3.89,21.61242
7.100688,3.886667,21.61065
7.112529,3.883333,21.61019
7.124063,3.88,21.61096
7.135164,3.876667,21.61291
7.145714,3.873333,21.61596
7.15561,3.87,21.62001
7.164757,3.866666,21.62498
7.173078,3.863333,21.63073
7.180506,3.86,21.63718
7.186992,3.856667,21.64418
7.192499,3.853333,21.65163
7.197006,3.85,21.6594
7.200507,3.846666,21.66736
7.203011,3.843333,21.6754
7.204539,3.84,21.6834
7.205127,3.836667,21.69123
7.204822,3.833333,21.69881
7.203683,3.83,21.70603
7.201779,3.826666,21.7128
7.199189,3.823333,21.71906
7.195998,3.82,21.72472
7.192298,3.816667,21.72974
7.188185,3.813333,21.73407
7.183758,3.81,21.73768
7.179119,3.806666,21.74057
7.174367,3.803333,21.74272
7.169603,3.8,21.74414
7.164921,3.796667,21.74485
7.160413,3.793333,21.7449
7.156164,3.79,21.74431
7.152253,3.786666,21.74315
7.148749,3.783333,21.74148
7.145712,3.78,21.73937
7.143192,3.776666,21.7369
7.14123,3.773333,21.73414
7.139851,3.77,21.7312
7.139073,3.766666,21.72814
7.1389,3.763333,21.72508
7.139323,3.76,21.72209
7.140322,3.756666,21.71926
7.141867,3.753333,21.71669
7.143915,3.75,21.71444
7.146414,3.746666,21.71259
7.149302,3.743333,21.7112
