x,y,z
7.14,4.87,21.72
10.14,4.87,21.72
10.1388,4.87,21.72
10.1388,4.87,21.72
10.12382,4.863333,22.01938
10.07706,4.856667,22.31537
10.00104,4.85,22.60502
9.896551,4.843333,22.88545
9.764673,4.836667,23.15387
9.606763,4.83,23.4076
9.42443,4.823333,23.64415
9.219529,4.816667,23.86116
8.994138,4.81,24.05651
8.750532,4.803333,24.22825
8.491172,4.796667,24.37473
8.218666,4.79,24.49449
7.935755,4.783333,24.58639
7.645278,4.776667,24.64954
7.350146,4.77,24.68336
7.053312,4.763333,24.68753
6.757744,4.756667,24.66207
6.466391,4.75,24.60726
6.182158,4.743333,24.52369
5.907873,4.736667,24.41224
5.646262,4.73,24.27406
5.399921,4.723333,24.11056
5.171288,4.716667,23.92341
4.962625,4.71,23.71451
4.775987,4.703333,23.48597
4.613208,4.696667,23.24011
4.475882,4.69,22.9794
4.365345,4.683333,22.70647
4.282667,4.676667,22.42406
4.228632,4.67,22.135
4.203744,4.663333,21.8422
4.20821,4.656667,21.54856
4.241947,4.65,21.25705
4.304577,4.643333,20.97055
4.395436,4.636666,20.69193
4.513577,4.63,20.42395
4.657784,4.623333,20.16928
4.826581,4.616666,19.93044
5.018248,4.61,19.7098
5.23084,4.603333,19.50953
5.462207,4.596666,19.33161
5.71001,4.59,19.17779
5.971753,4.583333,19.04956
6.244802,4.576666,18.94818
6.526418,4.57,18.87461
6.813772,4.563333,18.82956
7.10399,4.556666,18.81343
7.394167,4.55,18.82635
7.681409,4.543333,18.86814
7.962846,4.536666,18.93836
8.235681,4.53,19.03625
8.497197,4.523333,19.16081
8.744801,4.516666,19.31076
8.976037,4.51,19.48455
9.188619,4.503333,19.68043
9.380451,4.496666,19.8964
9.549644,4.49,20.13028
9.694542,4.483333,20.37972
9.81373,4.476666,20.64219
9.906054,4.47,20.91506
9.970628,4.463333,21.19559
10.00685,4.456666,21.48097
10.01439,4.45,21.76834
9.993216,4.443333,22.05482
9.943582,4.436666,22.33756
9.866021,4.43,22.61375
9.761348,4.423333,22.88062
9.630644,4.416667,23.13553
9.475251,4.41,23.37595
9.296758,4.403333,23.5995
9.096976,4.396667,23.80397
8.877934,4.39,23.98734
8.641842,4.383333,24.14782
8.391085,4.376667,24.28383
8.128182,4.37,24.39404
7.855786,4.363333,24.4774
7.576622,4.356667,24.53311
7.293491,4.35,24.56065
7.009224,4.343333,24.55978
6.726665,4.336667,24.53056
6.448627,4.33,24.47331
6.177886,4.323333,24.38866
5.917133,4.316667,24.27747
5.668962,4.31,24.1409
5.435829,4.303333,23.98035
5.220041,4.296667,23.79745
5.02373,4.29,23.59407
4.848831,4.283333,23.37227
4.697056,4.276667,23.13428
4.56989,4.27,22.8825
4.46857,4.263333,22.61947
4.394068,4.256667,22.34783
4.347093,4.25,22.07031
4.328072,4.243333,21.78969
4.337157,4.236667,21.50876
4.374218,4.23,21.23035
4.438843,4.223333,20.95722
4.53035,4.216667,20.6921
4.647784,4.21,20.43762
4.789936,4.203333,20.19631
4.955354,4.196667,19.97056
5.14235,4.19,19.76259
5.349025,4.183333,19.57448
5.57329,4.176666,19.40805
5.812879,4.17,19.26495
6.065373,4.163333,19.14657
6.32824,4.156667,19.05406
6.598833,4.15,18.9883
6.874443,4.143333,18.94991
7.152307,4.136666,18.93924
7.429651,4.13,18.95635
7.703704,4.123333,19.00103
7.971733,4.116666,19.0728
8.231069,4.11,19.17089
8.479136,4.103333,19.29431
8.713475,4.096666,19.44176
8.931764,4.09,19.61175
9.131846,4.083333,19.80255
9.311748,4.076666,20.01222
9.469703,4.07,20.23863
9.604169,4.063333,20.47952
9.713831,4.056666,20.73244
9.797635,4.05,20.99485
9.854779,4.043333,21.26413
9.884732,4.036666,21.53757
9.887234,4.03,21.81242
9.8623,4.023333,22.08596
9.810219,4.016666,22.35545
9.73155,4.01,22.61819
9.627119,4.003333,22.87159
9.498004,3.996666,23.11312
9.345532,3.99,23.34038
9.171261,3.983333,23.55113
8.976961,3.976666,23.74329
8.764602,3.97,23.91496
