u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
74.5,94.0,57.0,105.0,72.5,87.0,66.0,87.0,49.0,87.0,54.5,79.5,57.5,79.5
74.5,94.0,57.0,104.5,72.5,87.0,66.0,87.0,49.0,87.0,54.5,79.5,57.5,79.5
74.5,94.0,57.0,104.0,72.5,87.0,66.0,87.0,49.0,87.0,54.5,79.5,57.5,79.5
74.5,94.0,57.0,104.0,73.0,87.0,66.0,87.0,49.0,87.0,54.5,79.5,57.5,79.5
74.5,93.5,57.0,104.0,72.5,86.0,66.0,86.0,49.5,86.5,54.5,79.5,57.5,79.5
74.5,93.5,57.0,104.0,72.5,86.0,66.0,86.0,49.0,86.0,55.0,79.0,57.5,79.5
74.5,93.5,57.5,104.0,72.5,86.0,66.0,86.0,49.5,86.0,55.0,79.0,58.0,79.0
75.0,93.5,58.0,104.0,73.0,86.0,66.5,86.0,50.0,86.0,55.0,79.0,58.0,79.0
75.0,93.0,58.0,104.0,73.0,85.5,67.0,86.0,50.0,86.0,55.5,78.5,58.0,79.0
75.0,93.0,58.0,103.5,73.5,85.5,66.5,85.5,50.5,85.5,56.0,78.5,59.0,79.0
76.0,93.0,58.5,103.5,74.0,85.5,67.0,86.0,50.5,85.5,56.5,78.5,58.5,78.5
76.0,93.0,58.5,103.5,74.0,85.5,67.0,86.0,50.5,85.5,56.5,78.5,58.5,78.5
76.0,93.0,59.0,103.0,74.5,85.5,67.5,85.5,51.0,85.0,57.0,78.0,59.0,78.0
76.5,93.0,59.0,103.0,74.5,85.5,68.0,85.5,51.0,85.5,57.0,78.0,59.0,78.0
77.0,93.0,59.0,103.0,74.5,85.5,68.5,85.5,51.5,85.5,57.0,78.0,60.0,78.0
77.0,93.0,60.0,103.0,75.0,85.0,68.5,85.5,52.0,85.0,57.5,77.5,60.5,77.5
77.5,92.5,60.5,103.0,75.5,85.5,69.0,85.0,52.0,85.0,58.0,78.0,60.5,77.5
78.0,92.0,60.5,103.0,76.0,85.0,69.0,85.0,52.5,85.0,58.0,78.0,60.5,77.5
78.0,92.0,61.0,103.0,76.0,85.0,69.0,85.0,52.5,85.0,58.5,77.5,61.0,77.0
