x,y,z
7.14,4.87,21.72
9.139999,4.87,21.72
9.139999,4.87,21.72
9.139999,4.87,21.72
9.135557,5.003234,21.98352
9.122249,5.135877,22.2284
9.100133,5.267339,22.43736
9.069309,5.397035,22.59559
9.029914,5.524389,22.69194
8.982121,5.648837,22.71957
8.926146,5.769824,22.67655
8.862234,5.886813,22.5659
8.790671,5.999285,22.39546
8.711775,6.10674,22.17727
8.625895,6.2087,21.92676
8.533413,6.304712,21.66162
8.434741,6.394351,21.40062
8.330317,6.477217,21.16219
8.220604,6.552942,20.9632
8.106091,6.621191,20.8177
7.987285,6.681659,20.73599
7.864715,6.734078,20.72383
7.738925,6.778216,20.7821
7.610475,6.813876,20.90667
7.479934,6.840899,21.08873
7.347883,6.859167,21.31542
7.214908,6.868597,21.57071
7.081601,6.869147,21.83655
6.948553,6.860816,22.09415
6.816355,6.84364,22.3253
6.685596,6.817695,22.51367
6.556855,6.783097,22.64593
6.430705,6.74,22.71273
6.307706,6.688595,22.70936
6.188405,6.629109,22.63605
6.073332,6.56181,22.49798
5.962997,6.486993,22.30492
5.857892,6.404992,22.07051
5.758483,6.316172,21.81132
5.665212,6.220926,21.54567
5.578494,6.119679,21.29235
5.498712,6.012879,21.06926
5.426222,5.901002,20.89217
5.361347,5.784545,20.7736
5.304373,5.664024,20.72194
5.255555,5.539976,20.74082
5.215109,5.412951,20.82893
5.183215,5.283514,20.98002
5.160015,5.152239,21.18343
5.145611,5.019711,21.42476
5.140068,4.886518,21.68697
5.14341,4.753251,21.95151
5.155623,4.620503,22.19969
5.176652,4.488863,22.41395
5.206404,4.358917,22.57916
5.244746,4.231242,22.68364
5.291508,4.106404,22.71999
5.346483,3.984959,22.68566
5.409426,3.867446,22.58306
5.480058,3.754386,22.41945
5.558064,3.646284,22.2064
5.643099,3.543618,21.95896
5.734785,3.446845,21.69463
5.832713,3.356395,21.4321
5.93645,3.272669,21.18991
6.045533,3.19604,20.9852
6.159479,3.126848,20.83243
6.277781,3.065401,20.74241
6.399914,3.011971,20.72149
6.525334,2.966796,20.77115
6.653486,2.930076,20.8879
6.7838,2.901975,21.06346
6.915696,2.882618,21.28543
7.048588,2.87209,21.53813
7.181886,2.870439,21.80368
7.314998,2.877671,22.06331
7.447333,2.893754,22.29868
7.578302,2.918618,22.49314
7.707325,2.952152,22.63295
7.833827,2.994205,22.70821
7.957246,3.044593,22.71362
8.077034,3.103091,22.64879
8.192658,3.169438,22.51831
8.303607,3.243341,22.33139
8.409386,3.324471,22.10125
8.509525,3.412468,21.84416
8.60358,3.50694,21.57829
8.691132,3.607467,21.32244
8.771793,3.713604,21.0947
8.845203,3.824878,20.91115
8.911039,3.940796,20.78479
8.969006,4.060842,20.72453
9.018847,4.184484,20.73465
9.060341,4.31117,20.81442
9.093303,4.440339,20.95821
9.117586,4.571417,21.15585
9.133084,4.703822,21.39337
9.139727,4.836965,21.65397
9.137486,4.970254,21.91925
9.126369,5.103099,22.17044
9.106428,5.234908,22.38979
9.077751,5.365096,22.56179
9.040464,5.493083,22.67428
8.994735,5.618303,22.71932
8.940765,5.740198,22.69371
8.878795,5.858227,22.59927
8.809099,5.971866,22.44268
8.731988,6.080609,22.23499
8.647804,6.183974,21.9909
8.556921,6.281501,21.72766
8.459743,6.372756,21.46388
8.356702,6.457336,21.21821
8.248256,6.534863,21.00801
8.134885,6.604994,20.84813
8.017094,6.667417,20.74989
7.895406,6.721853,20.72023
7.770363,6.768063,20.76124
7.642519,6.80584,20.87003
7.512442,6.835015,21.0389
7.380711,6.855462,21.25592
7.24791,6.867086,21.50575
7.114629,6.869839,21.77072
6.981462,6.863707,22.0321
6.849,6.848716,22.27143
6.717828,6.824935,22.47177
6.588533,6.792468,22.61897
6.461689,6.751461,22.70262
6.337858,6.702094,22.7168
6.217591,6.644588,22.66053
6.101421,6.579197,22.53776
5.989867,6.506213,22.35719
5.883421,6.42596,22.13158
5.782559,6.338794,21.87687
5.687728,6.245102,21.61107
5.599348,6.145301,21.35297
5.517814,6.039834,21.12082
5.443486,5.92917,20.93102
5.376696,5.8138,20.797
5.317739,5.694237,20.72822
5.266878,5.57101,20.72956
5.22434,5.444671,20.80091
5.190312,5.315778,20.93723
5.164947,5.184905,21.12888
5.148356,5.052633,21.36233
5.140614,4.919549,21.62105
5.141754,4.786246,21.88677
5.151772,4.653315,22.14071
5.170624,4.521346,22.3649
5.198225,4.390926,22.5435
5.234453,4.262634,22.66389
5.279148,4.137041,22.71756
5.332109,4.014705,22.7007
5.393102,3.896168,22.61453
5.461858,3.781956,22.46511
5.538068,3.67258,22.26302
5.621396,3.568523,22.02255
5.71147,3.470249,21.76069
5.80789,3.378194,21.49595
5.91023,3.292767,21.24705
6.018032,3.214346,21.03159
6.13082,3.143282,20.86478
6.248091,3.079889,20.75844
6.369324,3.024449,20.72007
6.493982,2.977208,20.75238
6.621509,2.938377,20.85309
6.75134,2.908127,21.01509
6.882898,2.886594,21.22692
7.0156,2.873872,21.4736
7.148853,2.870019,21.73771
7.282067,2.875052,22.00056
7.414649,2.888948,22.24357
7.546011,2.911645,22.44958
7.67557,2.943042,22.60401
7.802748,2.983001,22.69595
7.926983,3.031343,22.7189
8.047721,3.087854,22.67124
8.164426,3.152283,22.55633
8.27658,3.224343,22.3823
8.383684,3.303715,22.16146
8.485263,3.390045,21.9094
8.580865,3.48295,21.64396
8.670067,3.582019,21.38389
8.75247,3.686809,21.14758
8.827709,3.796856,20.95174
8.89545,3.91167,20.81021
8.955391,4.030742,20.73299
9.007268,4.153543,20.72554
9.050848,4.279527,20.78839
9.085939,4.408134,20.9171
9.112385,4.538793,21.10256
9.130068,4.670923,21.33167
9.138908,4.803938,21.58824
9.138869,4.937247,21.85411
9.129949,5.070257,22.11051
9.112188,5.202376,22.3393
9.085665,5.333022,22.52431
9.050497,5.461608,22.65247
9.006842,5.587566,22.71471
8.954893,5.710336,22.70663
8.89488,5.829372,22.6288
8.827071,5.944146,22.48673
8.751767,6.054148,22.29046
8.669302,6.158889,22.05387
8.580042,6.257904,21.79367
8.484385,6.350752,21.52827
8.382755,6.437022,21.27641
8.275604,6.51633,21.05592
8.163407,6.588324,20.88237
8.046664,6.652683,20.76803
7.925892,6.709123,20.72099
7.801628,6.757392,20.74457
7.674425,6.797275,20.8371
7.544848,6.828596,20.99205
7.413472,6.851215,21.19845
7.280882,6.865032,21.44172
7.147666,6.869985,21.70467
7.014415,6.866053,21.9687
6.881722,6.853253,22.21515
6.750177,6.831642,22.42659
6.620364,6.801315,22.58809
6.492859,6.762408,22.68822
6.36823,6.715094,22.7199
6.247029,6.659582,22.68091
6.129796,6.596119,22.57398
6.017049,6.524987,22.40669
5.909293,6.446503,22.19085
5.807005,6.361014,21.94173
5.710639,6.268902,21.67694
5.620623,6.170574,21.41519
5.537357,6.066468,21.17498
5.461212,5.957047,20.97331
5.392525,5.842796,20.82442
5.331602,5.724223,20.73883
5.278713,5.601855,20.72261
5.234094,5.476235,20.77689
5.197942,5.347923,20.89785
5.170418,5.217486,21.07692
5.151645,5.085506,21.30145
5.141705,4.952567,21.55557
5.140644,4.819263,21.82131
5.148465,4.686184,22.07989
5.165134,4.553922,22.31303
5.190578,4.423064,22.50425
5.224681,4.294193,22.64003
5.267295,4.167877,22.71077
5.318229,4.044681,22.71147
5.377255,3.925155,22.64209
5.444116,3.809823,22.50752
5.518507,3.699204,22.31728
5.600106,3.593784,22.08482
5.688543,3.494037,21.82657
5.783432,3.4004,21.56079
5.884344,3.313295,21.30626
5.990839,3.233104,21.08098
6.102435,3.160187,20.90087
6.218645,3.094865,20.77867
6.338944,3.037431,20.72301
6.462806,2.988137,20.73783
6.589673,2.947205,20.82207
6.718989,2.914814,20.9698
6.850175,2.891111,21.17056
6.982645,2.8762,21.41015
7.115818,2.870146,21.67165
7.249094,2.872977,21.93657
7.38189,2.884681,22.18618
7.513608,2.905205,22.40283
