u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
61.0,94.0,43.0,105.0,59.0,87.0,52.5,87.0,36.0,87.5,41.5,79.5,44.5,79.5
61.0,94.0,43.5,105.5,59.5,87.0,53.0,87.0,36.0,87.5,42.0,80.0,44.5,79.5
62.0,95.0,44.0,106.0,60.5,87.5,53.0,87.5,36.5,87.5,42.5,80.0,44.5,80.0
62.5,95.5,44.5,107.0,60.5,87.5,53.5,88.0,36.5,88.5,43.0,81.0,45.0,81.0
63.0,96.0,45.0,108.0,61.0,88.0,54.5,88.5,37.0,89.0,43.5,81.0,46.0,81.5
63.0,96.0,45.0,108.0,62.0,89.0,54.5,89.5,38.0,89.0,44.0,81.0,46.5,81.5
64.5,97.5,46.0,109.0,62.5,89.5,55.0,89.0,38.0,90.0,44.5,82.0,46.5,82.0
64.0,98.0,46.5,109.5,63.0,90.0,55.0,90.0,38.5,91.5,45.0,83.5,47.0,83.5
65.0,100.0,47.0,111.0,63.0,91.5,56.5,91.5,39.0,92.0,45.5,84.0,48.0,84.0
65.0,100.0,47.0,112.0,64.5,92.5,57.0,92.0,40.0,93.0,46.5,85.5,49.0,85.0
66.5,101.5,48.5,113.5,64.5,93.5,57.5,93.5,40.5,94.0,47.0,86.0,49.0,86.0
67.0,104.0,48.5,115.0,65.5,95.5,58.5,95.5,41.0,96.0,47.493943038914225,87.5421219679078,50.0,88.0
68.0,105.0,50.0,117.0,66.0,96.0,59.0,97.0,42.0,97.0,48.5,89.5,51.0,89.0
68.5,106.5,51.0,118.0,67.0,98.5,60.0,98.0,43.0,99.0,50.0,91.0,52.0,91.0
70.0,109.0,52.0,121.0,68.0,101.0,61.0,100.0,44.0,101.0,50.0,93.0,52.5,92.5
70.0,110.0,52.0,122.0,68.0,102.0,61.5,102.5,45.0,103.0,51.0,95.0,53.5,94.5
72.0,112.0,53.5,124.5,69.5,104.0,62.0,104.0,46.0,105.0,52.0,96.0,54.0,96.0
72.0,113.5,54.0,126.0,70.0,106.0,63.0,105.0,47.0,106.0,52.0,97.0,55.523897085087995,98.24456887901458
73.0,115.5,56.0,127.5,71.40111260582668,107.99870506916079,63.0,104.0,47.0,106.0,53.0,99.0,57.5,100.5
75.0,118.0,58.247788620917554,128.76848493296458,73.0,110.0,66.0,110.0,51.0,110.0,56.0,102.0,59.0,102.0
77.0,121.0,60.4399613926832,129.71995805809254,74.0,112.0,68.0,112.0,52.0,112.0,57.0,104.0,60.0,104.0
78.5,122.5,62.57651831529695,130.35441937538394,76.0,114.0,70.0,114.0,54.0,114.0,59.0,106.0,62.0,106.0
80.5,124.0,64.65745938875878,130.6718688848387,77.5,115.0,72.0,115.0,56.0,114.5,60.0,107.0,63.0,106.0
82.0,124.0,66.68278461306872,130.67230658645684,79.0,116.0,73.5,116.0,58.0,115.0,62.0,107.5,65.0,107.0
84.0,125.0,68.61805759874954,130.38451194444005,81.5,116.5,75.0,116.0,59.0,115.0,64.0,107.5,67.0,107.0
85.5,124.5,70.25666000893827,129.98116174399843,83.0,115.5,77.0,115.0,61.0,114.0,65.0,107.0,68.0,107.0
87.0,123.0,71.56415545415767,129.49103544933357,84.0,114.0,77.5,114.5,62.0,114.0,66.5,106.0,70.0,106.0
88.0,122.0,72.54054393440775,128.91413306044555,85.0,113.0,79.0,113.0,62.5,111.5,67.5,104.5,70.0,104.0
89.0,120.0,73.18582544968854,128.25045457733438,86.0,112.0,80.0,111.5,63.5,110.5,68.0,102.5,71.5,102.5
90.0,118.0,73.5,127.5,87.5,109.5,80.0,110.0,63.0,109.0,69.5,100.5,71.5,100.5
91.0,116.0,73.5,126.5,88.0,107.0,81.0,107.0,65.0,106.0,69.0,99.0,73.0,99.0
92.0,114.0,73.5,124.5,89.0,105.0,81.0,105.0,65.5,104.5,70.0,97.0,73.0,97.0
92.0,112.0,74.5,122.5,90.0,104.0,82.0,104.0,65.5,102.5,71.0,95.0,73.0,94.0
92.5,110.0,75.0,120.0,90.0,101.5,83.0,101.0,66.0,100.0,71.5,93.0,73.5,92.5
93.0,108.0,75.0,119.0,90.0,99.0,83.0,100.0,66.0,98.0,71.0,91.0,74.0,91.0
93.0,106.0,75.0,117.5,91.0,98.0,82.0,98.0,66.5,98.0,71.0,91.5,74.5,89.5
94.0,105.0,76.0,116.0,91.0,97.0,81.0,103.0,68.0,96.0,73.0,88.0,75.0,88.0
94.0,103.0,76.5,113.5,92.0,95.5,84.0,95.5,67.5,93.5,72.5,88.0,75.0,86.0
94.5,102.0,77.0,112.0,92.0,94.0,82.0,101.5,67.5,93.0,73.5,85.0,76.0,85.0
94.5,100.5,77.0,111.0,92.5,92.5,84.0,92.0,68.0,91.5,74.0,84.0,76.5,83.5
96.0,99.0,78.0,109.0,93.0,92.0,86.0,92.0,68.5,90.5,74.5,83.5,76.5,83.5
96.0,99.0,78.5,108.5,94.0,91.0,86.0,91.5,69.0,89.5,74.5,82.0,77.5,82.0
97.0,98.0,78.5,107.5,94.5,90.0,86.0,90.0,70.0,89.0,76.0,82.0,78.0,81.0
97.0,98.0,80.0,107.0,95.0,90.0,86.5,90.0,70.5,88.5,76.0,82.0,78.5,81.5
98.5,97.0,81.0,107.0,96.0,89.5,88.0,89.0,71.5,87.5,77.0,81.0,79.0,81.0
100.0,96.0,82.0,106.0,97.0,88.5,89.5,88.0,73.0,87.5,78.0,80.0,81.0,80.0
101.0,95.0,82.5,105.0,98.0,88.0,91.0,87.5,74.0,87.0,79.0,80.0,81.5,79.5
102.0,95.0,83.5,104.5,99.0,87.5,92.0,87.0,74.5,86.5,80.0,79.0,83.0,80.0
103.0,94.0,85.0,104.0,100.0,87.0,93.0,86.0,76.0,86.0,81.0,79.0,84.0,79.0
104.0,93.0,86.0,103.0,101.0,86.0,94.0,86.0,77.0,85.0,82.0,79.0,85.0,78.0
105.0,92.5,87.0,102.0,101.5,86.0,94.5,85.0,77.5,84.5,83.0,78.0,85.5,78.0
105.0,92.0,87.5,101.0,102.0,85.0,95.5,84.5,78.0,83.0,83.0,78.0,86.0,77.0
105.5,90.5,87.5,100.5,102.0,84.0,96.0,84.0,79.0,83.0,83.5,76.5,87.0,76.0
106.0,89.0,88.0,99.0,102.0,83.0,96.0,83.0,79.0,82.0,84.0,75.0,87.0,75.5
105.5,88.5,87.5,98.5,102.0,81.5,96.0,81.5,79.0,81.0,83.5,74.5,87.0,74.0
105.0,87.0,87.0,96.0,101.5,80.5,95.0,80.0,78.0,79.0,83.0,73.0,86.0,73.0
104.0,85.0,86.0,95.0,101.0,79.0,94.0,79.0,78.0,79.0,83.0,72.0,85.0,72.0
102.5,83.5,85.0,93.0,100.0,77.0,93.0,76.0,76.0,76.0,82.0,71.0,84.0,70.0
100.5,82.5,83.5,92.0,98.0,76.0,92.0,75.0,75.0,75.0,79.5,68.5,83.0,69.0
99.0,81.0,82.0,91.0,97.0,74.0,89.5,74.5,73.5,74.5,78.0,67.0,81.0,67.0
97.0,79.5,79.0,89.0,94.0,73.0,87.5,72.5,71.0,73.0,76.0,66.0,79.0,66.0
95.0,78.0,78.0,88.0,93.0,71.5,86.0,72.0,69.0,71.0,75.0,65.0,77.5,64.5
93.0,77.0,75.5,86.5,91.0,70.0,83.5,70.5,67.0,70.0,73.0,63.5,75.5,64.0
91.0,77.0,73.5,86.5,89.5,69.5,82.0,69.0,65.0,69.0,71.0,63.0,73.5,62.5
89.0,76.0,72.0,85.0,87.0,69.0,80.5,69.0,63.5,68.5,69.5,61.5,71.0,62.0
87.0,75.0,70.0,85.0,86.0,68.0,79.0,68.0,62.0,68.0,68.0,61.0,70.5,60.5
