x,y,z
7.14,3.31,22.292
9.639999,3.31,22.292
9.639999,3.31,22.292
9.639999,3.31,22.292
9.634446,3.443234,22.55847
9.61781,3.575877,22.82375
9.590166,3.707339,23.08668
9.551637,3.837035,23.34607
9.502392,3.964389,23.60078
9.442653,4.088837,23.84967
9.372683,4.209824,24.09165
9.292793,4.326813,24.32563
9.203339,4.439285,24.55057
9.104718,4.54674,24.76548
8.997368,4.6487,24.9694
8.881766,4.744712,25.16142
8.758427,4.834351,25.3407
8.627896,4.917216,25.50643
8.490755,4.992942,25.65788
8.347613,5.061191,25.79438
8.199106,5.121659,25.91532
8.045894,5.174078,26.02016
7.888657,5.218216,26.10843
7.728094,5.253876,26.17975
7.564918,5.2809,26.2338
7.399854,5.299167,26.27033
7.233635,5.308597,26.28919
7.067001,5.309147,26.29029
6.900691,5.300816,26.27363
6.735444,5.28364,26.23928
6.571994,5.257695,26.18739
6.411068,5.223097,26.11819
6.253381,5.18,26.032
6.099633,5.128595,25.92919
5.950506,5.06911,25.81022
5.806664,5.001809,25.67562
5.668747,4.926992,25.52599
5.537365,4.844992,25.36198
5.413104,4.756171,25.18434
5.296515,4.660926,24.99385
5.188117,4.559679,24.79136
5.08839,4.452879,24.57776
4.997778,4.341002,24.354
4.916683,4.224545,24.12109
4.845467,4.104024,23.88005
4.784444,3.979976,23.63195
4.733887,3.852951,23.3779
4.694019,3.723514,23.11903
4.665019,3.592239,22.85648
4.647014,3.459711,22.59142
4.640085,3.326518,22.32504
4.644263,3.193251,22.0585
4.659529,3.060503,21.79301
4.685815,2.928864,21.52973
4.723004,2.798918,21.26983
4.770932,2.671242,21.01448
4.829385,2.546404,20.76481
4.898104,2.424959,20.52192
4.976783,2.307446,20.28689
5.065073,2.194386,20.06077
5.162581,2.086284,19.84457
5.268874,1.983618,19.63924
5.383481,1.886845,19.44569
5.505891,1.796395,19.26479
5.635562,1.712669,19.09734
5.771916,1.63604,18.94408
5.914349,1.566848,18.8057
6.062226,1.505401,18.6828
6.214892,1.451971,18.57594
6.371668,1.406796,18.48559
6.531857,1.370076,18.41215
6.69475,1.341975,18.35595
6.85962,1.322618,18.31724
7.025735,1.31209,18.29618
7.192358,1.310439,18.29288
7.358748,1.317671,18.30734
7.524166,1.333754,18.33951
7.687878,1.358618,18.38924
7.849156,1.392152,18.4563
8.007283,1.434206,18.54041
8.161557,1.484593,18.64119
8.311292,1.543091,18.75818
8.455824,1.609439,18.89088
8.594509,1.683341,19.03868
8.726732,1.764471,19.20094
8.851907,1.852468,19.37694
8.969475,1.94694,19.56588
9.078915,2.047467,19.76693
9.179741,2.153604,19.97921
9.271505,2.264878,20.20176
9.353799,2.380796,20.43359
9.426257,2.500842,20.67368
9.488559,2.624484,20.92097
9.540426,2.75117,21.17434
9.581628,2.880339,21.43268
9.611983,3.011417,21.69483
9.631355,3.143822,21.95964
9.639659,3.276965,22.22593
9.636857,3.410254,22.49251
9.622962,3.543099,22.7582
9.598036,3.674908,23.02182
9.562189,3.805096,23.28219
9.515581,3.933084,23.53817
9.458419,4.058303,23.78861
9.390956,4.180198,24.0324
9.313494,4.298227,24.26845
9.226374,4.411865,24.49573
9.129985,4.520609,24.71322
9.024755,4.623974,24.91995
8.911151,4.721501,25.115
8.789679,4.812757,25.29751
8.660877,4.897336,25.46667
8.525319,4.974863,25.62173
8.383606,5.044994,25.76199
8.236367,5.107417,25.88683
8.084258,5.161853,25.99571
7.927954,5.208063,26.08813
7.768148,5.24584,26.16368
7.605553,5.275016,26.22203
7.440889,5.295462,26.26292
7.274888,5.307087,26.28617
7.108287,5.309839,26.29168
6.941827,5.303707,26.27941
6.77625,5.288716,26.24943
6.612285,5.264935,26.20187
6.450666,5.232468,26.13694
6.292111,5.191461,26.05492
6.137322,5.142094,25.95619
5.986989,5.084588,25.84118
5.841777,5.019197,25.71039
5.702333,4.946213,25.56443
5.569277,4.86596,25.40392
5.443199,4.778793,25.22959
5.32466,4.685102,25.0422
5.214185,4.585301,24.8426
5.112267,4.479834,24.63167
5.019358,4.36917,24.41034
4.93587,4.2538,24.1796
4.862174,4.134237,23.94047
4.798598,4.01101,23.69402
4.745425,3.884671,23.44134
4.70289,3.755778,23.18356
4.671184,3.624905,22.92181
4.650445,3.492633,22.65727
4.640767,3.35955,22.3911
4.642193,3.226246,22.12449
4.654716,3.093314,21.85863
4.67828,2.961346,21.59469
4.712782,2.830926,21.33385
4.758067,2.702634,21.07727
4.813934,2.577041,20.82608
4.880136,2.454705,20.58141
4.956378,2.336168,20.34434
5.042322,2.221956,20.11591
5.137585,2.11258,19.89716
5.241745,2.008523,19.68905
5.354337,1.910249,19.4925
5.474863,1.818194,19.30839
5.602787,1.732767,19.13753
5.73754,1.654346,18.98069
5.878525,1.583282,18.83856
6.025114,1.519889,18.71178
6.176655,1.464449,18.6009
6.332477,1.417208,18.50642
6.491887,1.378377,18.42875
6.654176,1.348127,18.36826
6.818623,1.326594,18.32519
6.9845,1.313872,18.29975
7.151066,1.310019,18.29204
7.317584,1.315052,18.3021
7.483311,1.328948,18.3299
7.647514,1.351645,18.37529
