u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
61.0,83.0,42.0,92.5,59.0,75.0,52.0,75.0,36.0,76.0,42.0,69.5,44.0,68.5
61.0,83.0,42.0,93.0,59.0,75.0,52.0,75.0,36.0,76.0,42.0,69.5,23.5,69.5
60.5,83.0,42.0,93.0,59.0,76.0,52.0,75.0,36.0,77.0,42.0,69.5,23.5,69.5
61.0,83.0,42.0,93.0,59.5,76.0,32.0,75.0,36.0,77.0,42.0,70.0,23.5,69.5
61.0,83.0,2.0,86.0,60.0,76.0,32.0,75.0,36.0,77.5,42.0,70.0,23.5,69.5
61.0,84.0,43.0,94.0,59.5,76.5,52.0,77.0,36.0,77.5,42.0,70.0,23.5,70.0
61.0,84.0,43.0,94.0,60.0,77.0,52.0,77.0,36.0,78.0,42.0,71.0,44.0,70.5
61.0,84.0,23.0,90.0,60.0,77.0,52.0,77.0,36.0,78.0,42.5,71.0,44.0,70.5
61.5,85.0,3.0,86.0,60.0,77.5,12.0,74.0,36.5,78.5,42.5,71.5,44.0,70.5
61.5,85.0,3.0,86.0,60.0,78.0,12.0,74.0,36.5,79.0,42.5,71.5,23.5,71.0
61.0,85.0,2.0,86.0,60.0,78.0,12.0,74.0,36.5,79.0,42.5,71.5,23.5,71.0
62.0,86.0,1.0,85.0,60.0,79.0,32.5,76.0,36.5,79.5,42.5,71.5,23.5,71.0
62.0,86.0,1.0,85.0,60.0,79.0,32.5,76.5,36.5,79.5,43.0,72.0,23.5,71.0
62.0,86.0,3.0,86.0,60.0,79.0,12.0,74.0,36.5,79.5,42.5,72.5,44.0,71.0
62.0,86.5,3.0,86.0,60.0,79.0,12.0,74.0,36.5,79.5,42.5,72.5,24.0,71.5
62.0,87.0,2.0,86.0,60.0,79.0,32.5,76.5,36.5,79.5,43.0,73.0,45.0,72.0
62.0,87.0,3.0,86.0,60.0,79.0,12.0,74.0,37.0,80.5,43.0,73.0,24.0,72.0
62.0,87.0,3.0,86.0,60.0,80.0,32.5,76.5,37.0,81.0,43.0,73.0,24.0,72.0
62.0,87.0,3.0,86.0,39.0,75.0,12.0,73.5,37.0,81.0,43.5,73.5,24.0,72.0
62.0,87.0,2.0,86.0,61.0,80.0,33.0,77.0,37.0,82.0,43.5,73.5,3.0,71.0
62.0,87.0,1.0,86.0,61.0,80.5,12.0,74.0,37.5,81.5,43.5,74.5,3.0,71.0
