x,y,z
7.14,4.87,21.72
7.14,4.87,21.72
7.14,4.87,21.72
7.14,4.87,21.72
7.206654,4.969958,21.76999
7.273234,5.069667,21.81996
7.339667,5.168876,21.86986
7.405877,5.267339,21.91967
7.471792,5.364808,21.96935
7.537339,5.46104,22.01888
7.602444,5.555796,22.06822
7.667035,5.648837,22.11734
7.73104,5.739931,22.16621
7.794389,5.828851,22.21481
7.857011,5.915374,22.26309
7.918837,5.999285,22.31104
7.979796,6.080373,22.35862
8.039824,6.158435,22.40579
8.098851,6.233277,22.45255
8.156813,6.304712,22.49884
8.213646,6.372561,22.54464
8.269285,6.436654,22.58993
8.323669,6.496831,22.63468
8.37674,6.552942,22.67885
8.428435,6.604846,22.72243
8.4787,6.652415,22.76537
8.527476,6.695528,22.80767
8.574712,6.734078,22.84929
8.620354,6.767969,22.89019
8.664351,6.797116,22.93037
8.706654,6.821446,22.96979
8.747216,6.840899,23.00843
8.785994,6.855426,23.04627
8.822942,6.86499,23.08328
8.858021,6.869567,23.11943
8.891191,6.869147,23.15471
8.922415,6.86373,23.18909
8.951658,6.85333,23.22256
8.978889,6.837972,23.25509
9.004078,6.817695,23.28665
9.027195,6.79255,23.31724
9.048216,6.7626,23.34683
9.067116,6.727919,23.3754
9.083876,6.688595,23.40294
9.098475,6.644724,23.42943
9.110899,6.596418,23.45485
9.121134,6.543797,23.47918
9.129167,6.486993,23.50241
9.13499,6.426146,23.52453
9.138597,6.36141,23.54553
9.139983,6.292946,23.56538
9.139147,6.220926,23.58408
9.13609,6.145529,23.60161
9.130816,6.066944,23.61797
9.123329,5.985367,23.63314
9.11364,5.901002,23.64712
9.101757,5.814061,23.65989
9.087695,5.72476,23.67145
9.071469,5.633322,23.68179
9.053097,5.539976,23.6909
9.0326,5.444956,23.69878
9.01,5.348498,23.70543
8.985322,5.250844,23.71083
8.958594,5.15224,23.71499
8.929846,5.052929,23.7179
8.89911,4.95316,23.71957
8.866419,4.853185,23.71998
8.831809,4.753251,23.71915
8.795321,4.65361,23.71706
8.756992,4.554508,23.71373
8.716868,4.456196,23.70915
8.674992,4.358917,23.70333
8.63141,4.262917,23.69627
8.586171,4.168433,23.68797
8.539326,4.075703,23.67844
8.490926,3.984959,23.66769
8.441025,3.896426,23.65573
8.389679,3.810328,23.64255
8.336944,3.726876,23.62817
8.282879,3.646284,23.6126
8.227545,3.568749,23.59584
8.171002,3.494467,23.57792
8.113315,3.423623,23.55883
8.054545,3.356395,23.53859
7.99476,3.292949,23.51722
7.934024,3.233445,23.49472
7.872407,3.178032,23.47112
7.809976,3.126848,23.44642
7.7468,3.080021,23.42064
7.682951,3.037668,23.3938
7.618498,2.999895,23.36591
7.553514,2.966796,23.33699
7.48807,2.938454,23.30706
7.422239,2.914939,23.27615
7.356095,2.896312,23.24425
7.289711,2.882618,23.21141
7.223161,2.873891,23.17763
7.156518,2.870153,23.14295
7.089857,2.871414,23.10737
7.023251,2.877671,23.07092
6.956775,2.888907,23.03364
6.890503,2.905095,22.99553
6.824508,2.926194,22.95662
6.758863,2.952151,22.91694
6.693643,2.982903,22.87652
6.628918,3.018371,22.83537
6.56476,3.058467,22.79352
6.501242,3.103091,22.751
6.438433,3.152132,22.70784
6.376404,3.205465,22.66406
6.315223,3.26296,22.61969
6.254959,3.324471,22.57476
6.195678,3.389846,22.52929
6.137445,3.458919,22.48332
6.080327,3.53152,22.43687
6.024386,3.607467,22.38997
5.969685,3.68657,22.34266
5.916284,3.768629,22.29495
5.864242,3.853442,22.24689
5.813618,3.940796,22.1985
5.764467,4.030473,22.14981
5.716845,4.122248,22.10084
5.670804,4.215891,22.05165
5.626395,4.311169,22.00224
5.583667,4.407845,21.95266
5.542669,4.505676,21.90293
5.503445,4.604417,21.85309
5.46604,4.703823,21.80316
5.430494,4.803642,21.75318
5.396848,4.903628,21.70318
5.365139,5.003531,21.6532
5.335401,5.103099,21.60325
5.307668,5.202085,21.55338
5.281971,5.30024,21.50361
5.258338,5.397321,21.45398
5.236795,5.493083,21.40451
5.217368,5.587288,21.35524
5.200076,5.679699,21.3062
5.184939,5.770088,21.25741
5.171975,5.858228,21.20892
5.161197,5.943896,21.16074
5.152618,6.02688,21.11292
5.146246,6.106973,21.06547
5.14209,6.183974,21.01843
5.140153,6.25769,20.97183
5.140439,6.327939,20.9257
5.142945,6.394543,20.88007
5.147671,6.457336,20.83496
5.15461,6.516162,20.7904
5.163754,6.570873,20.74643
5.175095,6.621334,20.70306
5.188618,6.667416,20.66033
5.204309,6.709006,20.61826
5.222152,6.746,20.57688
5.242125,6.778305,20.53621
5.264205,6.80584,20.49628
5.288371,6.828536,20.45712
5.314593,6.846336,20.41875
5.342844,6.859198,20.38119
5.373091,6.867086,20.34447
5.405301,6.869984,20.3086
5.439438,6.867883,20.27362
5.475465,6.860787,20.23955
5.513341,6.848716,20.20639
5.553024,6.831699,20.17419
5.594471,6.809779,20.14295
5.637634,6.783011,20.1127
5.682468,6.751461,20.08344
5.72892,6.715208,20.05522
5.776939,6.674343,20.02803
5.826474,6.628968,20.0019
5.877467,6.579197,19.97685
5.929863,6.525154,19.95288
5.983604,6.466974,19.93002
6.03863,6.404802,19.90828
6.094878,6.338794,19.88767
6.152288,6.269114,19.8682
6.210796,6.195937,19.84989
6.270336,6.119448,19.83275
6.330842,6.039834,19.8168
6.392247,5.957296,19.80202
6.454484,5.872041,19.78845
6.517481,5.78428,19.77609
6.58117,5.694235,19.76494
6.64548,5.602129,19.75501
6.710339,5.508196,19.74631
6.775676,5.412665,19.73885
6.841417,5.315778,19.73262
6.90749,5.217779,19.72763
6.973822,5.118908,19.72389
7.040338,5.019416,19.7214
7.106965,4.919549,19.72015
7.173628,4.81956,19.72016
7.240254,4.719697,19.72141
7.306769,4.620209,19.72392
7.373099,4.521346,19.72767
7.43917,4.423353,19.73267
7.504908,4.326477,19.73891
7.570241,4.23096,19.74638
7.635096,4.13704,19.75509
7.6994,4.044953,19.76503
7.763083,3.954927,19.77619
7.826074,3.867188,19.78857
7.888303,3.781958,19.80215
7.9497,3.699445,19.81693
8.010198,3.619858,19.8329
8.069729,3.543396,19.85005
8.128227,3.470249,19.86837
8.185627,3.400603,19.88785
8.241865,3.334628,19.90847
8.296881,3.272491,19.93022
8.350609,3.214346,19.95309
8.402993,3.16034,19.97707
8.453974,3.110608,20.00213
8.503494,3.065272,20.02827
8.5515,3.024449,20.05546
8.597939,2.988237,20.0837
8.642756,2.956729,20.11296
8.685905,2.930004,20.14322
8.727336,2.908127,20.17447
8.767003,2.891154,20.20668
8.804863,2.879127,20.23985
8.840874,2.872077,20.27393
8.874994,2.870019,20.30892
8.907187,2.872962,20.34479
8.937416,2.880895,20.38152
8.965649,2.8938,20.41909
8.991854,2.911645,20.45747
9.016,2.934384,20.49664
9.038063,2.961962,20.53657
9.058017,2.994308,20.57724
9.075839,3.031343,20.61863
9.091512,3.072974,20.6607
9.105016,3.119096,20.70344
9.116337,3.169594,20.74681
9.125462,3.224343,20.79079
9.13238,3.283205,20.83536
9.137087,3.346034,20.88047
9.139574,3.412671,20.92611
9.139839,3.482951,20.97225
9.137882,3.556697,21.01885
9.133706,3.633727,21.06589
9.127316,3.713846,21.11334
9.118716,3.796854,21.16117
9.107919,3.882547,21.20935
9.094934,3.970707,21.25784
9.07978,4.061113,21.30663
9.062469,4.153543,21.35567
9.043022,4.247761,21.40495
9.021461,4.343538,21.45442
8.997809,4.440628,21.50405
8.972094,4.538795,21.55382
8.944344,4.637785,21.60369
8.914587,4.737358,21.65364
8.882861,4.837261,21.70363
8.849197,4.937247,21.75363
8.813635,5.037063,21.8036
8.776213,5.136466,21.85353
8.736974,5.235198,21.90337
8.69596,5.333022,21.9531
8.653216,5.429686,22.00268
8.608793,5.52495,22.05208
8.562737,5.618578,22.10128
8.515101,5.710334,22.15024
8.465937,5.799993,22.19893
8.4153,5.887323,22.24732
8.363246,5.972115,22.29538
8.309834,6.054148,22.34308
8.25512,6.133224,22.39039
8.19917,6.20914,22.43729
8.14204,6.281711,22.48373
8.083799,6.350751,22.5297
8.024508,6.416093,22.57516
7.964237,6.477569,22.62009
7.903048,6.535028,22.66445
7.84101,6.588325,22.70823
7.778196,6.637326,22.75138
7.714671,6.68191,22.7939
7.650509,6.721965,22.83574
7.585778,6.757392,22.87688
7.520554,6.7881,22.9173
7.454905,6.814015,22.95697
7.388908,6.835071,22.99587
7.322633,6.851215,23.03397
7.256157,6.862407,23.07125
7.189549,6.868619,23.10769
7.122889,6.869835,23.14326
7.056246,6.866053,23.17794
6.989696,6.857282,23.21171
6.923315,6.843544,23.24454
6.857172,6.824872,23.27643
6.791346,6.801315,23.30733
6.725904,6.77293,23.33725
6.660926,6.73979,23.36616
6.596477,6.701975,23.39404
6.532634,6.659582,23.42087
6.469464,6.612714,23.44664
6.407041,6.561493,23.47133
6.345431,6.506042,23.49493
6.284705,6.446504,23.51742
6.224927,6.383024,23.53878
6.166168,6.315763,23.55901
6.108489,6.244886,23.57808
6.051956,6.170573,23.596
5.996634,6.093011,23.61274
5.94258,6.012392,23.6283
5.889858,5.928918,23.64267
5.838523,5.842796,23.65584
5.788636,5.754244,23.6678
5.74025,5.663479,23.67854
5.693419,5.570734,23.68805
5.648194,5.476233,23.69634
5.604628,5.380222,23.70339
5.562767,5.282933,23.7092
