u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
81.0,83.0,64.0,93.0,78.5,76.0,73.0,76.0,56.0,76.0,61.5,69.0,64.0,69.0
81.0,83.0,64.0,93.0,78.5,76.5,73.0,76.0,56.0,76.5,61.5,69.5,64.0,69.0
80.5,83.5,63.0,94.0,78.5,77.0,72.0,77.0,56.0,77.0,60.5,70.0,63.0,70.0
80.0,85.0,63.0,95.0,78.0,78.0,71.5,77.5,55.0,77.0,60.5,70.5,62.5,70.5
79.0,85.5,62.0,95.5,77.0,78.0,70.0,78.0,54.5,77.5,59.5,71.5,62.5,71.5
78.5,86.0,62.0,96.0,76.5,79.0,70.0,79.0,54.0,78.5,59.0,72.0,62.0,72.0
78.5,87.0,61.0,97.0,76.5,79.5,69.5,79.5,53.0,79.0,58.0,72.0,61.5,72.0
78.0,87.5,60.5,97.5,76.5,79.5,69.0,80.0,53.0,79.0,58.0,73.0,60.0,73.0
77.0,87.5,60.0,98.0,75.5,80.5,68.5,80.0,52.5,80.0,58.0,73.0,60.5,73.5
77.0,88.0,59.5,98.5,75.0,81.0,68.0,81.0,52.0,81.0,57.5,73.5,60.0,74.0
76.5,89.0,59.0,99.0,74.5,81.5,67.5,81.5,51.0,82.0,56.5,74.5,59.5,74.5
76.0,89.0,59.0,100.0,74.0,82.0,67.5,81.5,51.0,82.0,56.5,74.5,59.0,75.0
75.5,89.5,58.5,100.0,74.0,82.0,67.0,82.0,50.5,82.5,56.5,75.5,58.5,75.5
75.5,90.5,58.0,101.0,74.0,83.0,66.5,83.0,50.0,83.0,56.0,76.0,58.5,75.5
75.0,91.0,58.0,101.0,73.0,83.5,66.5,83.5,49.5,83.5,55.5,76.0,58.0,76.0
74.5,91.5,57.0,101.5,72.5,83.5,66.0,84.0,49.0,84.0,55.0,77.0,58.0,76.0
74.5,91.5,56.5,102.0,72.5,83.5,66.0,84.0,49.0,84.0,54.5,77.0,57.0,77.0
74.0,92.0,57.0,102.0,72.5,84.0,65.5,84.5,48.5,84.5,54.5,77.5,56.5,77.5
73.0,92.0,56.5,102.5,72.0,84.0,64.5,85.0,48.0,84.0,54.0,78.0,56.5,77.5
73.0,92.5,56.0,103.5,,,64.0,85.0,48.0,85.0,54.0,78.0,56.0,78.0
73.0,93.0,55.5,103.5,70.5,85.5,64.5,85.5,48.0,85.5,53.5,78.5,56.0,78.0
72.5,93.5,55.0,104.0,70.5,85.5,64.0,86.0,47.0,86.0,53.0,78.5,56.0,78.5
72.5,93.5,55.0,104.0,70.5,85.5,64.0,86.0,47.0,86.0,52.5,78.5,55.0,79.0
72.0,93.5,54.5,104.5,70.0,86.0,63.5,86.5,46.5,86.5,52.5,79.0,55.0,79.0
72.0,94.0,54.0,104.5,70.0,86.0,63.0,86.0,46.0,87.0,52.5,79.5,54.5,79.5
71.0,94.0,54.0,105.0,69.5,86.5,62.5,86.5,46.0,87.0,52.0,79.0,54.5,79.5
71.0,94.0,53.0,105.0,69.5,86.5,62.5,86.5,45.5,87.0,52.0,80.0,54.0,79.0
70.5,94.0,53.0,105.0,69.0,87.0,62.0,87.0,45.0,87.0,51.5,79.5,54.0,79.5
70.0,94.0,53.0,105.0,69.0,87.0,62.0,87.0,45.0,87.0,51.0,80.0,53.5,79.5
70.0,94.0,52.5,105.5,68.5,87.0,62.0,87.0,44.5,87.5,50.5,79.5,53.5,79.5
70.0,94.5,52.5,105.5,68.5,87.0,61.0,87.0,44.5,87.5,50.5,79.5,53.0,79.5
70.0,94.0,52.0,105.0,68.5,87.0,61.0,87.0,44.5,87.5,50.5,79.5,52.5,79.5
69.5,94.5,52.0,105.0,68.0,87.0,61.0,87.0,44.0,87.0,50.5,79.5,52.5,79.5
69.5,94.5,52.0,105.0,68.0,87.0,61.0,87.0,44.0,87.0,50.5,79.5,52.5,79.5
69.5,94.5,52.0,105.0,68.0,87.0,61.0,87.0,44.0,87.0,50.5,79.5,52.5,79.5
69.0,94.0,52.0,105.0,68.0,87.0,60.5,87.0,44.0,87.0,50.5,79.5,52.5,79.5
69.0,94.0,52.0,105.0,68.0,86.5,60.5,86.5,44.0,86.5,50.0,79.5,52.5,79.5
68.5,93.5,51.0,105.0,67.0,86.0,60.5,86.5,43.5,86.5,49.5,79.5,52.0,79.0
68.5,93.5,51.0,104.0,67.0,86.0,60.0,86.0,43.5,86.5,49.5,79.0,52.0,79.0
68.5,93.5,51.0,104.0,67.0,86.0,60.0,86.0,43.0,86.0,49.5,78.5,52.0,79.0
68.5,93.5,50.5,103.5,66.5,85.5,60.0,85.0,43.0,86.0,49.0,78.0,52.0,78.0
68.0,93.0,50.5,103.5,66.5,85.5,60.0,85.5,43.0,85.5,49.0,78.0,51.5,77.5
68.5,92.5,50.5,103.5,67.0,85.0,60.0,85.0,42.5,85.5,49.0,78.0,51.5,77.5
68.0,92.0,50.5,103.0,66.5,84.5,60.0,85.0,43.0,85.0,49.0,77.5,51.5,77.5
68.5,91.5,50.5,102.5,67.0,84.0,60.0,84.0,43.0,85.0,49.0,77.0,52.0,77.0
68.5,91.5,50.5,102.0,66.5,83.5,60.0,84.0,43.0,84.0,49.0,77.0,51.0,77.0
68.5,91.5,50.5,101.5,66.5,83.5,59.5,83.5,42.5,83.5,48.5,76.5,51.0,76.0
68.5,90.5,50.5,101.5,67.0,83.0,59.5,83.5,42.5,83.5,48.5,75.5,51.0,76.0
68.0,90.0,50.5,101.0,66.5,82.5,60.0,83.0,43.0,83.0,48.5,75.5,51.5,75.5
68.5,89.5,50.5,100.0,67.0,82.0,59.5,82.0,42.5,82.5,49.0,75.0,51.0,75.0
68.5,89.5,50.5,99.5,66.5,81.5,59.5,81.5,43.0,82.0,48.5,74.5,51.5,74.5
68.5,89.0,50.5,99.5,66.5,81.5,59.5,81.5,42.5,81.5,49.0,74.0,51.0,74.0
68.5,88.5,50.5,98.5,66.5,81.0,59.5,81.0,43.0,81.0,48.5,73.5,51.5,73.5
68.5,87.5,50.5,98.0,67.0,80.0,59.5,80.5,42.5,80.5,49.0,73.0,51.0,73.0
68.5,87.0,51.0,97.0,67.0,80.0,60.0,79.5,43.0,80.0,49.0,73.0,51.5,72.5
68.0,87.0,51.0,97.0,67.0,79.0,60.0,79.0,43.0,79.5,49.0,72.0,51.5,71.5
68.5,86.0,51.5,96.5,67.0,79.0,60.0,78.5,43.0,79.0,49.5,71.5,51.5,71.5
68.5,85.5,51.5,95.5,67.0,78.0,60.0,78.0,43.0,78.0,49.0,71.0,52.0,71.0
69.0,85.0,51.5,95.5,67.0,77.0,60.0,77.0,43.0,78.0,49.5,70.0,52.0,70.0
69.0,84.0,52.0,95.0,67.5,77.0,60.0,77.0,44.0,78.0,50.0,69.0,52.0,70.0
69.0,84.0,52.0,94.0,68.0,77.0,61.0,77.0,44.0,77.0,49.5,69.5,52.0,69.5
70.0,83.0,52.0,93.0,68.0,76.0,60.5,76.0,44.0,76.0,50.0,69.0,52.5,68.5
70.0,83.0,52.0,93.0,68.5,75.0,61.0,75.0,44.0,76.0,50.0,68.0,52.5,68.5
70.0,82.0,52.5,92.0,69.0,75.0,61.5,75.0,44.5,75.0,50.5,67.5,52.5,67.5
70.5,81.5,53.0,91.0,68.5,74.0,62.0,74.0,45.0,74.0,50.5,67.5,52.5,67.0
