x,y,z
10.13833,3.409981,22.39198
10.13334,3.509852,22.49185
10.12501,3.6095,22.5915
10.11337,3.708816,22.69081
10.09843,3.807688,22.78969
10.0802,3.906008,22.88801
10.0587,4.003665,22.98566
10.03396,4.100552,23.08255
10.00601,4.19656,23.17856
9.974871,4.291584,23.27358
9.940582,4.385517,23.36752
9.903183,4.478255,23.46025
9.862713,4.569695,23.55169
9.819219,4.659736,23.64174
9.772747,4.748277,23.73028
9.723351,4.83522,23.81722
9.671085,4.920468,23.90247
9.616007,5.003927,23.98593
9.558177,5.085505,24.0675
9.497662,5.16511,24.14711
9.434526,5.242653,24.22465
9.368842,5.318049,24.30005
9.300681,5.391215,24.37321
9.23012,5.462069,24.44407
9.157236,5.53053,24.51253
9.082112,5.596526,24.57853
9.004829,5.659981,24.64198
8.925476,5.720825,24.70283
8.844138,5.77899,24.76099
8.760906,5.834413,24.81641
8.675875,5.887031,24.86903
8.589136,5.936786,24.91879
8.500788,5.983622,24.96562
8.410928,6.027488,25.00949
8.319655,6.068335,25.05033
8.227073,6.106117,25.08812
8.133283,6.140793,25.12279
8.038388,6.172324,25.15432
7.942496,6.200675,25.18267
7.845713,6.225814,25.20781
7.748145,6.247713,25.22971
7.649901,6.266349,25.24835
7.551091,6.281701,25.2637
7.451825,6.29375,25.27575
7.352211,6.302485,25.28448
7.252362,6.307895,25.28989
7.152389,6.309974,25.29198
7.052401,6.308721,25.29072
6.952511,6.304135,25.28613
6.852829,6.296224,25.27822
6.753466,6.284995,25.26699
6.654532,6.27046,25.25246
6.556139,6.252636,25.23464
6.458394,6.231543,25.21354
6.361405,6.207204,25.1892
6.265282,6.179646,25.16165
6.170131,6.1489,25.1309
6.076057,6.115,25.097
5.983165,6.077984,25.05998
5.891559,6.037892,25.01989
5.801339,5.99477,24.97677
5.712607,5.948665,24.93066
5.625461,5.899628,24.88163
5.539998,5.847714,24.82971
5.456312,5.792981,24.77498
5.374496,5.735489,24.71749
5.294642,5.675303,24.6573
5.216838,5.612488,24.59449
5.141171,5.547115,24.52912
5.067725,5.479257,24.46126
4.996581,5.408989,24.39099
4.927818,5.33639,24.31839
4.861514,5.261538,24.24354
4.79774,5.184518,24.16652
4.736568,5.105416,24.08742
4.678068,5.024319,24.00632
4.622302,4.941318,23.92332
4.569334,4.856503,23.8385
4.519221,4.769972,23.75197
4.47202,4.681818,23.66382
4.427783,4.592139,23.57414
4.38656,4.501036,23.48304
4.348395,4.40861,23.39061
4.313333,4.314964,23.29696
4.28141,4.220201,23.2022
4.252664,4.124427,23.10643
4.227125,4.027748,23.00975
4.204823,3.930271,22.91227
4.185781,3.832105,22.8141
4.170022,3.733359,22.71536
4.157563,3.634143,22.61614
4.148417,3.534567,22.51657
4.142594,3.434741,22.41674
4.140102,3.334777,22.31678
4.140943,3.234786,22.21679
4.145115,3.134877,22.11688
4.152616,3.035163,22.01716
4.163435,2.935755,21.91776
4.177561,2.836762,21.81876
4.194978,2.738296,21.72029
4.215667,2.640464,21.62246
4.239605,2.543376,21.52538
4.266766,2.44714,21.42914
4.297119,2.351862,21.33386
4.33063,2.25765,21.23965
4.367262,2.164606,21.14661
4.406976,2.072835,21.05483
4.449725,1.982438,20.96444
4.495463,1.893517,20.87552
4.544139,1.806169,20.78817
4.5957,1.720491,20.70249
4.650087,1.63658,20.61858
4.707241,1.554528,20.53653
4.767097,1.474426,20.45642
4.82959,1.396363,20.37836
4.894649,1.320427,20.30243
4.962203,1.246701,20.2287
5.032177,1.175267,20.15727
5.104493,1.106205,20.08821
5.179069,1.039593,20.02159
5.255826,0.9755005,19.9575
5.334674,0.9140034,19.896
5.415529,0.8551679,19.83717
5.4983,0.79906,19.78106
5.582894,0.7457416,19.72774
5.669218,0.6952723,19.67727
5.757176,0.6477078,19.62971
5.846671,0.6031012,19.5851
5.937603,0.5615019,19.5435
6.029871,0.5229563,19.50496
6.123371,0.4875071,19.46951
6.218001,0.4551936,19.43719
6.313656,0.426052,19.40805
6.410229,0.4001143,19.38211
6.507612,0.3774096,19.35941
6.6057,0.3579627,19.33996
6.70438,0.3417959,19.3238
6.803544,0.3289269,19.31093
6.903081,0.3193696,19.30137
7.002882,0.3131351,19.29514
7.102835,0.3102301,19.29223
7.202829,0.310658,19.29266
7.302753,0.3144181,19.29642
7.402497,0.3215061,19.30351
7.501949,0.3319145,19.31392
7.600999,0.3456317,19.32763
7.699537,0.3626422,19.34464
7.797453,0.3829272,19.36493
7.894639,0.4064642,19.38846
7.990988,0.4332276,19.41523
8.08639,0.4631866,19.44519
8.18074,0.4963085,19.47831
8.273934,0.5325564,19.51456
8.365869,0.5718899,19.55389
8.456441,0.6142656,19.59627
8.54555,0.6596364,19.64164
8.633099,0.7079516,19.68995
8.718988,0.7591578,19.74116
8.803123,0.8131979,19.7952
8.88541,0.8700121,19.85201
8.965759,0.9295369,19.91154
9.044079,0.9917066,19.97371
9.120283,1.056452,20.03845
9.194288,1.123702,20.1057
9.26601,1.19338,20.17538
9.33537,1.26541,20.24741
9.40229,1.339711,20.32171
9.466698,1.416201,20.3982
9.528521,1.494795,20.4768
9.587689,1.575406,20.55741
9.644138,1.657944,20.63994
9.697805,1.742317,20.72432
9.748631,1.828433,20.81043
9.796558,1.916194,20.89819
9.841535,2.005504,20.9875
9.883509,2.096263,21.07826
9.922436,2.18837,21.17037
9.958271,2.281725,21.26373
9.990974,2.376221,21.35822
10.02051,2.471755,21.45375
10.04685,2.56822,21.55022
10.06995,2.665509,21.64751
10.08981,2.763514,21.74551
10.10638,2.862126,21.84413
10.11966,2.961235,21.94324
10.12963,3.060733,22.04273
10.13627,3.160507,22.14251
10.13959,3.260447,22.24245
10.13958,3.360442,22.34244
10.13623,3.460382,22.44238
10.12955,3.560153,22.54215
10.11955,3.659649,22.64165
10.10625,3.758755,22.74076
10.08964,3.857362,22.83936
10.06976,3.955361,22.93736
