u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
47.375,75.25,73.5,53.66666666666666,30.0,99.71428571428572,29.5,76.0,31.5,54.0,73.83333333333333,99.16666666666669,75.33333333333333,75.77777777777777
47.625,75.5,73.5,54.5,30.125,100.125,29.714285714285715,77.0,31.4,54.8,73.8,99.6,75.83333333333333,76.0
47.375,76.125,73.4,54.8,30.125,100.875,30.0,77.5,31.5,55.0,74.16666666666667,100.16666666666669,75.71428571428571,76.71428571428571
46.85714285714285,76.42857142857143,73.5,55.5,30.2,101.4,29.83333333333333,78.16666666666667,31.666666666666668,55.66666666666666,74.2,100.6,75.5,77.5
47.625,77.25,73.5,55.5,30.5,102.0,30.2,78.6,31.33333333333333,56.333333333333336,74.16666666666667,101.16666666666669,75.6,78.2
44.8,76.8,73.66666666666667,56.333333333333336,30.8,102.4,30.5,79.5,31.666666666666668,56.66666666666666,74.66666666666667,102.33333333333331,75.5,78.5
44.8,77.6,74.5,57.0,30.75,103.0,30.5,79.5,32.5,57.5,74.66666666666667,102.33333333333331,75.6,79.2
44.8,77.6,74.5,57.5,31.0,103.6,30.5,80.5,32.333333333333336,57.66666666666666,75.0,103.5,76.0,79.75
46.5,78.66666666666667,74.5,58.5,31.166666666666668,104.16666666666669,30.75,81.0,32.5,58.5,75.0,103.5,76.5,80.5
34.666666666666664,75.33333333333333,74.5,58.5,31.25,104.75,31.2,81.4,33.0,59.25,75.33333333333333,103.66666666666669,76.5,80.5
32.375,75.125,74.66666666666667,59.333333333333336,31.5,105.5,31.5,81.5,33.5,59.5,75.5,104.5,76.5,81.5
32.375,75.125,75.33333333333333,59.66666666666666,32.0,106.0,31.5,82.5,33.666666666666664,60.333333333333336,76.0,105.5,76.66666666666667,81.66666666666667
29.285714285714285,74.57142857142857,75.5,60.5,32.5,106.0,32.2,82.6,33.8,60.6,76.33333333333333,105.66666666666669,77.0,82.25
29.571428571428573,74.57142857142857,75.5,60.5,32.5,107.0,32.5,83.5,34.5,61.5,76.5,106.5,77.5,82.5
32.875,76.125,75.66666666666667,61.333333333333336,32.6,107.2,32.5,83.5,34.5,61.5,76.5,106.5,77.5,83.5
