u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
61.0,105.5,43.0,117.0,59.0,97.0,52.5,98.0,36.0,98.0,42.0,90.0,44.0,90.5
61.0,105.5,43.0,117.0,59.0,97.5,52.0,98.0,36.0,98.0,42.0,90.0,44.5,90.0
61.0,105.0,43.0,117.0,59.0,97.0,52.5,97.5,36.0,98.0,42.0,90.0,44.5,90.0
61.0,105.0,43.0,117.0,59.0,97.0,52.5,97.5,36.0,98.0,42.0,90.0,44.5,90.0
61.0,105.0,43.0,117.0,59.0,97.0,52.5,97.5,36.0,98.0,42.0,90.0,44.5,90.0
61.0,105.0,43.0,117.0,59.0,97.0,52.5,97.5,36.0,98.0,42.0,90.0,45.0,90.0
61.0,105.0,43.0,116.0,59.5,96.5,52.5,97.5,36.0,97.5,42.0,90.0,44.5,89.5
61.0,105.0,43.0,116.0,59.5,96.5,53.0,97.0,36.0,97.5,42.0,89.5,44.5,89.5
61.0,104.0,43.0,116.0,59.5,96.5,53.0,97.0,36.0,97.5,42.0,89.0,45.0,89.0
61.0,104.0,43.0,116.0,60.0,96.0,53.0,97.0,36.0,97.5,42.0,89.0,45.0,89.0
61.5,104.0,43.0,116.0,60.0,96.0,53.0,96.5,36.0,97.5,42.5,89.5,45.0,89.0
61.5,104.0,43.0,115.5,60.0,96.0,53.0,96.0,36.0,97.0,42.5,89.5,45.0,89.0
62.0,104.0,43.0,115.5,60.0,96.0,53.0,96.0,36.0,97.0,42.5,89.0,45.0,89.0
62.0,104.0,43.5,116.0,60.5,95.5,53.0,96.0,36.5,97.0,43.0,89.0,45.0,89.0
62.0,103.5,43.5,115.5,60.5,95.5,53.0,96.0,36.5,96.5,43.0,89.0,45.0,89.0
62.0,103.5,44.0,115.0,60.5,95.5,53.5,95.5,36.5,96.5,42.5,88.5,45.5,88.5
62.0,103.0,44.0,115.0,60.0,95.0,54.0,96.0,37.0,96.0,43.0,88.0,45.5,88.5
62.0,103.0,44.0,115.0,60.5,95.0,54.0,96.0,37.0,96.0,43.0,88.0,45.5,88.0
62.0,103.0,44.0,115.0,60.5,95.0,54.0,95.5,37.0,96.0,43.0,88.0,45.5,87.5
62.0,103.0,44.5,114.5,60.5,95.0,54.0,95.5,37.0,96.0,43.0,88.0,46.0,88.0
62.0,103.0,44.5,114.5,60.5,95.0,54.0,95.0,37.0,96.0,43.5,87.5,46.0,88.0
62.5,102.5,44.0,114.0,61.0,95.0,54.5,95.0,37.5,95.5,43.5,87.5,46.0,87.0
62.5,102.0,44.0,114.0,61.0,94.0,54.5,95.0,37.5,95.5,43.5,87.5,46.5,87.5
63.0,102.0,45.0,114.0,61.0,94.0,54.5,94.5,38.0,95.0,44.0,87.0,46.5,87.5
63.0,102.0,45.0,114.0,61.5,94.0,54.5,94.5,38.0,95.0,44.0,87.0,46.5,87.0
63.0,101.5,45.0,113.5,62.0,93.5,54.5,94.0,38.0,95.0,44.0,87.0,46.5,87.0
63.0,101.5,45.0,113.5,62.0,93.5,55.0,94.0,38.0,95.0,44.5,87.0,46.5,87.0
63.0,101.0,45.5,113.0,62.0,93.5,55.0,94.0,38.0,94.0,44.0,87.0,47.0,86.5
64.0,101.5,46.0,113.0,62.5,93.5,55.0,93.5,38.5,94.0,44.5,86.0,47.0,86.0
64.0,101.0,46.0,113.0,62.5,93.5,55.0,93.0,38.5,94.0,44.5,86.0,47.0,86.0
64.0,101.0,46.0,113.0,62.5,93.5,55.0,93.0,38.5,94.0,45.0,86.0,47.0,86.0
64.0,101.0,46.0,112.0,62.5,93.5,56.0,93.5,39.0,94.0,45.0,86.0,47.5,85.5
64.5,101.0,46.5,112.0,63.0,93.0,56.0,93.5,39.0,94.0,45.0,86.0,47.5,85.5
65.0,101.0,46.5,112.0,63.0,93.0,56.0,93.0,39.0,93.5,45.5,85.5,48.0,85.5
