x,y,z
8.34,1.81,11.46
8.34,1.81,11.46
8.34,1.81,11.46
8.34,1.81,11.46
8.34,1.843327,11.46
8.34,1.876617,11.46
8.34,1.909833,11.46
8.34,1.942939,11.46
8.34,1.975896,11.46
8.34,2.008669,11.46
8.34,2.041222,11.46
8.34,2.073517,11.46
8.34,2.10552,11.46
8.34,2.137195,11.46
8.34,2.168506,11.46
8.34,2.199418,11.46
8.34,2.229898,11.46
8.34,2.259912,11.46
8.34,2.289425,11.46
8.34,2.318407,11.46
8.34,2.346823,11.46
8.34,2.374642,11.46
8.34,2.401835,11.46
8.34,2.42837,11.46
8.34,2.454218,11.46
8.34,2.47935,11.46
8.34,2.503738,11.46
8.34,2.527356,11.46
8.34,2.550177,11.46
8.34,2.572175,11.46
8.34,2.593327,11.46
8.34,2.613608,11.46
8.34,2.632997,11.46
8.34,2.651471,11.46
8.34,2.66901,11.46
8.34,2.685595,11.46
8.34,2.701207,11.46
8.34,2.715829,11.46
8.34,2.729445,11.46
8.34,2.742039,11.46
8.34,2.753598,11.46
8.34,2.764108,11.46
8.34,2.773558,11.46
8.34,2.781938,11.46
8.34,2.789238,11.46
8.34,2.79545,11.46
8.34,2.800567,11.46
8.34,2.804583,11.46
8.34,2.807495,11.46
8.34,2.809298,11.46
8.34,2.809991,11.46
8.34,2.809574,11.46
8.34,2.808045,11.46
8.34,2.805408,11.46
8.34,2.801665,11.46
8.34,2.79682,11.46
8.34,2.790879,11.46
8.34,2.783848,11.46
8.34,2.775735,11.46
8.34,2.766549,11.46
8.34,2.7563,11.46
8.34,2.745,11.46
8.34,2.732661,11.46
8.34,2.719297,11.46
8.34,2.704923,11.46
8.34,2.689555,11.46
8.34,2.673209,11.46
8.34,2.655905,11.46
8.34,2.63766,11.46
8.34,2.618496,11.46
8.34,2.598434,11.46
8.34,2.577496,11.46
8.34,2.555705,11.46
8.34,2.533086,11.46
8.34,2.509663,11.46
8.34,2.485463,11.46
8.34,2.460513,11.46
8.34,2.434839,11.46
8.34,2.408472,11.46
8.34,2.38144,11.46
8.34,2.353772,11.46
8.34,2.325501,11.46
8.34,2.296657,11.46
8.34,2.267272,11.46
8.34,2.23738,11.46
8.34,2.207012,11.46
8.34,2.176203,11.46
8.34,2.144988,11.46
8.34,2.1134,11.46
8.34,2.081475,11.46
8.34,2.049249,11.46
8.34,2.016757,11.46
8.34,1.984035,11.46
8.34,1.95112,11.46
8.34,1.918048,11.46
8.34,1.884856,11.46
8.34,1.851581,11.46
8.34,1.818259,11.46
8.34,1.784928,11.46
8.34,1.751626,11.46
8.34,1.718388,11.46
8.34,1.685252,11.46
8.34,1.652254,11.46
8.34,1.619432,11.46
8.34,1.586821,11.46
8.34,1.554459,11.46
8.34,1.52238,11.46
8.34,1.490621,11.46
8.34,1.459216,11.46
8.34,1.428202,11.46
8.34,1.397612,11.46
8.34,1.367479,11.46
8.34,1.337839,11.46
8.34,1.308723,11.46
8.34,1.280164,11.46
8.34,1.252193,11.46
8.34,1.224843,11.46
