x,y,z
6,4,13.5
6,4,13.5
6,4,13.5
6,4,13.5
6.016666,4.199852,13.54667
6.033333,4.398816,13.59333
6.049999,4.596008,13.64
6.066665,4.790552,13.68666
6.08333,4.981584,13.73332
6.099993,5.168255,13.77998
6.116656,5.349736,13.82664
6.133317,5.52522,13.87329
6.149978,5.693927,13.91994
6.166636,5.855109,13.96658
6.183292,6.008049,14.01322
6.199947,6.152069,14.05985
6.216599,6.286526,14.10648
6.233249,6.410825,14.1531
6.249896,6.524413,14.19971
6.266541,6.626786,14.24631
6.283182,6.717488,14.29291
6.29982,6.796117,14.3395
6.316455,6.862324,14.38607
6.333086,6.915813,14.43264
6.349714,6.956349,14.4792
6.366338,6.98375,14.52575
6.382958,6.997895,14.57228
6.399573,6.998721,14.61881
6.416184,6.986224,14.66532
6.432791,6.96046,14.71181
6.449393,6.921543,14.7583
6.46599,6.869646,14.80477
6.482581,6.805,14.85123
6.499167,6.727892,14.89767
6.515748,6.638665,14.94409
6.532322,6.537714,14.9905
6.548892,6.425489,15.0369
6.565454,6.302488,15.08327
6.582011,6.169257,15.12963
6.598561,6.02639,15.17597
6.615105,5.874518,15.22229
6.631641,5.714319,15.26859
6.648171,5.546504,15.31488
6.664693,5.371818,15.36114
6.681208,5.191036,15.40738
6.697716,5.004964,15.4536
6.714215,4.814427,15.4998
6.730707,4.620271,15.54598
6.747191,4.423359,15.59213
6.763666,4.224567,15.63826
6.780133,4.024777,15.68437
6.796591,3.824877,15.73046
6.81304,3.625755,15.77651
6.829481,3.428296,15.82255
6.845912,3.233377,15.86855
6.862333,3.041862,15.91453
6.878746,2.854606,15.96049
6.895148,2.672438,16.00641
6.911541,2.496169,16.05231
6.927923,2.32658,16.09818
6.944294,2.164426,16.14402
6.960656,2.010427,16.18984
6.977007,1.865267,16.23562
6.993347,1.729593,16.28137
7.009676,1.604003,16.32709
7.025993,1.48906,16.37278
7.0423,1.385272,16.41844
7.058594,1.293101,16.46406
7.074877,1.212956,16.50966
7.091148,1.145194,16.55522
7.107407,1.090114,16.60074
7.123653,1.047963,16.64623
7.139888,1.018927,16.69168
7.156109,1.003135,16.73711
7.172318,1.000658,16.78249
7.188513,1.011506,16.82784
7.204696,1.035632,16.87315
7.220864,1.072927,16.91842
7.23702,1.123228,16.96366
7.253161,1.186309,17.00885
7.269289,1.26189,17.05401
7.285403,1.349637,17.09913
7.301502,1.449158,17.14421
7.317587,1.560012,17.18924
7.333657,1.681707,17.23424
7.349713,1.813702,17.2792
7.365753,1.95541,17.32411
7.381778,2.106201,17.36898
7.397788,2.265406,17.41381
7.413783,2.432317,17.45859
7.429761,2.606194,17.50333
7.445724,2.786263,17.54803
7.461671,2.971725,17.59268
7.477601,3.161755,17.63728
7.493515,3.355509,17.68184
7.509413,3.552126,17.72635
7.525293,3.750733,17.77082
7.541157,3.950447,17.81524
7.557003,4.150382,17.85961
7.572833,4.349649,17.90393
7.588645,4.547362,17.94821
7.604439,4.742643,17.99243
7.620215,4.934625,18.0366
7.635973,5.122455,18.08073
7.651714,5.305297,18.1248
7.667436,5.48234,18.16882
7.683139,5.652798,18.21279
7.698823,5.815914,18.25671
7.714489,5.970961,18.30057
7.730136,6.117251,18.34438
7.745763,6.254135,18.38814
7.761371,6.381004,18.43184
7.77696,6.497295,18.47549
7.792528,6.602491,18.51908
7.808077,6.696125,18.56262
7.823606,6.77778,18.6061
7.839114,6.847094,18.64952
7.854602,6.903759,18.69289
7.87007,6.947524,18.73619
7.885517,6.978192,18.77945
7.900942,6.99563,18.82264
7.916347,6.999759,18.86577
7.93173,6.99056,18.90884
7.947092,6.968075,18.95186
7.962432,6.932403,18.99481
7.97775,6.883702,19.0377
7.993047,6.822191,19.08053
