u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
19.0,24.0,113.0,24.0,17.0,73.0,65.0,72.0,116.0,73.0,2.0,124.0,69.0,120.5
19.0,25.0,113.0,25.0,16.0,73.0,65.0,72.0,116.0,73.5,2.5,124.5,69.0,118.0
19.0,26.0,113.0,26.0,17.0,74.0,65.0,73.0,115.5,74.0,2.0,125.0,69.0,118.0
19.0,27.0,113.0,26.5,16.0,74.5,66.0,73.0,116.0,75.0,2.0,125.0,69.0,118.0
19.0,27.0,113.0,27.0,16.0,75.0,65.0,74.0,116.0,75.0,2.0,126.0,69.0,118.0
19.0,28.0,113.0,28.0,16.0,76.0,65.0,74.0,115.0,76.0,2.0,126.0,69.0,118.0
19.0,28.0,113.0,28.0,16.5,76.0,65.5,75.0,116.0,76.0,2.0,127.0,69.0,118.0
20.0,29.0,112.0,29.0,16.5,77.0,65.0,76.0,116.0,77.0,1.5,127.0,69.0,118.0
20.0,30.0,112.0,30.0,16.5,77.0,65.0,76.0,116.0,78.0,1.0,127.0,69.0,118.0
20.0,30.0,112.0,30.0,17.0,78.0,65.0,77.0,116.0,78.0,1.0,128.0,69.0,118.0
20.0,31.0,112.0,31.0,17.0,78.5,65.0,77.0,116.0,79.0,0.5,128.0,69.0,118.0
20.0,32.0,112.0,32.0,16.0,79.0,65.0,78.0,116.0,79.5,,,69.0,118.0
20.0,32.0,112.0,32.0,16.5,80.0,65.5,78.5,116.0,80.0,,,69.0,118.0
20.0,33.0,112.0,33.0,16.5,80.0,65.0,79.0,116.0,80.0,,,69.0,118.0
20.5,33.0,112.0,33.0,17.0,81.0,65.0,80.0,116.0,81.0,,,69.0,118.0
20.0,34.0,112.0,34.0,17.0,82.0,65.0,80.0,116.0,82.0,,,69.0,118.0
20.0,34.0,112.0,35.0,17.0,82.0,65.0,81.0,116.0,82.0,,,69.0,118.0
20.0,35.0,112.0,35.0,17.0,82.0,65.0,81.0,116.0,82.5,,,69.0,118.0
21.0,35.0,112.0,35.0,17.0,83.0,65.0,81.0,116.0,83.0,,,69.0,118.0
21.0,36.0,111.0,36.0,17.0,84.0,65.0,82.0,116.0,84.0,,,69.0,118.0
21.0,37.0,111.0,36.0,16.5,84.0,65.5,83.0,116.0,84.0,,,69.0,118.0
21.0,37.0,111.0,37.0,17.0,85.0,65.0,83.0,116.0,85.0,,,69.0,118.0
21.0,38.0,111.0,38.0,17.0,85.0,65.0,84.0,116.0,85.0,,,68.0,119.0
21.0,38.0,111.0,38.0,17.0,86.0,65.0,84.0,116.0,86.0,,,68.0,119.0
21.0,38.0,111.0,39.0,17.0,86.0,65.5,84.0,116.0,86.0,,,68.0,119.0
21.0,39.0,111.0,39.0,17.0,86.5,66.0,85.0,116.0,87.0,,,68.0,119.0
21.0,39.0,111.0,40.0,17.0,87.0,65.0,85.0,116.0,87.0,,,68.0,119.0
21.0,40.0,111.0,40.0,17.0,87.0,65.5,86.0,116.0,87.5,,,68.0,119.0
21.0,40.0,111.0,40.0,17.0,88.0,65.5,86.0,115.5,88.0,,,68.5,118.0
21.0,41.0,111.0,41.0,17.0,88.0,65.0,86.0,115.0,88.0,,,68.5,118.0
21.0,41.0,111.0,41.0,16.5,88.5,66.0,86.5,115.5,88.5,,,68.5,118.5
21.0,41.0,111.0,42.0,17.0,89.0,66.0,87.0,115.5,89.0,,,68.5,118.5
21.0,42.0,111.0,42.0,16.5,89.0,65.5,87.0,116.0,89.0,,,68.5,118.5
21.0,42.0,111.0,42.0,17.0,89.0,66.0,87.0,115.0,90.0,,,68.0,118.0
21.0,42.0,111.0,42.0,17.0,90.0,66.0,88.0,115.5,90.0,,,68.0,118.0
21.0,42.0,111.0,43.0,17.0,90.0,66.0,88.0,115.5,90.0,,,68.0,118.0
21.0,43.0,111.0,43.0,16.5,90.0,65.0,88.0,116.0,90.0,,,68.0,118.0
21.0,43.0,111.0,43.0,16.5,90.5,65.0,88.0,115.5,90.0,,,68.0,118.0
21.0,43.0,111.0,43.0,16.5,90.5,65.5,88.5,116.0,90.0,,,68.0,118.0
21.0,43.0,110.5,44.0,17.0,91.0,66.0,89.0,116.0,91.0,,,68.0,118.0
21.0,43.0,111.0,44.0,17.0,91.0,66.0,89.0,115.0,91.0,,,68.0,118.0
22.0,44.0,111.0,44.0,17.0,91.0,66.0,89.0,115.0,91.0,,,68.0,118.0
22.0,44.0,111.0,44.0,16.5,91.0,66.0,89.0,115.0,91.0,,,68.0,118.0
22.0,44.0,110.5,44.0,16.0,91.0,65.5,89.0,115.5,91.0,,,68.0,118.0
22.0,44.0,110.5,44.0,16.0,91.0,65.5,89.0,115.0,91.5,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,16.5,91.0,65.0,89.0,115.0,92.0,,,68.0,118.0
22.0,44.0,110.0,44.0,16.5,91.0,65.0,89.0,116.0,91.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,116.0,91.0,,,68.0,118.0
22.0,44.0,110.0,44.0,17.0,91.0,65.0,89.0,116.0,91.0,,,68.0,118.0
21.0,43.0,110.5,44.0,17.0,91.0,65.0,89.0,115.5,91.0,,,68.0,118.0
21.0,43.0,110.0,44.0,17.0,91.0,65.0,88.0,116.0,91.0,,,68.0,118.0
21.0,43.0,110.5,43.0,16.5,90.5,65.0,88.0,116.0,91.0,,,68.0,118.0
21.0,43.0,111.0,43.0,17.0,90.0,65.0,88.0,116.0,90.0,,,68.0,118.0
21.0,42.0,111.0,43.0,17.0,90.0,65.0,88.0,115.0,90.0,,,68.0,118.0
21.0,42.0,111.0,42.0,17.0,90.0,65.0,88.0,116.0,90.0,,,68.0,118.0
21.0,42.0,111.0,42.0,16.0,89.0,65.0,87.0,116.0,90.0,,,68.0,118.0
21.0,42.0,111.0,42.0,16.5,89.0,65.0,87.0,116.0,89.0,,,68.0,118.0
21.0,41.0,111.0,42.0,17.0,89.0,65.0,87.0,115.0,89.0,,,68.0,118.0
21.0,41.0,111.0,41.0,16.5,88.5,65.0,86.0,116.0,88.0,,,68.0,118.0
21.0,41.0,111.0,41.0,16.5,88.0,65.0,86.0,115.0,88.0,,,68.0,118.0
21.0,40.0,111.0,40.0,17.0,88.0,65.0,86.0,116.0,88.0,,,68.0,118.0
21.0,40.0,111.0,40.0,17.0,87.0,65.0,85.0,116.0,88.0,,,68.0,118.0
21.0,39.0,111.0,40.0,17.0,87.0,65.0,85.0,116.0,87.0,,,68.0,118.0
21.0,39.0,111.0,39.0,17.0,87.0,65.0,84.0,116.0,87.0,,,68.0,118.0
21.0,38.0,111.0,38.0,17.0,86.0,65.0,84.0,115.0,86.0,,,68.0,118.0
21.0,38.0,111.0,38.0,17.0,86.0,65.0,84.0,116.0,86.0,,,68.0,118.0
21.0,38.0,111.0,38.0,17.0,85.0,65.0,83.0,116.0,85.0,,,68.0,118.0
21.0,37.0,111.0,37.0,17.0,85.0,65.0,83.0,116.0,85.0,,,68.0,118.0
21.0,37.0,111.0,36.0,17.0,84.0,65.0,82.0,115.0,84.0,,,68.0,118.0
21.0,36.0,111.0,36.0,17.0,83.0,65.0,82.0,116.0,84.0,,,68.0,118.0
20.0,35.0,111.0,35.0,17.0,83.0,65.0,81.0,116.0,83.0,,,68.0,118.0
20.0,35.0,111.0,35.0,17.0,83.0,65.0,80.5,116.0,82.0,,,68.0,118.0
20.0,34.0,111.0,34.0,17.0,82.0,65.0,80.0,115.5,82.0,,,68.0,118.0
20.0,34.0,111.0,34.0,17.0,81.5,65.0,80.0,116.0,82.0,,,68.0,118.0
20.0,33.0,112.0,33.0,17.0,81.0,65.0,79.0,116.0,81.0,,,68.0,118.0
20.0,33.0,111.0,33.0,17.0,80.0,65.0,78.5,116.0,80.0,,,68.0,118.0
20.0,32.0,112.0,32.0,16.0,79.0,65.0,78.0,116.0,80.0,,,68.0,118.0
20.0,31.0,112.0,31.0,16.0,79.0,65.0,78.0,116.0,79.0,,,68.0,118.0
20.0,31.0,112.0,31.0,16.0,78.0,65.0,77.0,116.0,79.0,1.0,128.0,68.0,118.0
20.0,30.0,112.0,30.0,17.0,78.0,65.0,77.0,116.0,78.0,1.0,128.0,68.0,118.0
19.0,30.0,112.0,29.5,16.5,77.0,65.0,76.0,116.0,77.0,1.0,127.0,68.0,118.0
