u0,v0
50.0,49.0
50.0,51.0
49.0,53.0
49.5,55.0
49.0,57.0
49.0,59.0
48.5,60.5
49.0,62.0
48.0,63.0
48.0,65.5
47.5,66.0
47.0,67.0
47.0,69.0
47.0,70.0
47.0,71.0
47.0,72.0
46.5,72.0
46.0,73.0
46.0,73.0
47.0,73.0
47.0,73.0
47.0,73.0
47.0,73.0
47.0,73.0
46.5,73.0
46.5,73.0
46.5,73.0
46.0,73.0
46.0,73.0
46.0,73.0
45.0,72.0
45.0,72.0
44.5,72.0
44.0,70.5
44.0,71.0
44.0,68.0
43.0,67.5
43.0,68.0
43.0,66.0
42.5,65.5
42.0,65.0
42.0,65.0
42.0,66.0
44.0,66.0
47.0,71.0
48.0,72.0
46.5,71.0
38.5,47.0
38.0,45.0
37.5,42.5
37.0,41.0
36.0,38.0
36.0,36.5
36.0,35.0
35.0,33.0
35.0,31.0
35.0,30.0
34.0,28.0
34.0,27.0
34.0,25.5
33.5,24.0
33.0,23.0
33.0,21.0
32.5,20.0
33.0,20.0
32.5,19.0
32.0,18.0
32.0,17.0
31.0,17.0
31.0,17.0
30.0,17.0
30.0,17.0
30.5,17.0
30.5,17.0
30.0,17.0
30.0,18.0
30.0,18.0
30.0,19.0
29.0,20.0
30.0,21.0
29.0,22.0
29.5,23.0
29.0,24.0
29.0,25.0
29.5,27.0
29.5,28.5
29.0,30.0
29.0,32.0
29.0,33.0
29.0,35.0
29.5,36.5
29.5,38.0
29.0,40.0
29.0,41.0
29.0,43.0
29.0,44.0
29.0,46.0
29.0,48.0
29.0,49.0
29.0,50.0
29.0,52.0
29.0,53.0
29.0,54.0
29.5,55.5
29.0,57.0
29.0,58.0
29.0,59.0
29.0,60.0
29.5,60.5
29.0,61.5
29.0,62.0
29.5,62.5
29.5,62.5
29.0,63.0
29.0,63.0
29.0,63.0
29.0,64.0
28.5,64.0
28.5,64.0
28.0,64.0
28.0,63.0
28.0,63.0
27.5,62.5
28.0,62.0
27.0,62.0
27.0,61.0
27.5,60.5
26.5,60.0
26.0,59.0
26.5,58.0
26.0,57.0
26.0,56.0
25.0,54.0
25.0,53.0
25.0,52.0
25.0,50.5
24.0,49.0
24.0,48.0
24.0,46.0
23.0,45.0
23.0,43.0
23.0,42.0
22.5,40.0
22.0,39.0
22.0,37.0
21.0,36.0
21.5,34.5
21.5,33.0
21.0,32.0
20.0,30.0
20.0,29.0
20.0,28.0
20.0,27.0
19.0,25.0
19.5,24.5
18.5,23.0
18.5,22.0
18.0,21.0
18.0,21.0
18.0,20.5
18.0,19.5
18.0,19.0
18.0,19.0
18.0,19.0
18.0,19.0
18.0,19.0
18.0,19.0
18.0,19.0
17.0,18.0
17.0,19.0
17.0,19.0
17.0,20.0
17.0,21.0
17.0,21.5
17.0,22.0
16.0,23.0
17.0,24.0
17.0,25.0
17.5,26.5
17.0,27.0
17.0,29.0
17.0,30.0
17.0,31.0
17.5,32.0
17.0,33.0
18.0,35.0
18.0,37.0
18.0,38.0
17.5,39.0
18.0,40.0
18.0,41.5
18.0,43.0
18.0,44.0
18.0,45.5
18.0,47.0
18.0,48.0
18.5,49.0
18.5,50.0
18.5,51.0
18.5,52.0
18.5,53.0
18.5,53.5
18.5,54.5
19.0,55.0
19.0,56.0
19.0,56.0
18.5,56.5
19.0,57.0
18.5,57.5
18.5,57.5
18.5,57.5
18.5,57.5
18.5,57.5
18.0,58.0
18.0,58.0
18.0,57.5
18.0,57.0
18.0,57.0
18.0,56.0
18.0,56.0
17.5,55.0
17.5,54.5
17.0,53.5
17.0,53.0
17.0,52.0
16.5,51.0
16.5,50.0
16.0,49.0
16.0,48.0
16.0,47.0
15.5,45.5
15.0,44.0
15.0,43.5
15.0,42.0
14.5,40.5
14.0,39.5
14.0,38.0
14.0,37.0
13.5,36.0
13.0,34.0
13.0,33.0
13.0,32.0
13.0,31.0
12.0,30.0
12.0,29.0
12.0,27.5
12.0,26.0
11.0,25.0
11.0,24.5
11.0,24.0
11.0,22.5
10.5,22.0
11.0,21.0
10.0,21.0
10.0,21.0
10.0,20.5
10.0,19.5
10.0,19.0
10.0,19.0
10.0,19.0
10.0,19.0
10.0,19.0
10.0,19.0
9.0,20.0
9.0,20.0
9.5,20.5
9.5,20.5
9.0,22.0
9.5,22.0
9.5,22.5
10.0,24.0
10.0,24.5
10.0,26.0
10.0,27.0
10.0,28.0
10.0,28.5
10.0,30.0
11.0,31.0
11.5,32.0
11.0,33.5
11.0,34.0
11.0,35.5
11.0,37.0
11.5,38.0
12.0,40.0
11.5,40.5
11.5,41.5
12.0,43.0
12.0,44.0
12.0,44.5
12.5,45.5
13.0,47.0
13.0,48.0
13.0,49.0
13.0,50.0
13.0,50.5
13.0,51.0
13.0,51.0
12.5,51.5
12.5,52.0
13.0,53.0
13.0,53.0
13.0,53.5
13.0,54.0
13.0,54.0
13.0,54.0
13.0,54.0
13.0,54.0
13.0,54.0
13.0,54.0
13.0,54.0
13.0,54.0
12.5,53.0
12.0,52.0
12.0,52.0
12.5,51.5
12.5,51.0
12.0,50.0
12.0,50.0
12.0,49.0
11.5,48.0
11.0,47.0
11.0,46.0
11.0,45.0
10.0,44.0
10.0,43.0
10.0,42.0
9.5,40.5
10.0,40.0
9.5,38.5
9.5,37.5
9.0,36.0
9.0,35.0
10.0,34.0
9.0,33.0
8.0,32.0
8.0,30.5
8.0,30.0
