x,y,z
7.14,3.31,22.292
7.14,3.31,22.292
7.14,3.31,22.292
7.14,3.31,22.292
7.273234,3.575877,22.38621
7.405877,3.837035,22.48
7.537339,4.088837,22.57296
7.667035,4.326813,22.66467
7.794389,4.54674,22.75472
7.918837,4.744712,22.84272
8.039824,4.917216,22.92827
8.156813,5.061191,23.011
8.269285,5.174078,23.09052
8.37674,5.253876,23.16651
8.4787,5.299167,23.2386
8.574712,5.309147,23.30649
8.664351,5.28364,23.36988
8.747216,5.223097,23.42847
8.822942,5.128595,23.48202
8.891191,5.001809,23.53028
8.951658,4.844992,23.57304
9.004078,4.660926,23.6101
9.048216,4.452879,23.64131
9.083876,4.224545,23.66653
9.110899,3.979976,23.68564
9.129167,3.723514,23.69855
9.138597,3.459711,23.70522
9.139147,3.193251,23.70561
9.130816,2.928864,23.69972
9.11364,2.671242,23.68757
9.087695,2.424959,23.66923
9.053097,2.194386,23.64476
9.01,1.983618,23.61429
8.958594,1.796395,23.57794
8.89911,1.63604,23.53588
8.831809,1.505401,23.48829
8.756992,1.406796,23.43539
8.674992,1.341975,23.3774
8.586171,1.31209,23.3146
8.490926,1.317671,23.24725
8.389679,1.358618,23.17566
8.282879,1.434206,23.10014
8.171002,1.543091,23.02103
8.054545,1.683341,22.93868
7.934024,1.852468,22.85346
7.809976,2.047467,22.76575
7.682951,2.264878,22.67592
7.553514,2.500842,22.5844
7.422239,2.75117,22.49157
7.289711,3.011417,22.39786
7.156518,3.276965,22.30368
7.023251,3.543099,22.20945
6.890503,3.805096,22.11558
6.758863,4.058303,22.0225
6.628918,4.298227,21.93061
6.501242,4.520609,21.84033
6.376404,4.721501,21.75206
6.254959,4.897336,21.66618
6.137445,5.044994,21.58309
6.024386,5.161853,21.50314
5.916284,5.24584,21.4267
5.813618,5.295462,21.35411
5.716845,5.309839,21.28568
5.626395,5.288716,21.22172
5.542669,5.232468,21.16252
5.46604,5.142094,21.10833
5.396848,5.019197,21.05941
5.335401,4.86596,21.01595
5.281971,4.685102,20.97817
5.236795,4.479834,20.94623
5.200076,4.2538,20.92027
5.171975,4.01101,20.9004
5.152618,3.755778,20.88671
5.14209,3.492633,20.87926
5.140439,3.226246,20.8781
5.147671,2.961346,20.88321
5.163754,2.702634,20.89458
5.188618,2.454705,20.91216
5.222152,2.221956,20.93588
5.264205,2.008523,20.96561
5.314593,1.818194,21.00124
5.373091,1.654346,21.04261
5.439438,1.519889,21.08952
5.513341,1.417208,21.14178
5.594471,1.348127,21.19915
5.682468,1.313872,21.26137
5.776939,1.315052,21.32817
5.877467,1.351645,21.39925
5.983604,1.423001,21.4743
6.094878,1.527854,21.55299
6.210796,1.664343,21.63495
6.330842,1.830045,21.71984
6.454484,2.022019,21.80727
6.58117,2.236856,21.89685
6.710339,2.470742,21.98818
6.841417,2.719527,22.08087
6.973822,2.978793,22.17449
7.106965,3.243938,22.26864
7.240254,3.510257,22.36289
7.373099,3.773022,22.45683
7.504908,4.027566,22.55003
7.635096,4.269372,22.64209
7.763083,4.494148,22.73259
7.888303,4.697904,22.82113
8.010198,4.877022,22.90732
8.128227,5.028324,22.99078
8.241865,5.149123,23.07114
8.350609,5.237275,23.14803
8.453974,5.291215,23.22112
8.5515,5.309985,23.29008
8.642756,5.293253,23.35461
8.727336,5.241315,23.41442
8.804863,5.155094,23.46924
8.874994,5.036119,23.51883
8.937416,4.886503,23.56297
8.991854,4.708902,23.60146
9.038063,4.506468,23.63413
9.075839,4.282796,23.66084
9.105016,4.041855,23.68148
9.125462,3.787923,23.69593
9.137087,3.525506,23.70415
9.139839,3.259263,23.7061
9.133706,2.993922,23.70176
9.118716,2.734193,23.69116
9.094934,2.484681,23.67435
9.062469,2.249823,23.65139
9.021461,2.033784,23.62239
8.972094,1.8404,23.58749
8.914587,1.673104,23.54682
8.849197,1.534865,23.50059
8.776213,1.428137,23.44898
8.69596,1.354815,23.39223
8.608793,1.3162,23.33059
8.515101,1.312978,23.26434
8.4153,1.345205,23.19377
8.309834,1.412311,23.1192
8.19917,1.513104,23.04095
8.083799,1.645794,22.95937
7.964237,1.808025,22.87482
7.84101,1.996922,22.78769
7.714671,2.209126,22.69835
7.585778,2.440871,22.60721
7.454905,2.688045,22.51467
7.322633,2.94626,22.42114
7.189549,3.210931,22.32704
7.056246,3.477361,22.23278
6.923315,3.74082,22.13878
6.791346,3.996631,22.04546
6.660926,4.240254,21.95324
6.532634,4.467363,21.86253
6.407041,4.673928,21.77372
6.284705,4.85628,21.68721
6.166168,5.011185,21.6034
6.051956,5.135892,21.52264
5.94258,5.228185,21.4453
5.838523,5.286427,21.37172
5.74025,5.309586,21.30223
5.648194,5.297248,21.23713
5.562767,5.249635,21.17673
5.484346,5.16759,21.12128
5.413282,5.052569,21.07103
5.349889,4.906617,21.0262
5.294449,4.732321,20.987
5.247208,4.532778,20.95359
5.208377,4.311528,20.92614
5.178127,4.0725,20.90475
5.156594,3.819937,20.88952
5.143872,3.558317,20.88052
5.140019,3.292294,20.8778
5.145052,3.026584,20.88136
5.158948,2.765906,20.89118
5.181644,2.514886,20.90723
5.213042,2.27798,20.92944
5.253001,2.059394,20.95769
5.301343,1.863009,20.99187
5.357854,1.692309,21.03183
5.422283,1.550326,21.07739
5.494343,1.43958,21.12835
5.573715,1.362036,21.18447
5.660045,1.319071,21.24551
5.75295,1.311448,21.31121
5.852019,1.339303,21.38126
5.956809,1.40214,21.45536
6.066855,1.498845,21.53317
6.18167,1.6277,21.61436
6.300742,1.786418,21.69855
6.423543,1.972183,21.78539
6.549526,2.181695,21.87447
6.678133,2.411236,21.96541
6.808793,2.656732,22.0578
6.940923,2.913824,22.15123
7.073938,3.177949,22.24529
7.207247,3.444418,22.33955
7.340257,3.7085,22.4336
7.472376,3.965509,22.52703
7.603022,4.210885,22.61941
7.731608,4.440266,22.71033
7.857566,4.649582,22.79939
7.980336,4.835119,22.88621
8.099372,4.993583,22.97038
8.214147,5.122161,23.05154
8.324148,5.218571,23.12932
8.428889,5.281101,23.20338
8.527904,5.30864,23.2734
8.620752,5.300702,23.33905
8.707023,5.257425,23.40005
8.78633,5.179579,23.45613
8.858324,5.068545,23.50704
8.922684,4.926295,23.55255
8.979123,4.755353,23.59246
9.027391,4.558751,23.62659
9.067275,4.339984,23.65479
9.098596,4.102934,23.67694
9.121215,3.851808,23.69293
9.135032,3.591064,23.7027
9.139985,3.325331,23.7062
9.136053,3.059326,23.70342
9.123253,2.79777,23.69437
9.101642,2.545308,23.67909
9.071315,2.306419,23.65765
9.032408,2.085346,23.63013
