x,y,z
7.14,3.31,22.292
4.796421,3.31,22.292
4.796421,3.31,22.292
4.796421,3.31,22.292
4.852967,3.271879,22.22615
4.919808,3.235966,22.16412
4.996758,3.202749,22.10675
5.083571,3.172701,22.05485
5.179944,3.146283,22.00922
5.285517,3.123931,21.97061
5.399878,3.10606,21.93974
5.522563,3.093055,21.91728
5.653059,3.085271,21.90383
5.790809,3.083029,21.89996
5.935211,3.086614,21.90615
6.085626,3.096268,21.92283
6.241378,3.112193,21.95033
6.401761,3.134548,21.98895
6.566043,3.163445,22.03886
6.733468,3.198946,22.10018
6.903261,3.24107,22.17294
7.074636,3.289781,22.25708
7.246799,3.344997,22.35245
7.418948,3.406587,22.45883
7.590285,3.474367,22.57591
7.760018,3.548107,22.70328
7.927363,3.62753,22.84046
8.091555,3.712311,22.9869
8.251844,3.80208,23.14196
8.407508,3.896427,23.30492
8.557851,3.9949,23.47501
8.70221,4.09701,23.65138
8.83996,4.202232,23.83313
8.970513,4.310014,24.0193
9.093328,4.419772,24.20888
9.207905,4.530898,24.40082
9.313798,4.642767,24.59405
9.410612,4.754735,24.78745
9.498002,4.866147,24.97989
9.575682,4.976339,25.17022
9.643421,5.084647,25.3573
9.701047,5.190404,25.53997
9.748444,5.292951,25.7171
9.785558,5.391638,25.88756
9.812389,5.485832,26.05025
9.829,5.574914,26.20412
9.835506,5.658292,26.34814
9.832084,5.735402,26.48133
9.818957,5.805707,26.60277
9.796407,5.868709,26.71159
9.764762,5.923945,26.807
9.7244,5.970998,26.88827
9.675741,6.009493,26.95476
9.619248,6.039104,27.00591
9.555422,6.059555,27.04123
9.484796,6.070622,27.06035
9.407934,6.072136,27.06296
9.325428,6.063985,27.04888
9.23789,6.046112,27.01801
9.14595,6.018519,26.97035
9.050253,5.981265,26.906
8.951451,5.934468,26.82517
8.850201,5.878304,26.72816
8.747161,5.813005,26.61537
8.642983,5.738862,26.48731
8.538311,5.656215,26.34455
8.433777,5.565461,26.1878
8.329992,5.467047,26.01781
8.227551,5.361465,25.83544
8.127019,5.249255,25.64162
8.028935,5.130997,25.43736
7.933806,5.00731,25.22372
7.842103,4.878849,25.00183
7.75426,4.746296,24.77287
7.670668,4.610363,24.53808
7.591678,4.471784,24.29872
7.517593,4.331309,24.05608
7.448674,4.189701,23.81148
7.385128,4.047732,23.56627
7.327121,3.90618,23.32177
7.274764,3.765819,23.07932
7.22812,3.627418,22.84027
7.187205,3.491735,22.60591
7.151983,3.359512,22.37752
7.122374,3.231472,22.15636
7.098248,3.108312,21.94363
7.079432,2.990703,21.74049
7.065711,2.87928,21.54803
7.056826,2.774643,21.36729
7.052482,2.677349,21.19924
7.052348,2.587912,21.04476
7.056059,2.506801,20.90466
7.063224,2.43443,20.77965
