x,y,z
7.14,3.31,22.292
10.14,3.31,22.292
10.14,3.31,22.292
10.14,3.31,22.292
10.12501,3.509667,22.5915
10.0802,3.707339,22.88801
10.00601,3.90104,23.17856
9.903183,4.088837,23.46025
9.772747,4.268851,23.73028
9.616007,4.439285,23.98593
9.434526,4.598435,24.22465
9.23012,4.744712,24.44407
9.004829,4.876654,24.64198
8.760906,4.992942,24.81641
8.500788,5.092415,24.96562
8.227073,5.174078,25.08812
7.942496,5.237116,25.18267
7.649901,5.2809,25.24835
7.352211,5.30499,25.28448
7.052401,5.309147,25.29072
6.753466,5.293329,25.26699
6.458394,5.257695,25.21354
6.170131,5.2026,25.1309
5.891559,5.128595,25.01989
5.625461,5.036418,24.88163
5.374496,4.926992,24.71749
5.141171,4.80141,24.52912
4.927818,4.660926,24.31839
4.736569,4.506944,24.08742
4.569334,4.341002,23.8385
4.427783,4.16476,23.57414
4.313333,3.979976,23.29696
4.227125,3.788498,23.00975
4.170022,3.59224,22.71536
4.142594,3.393161,22.41674
4.145115,3.193251,22.11688
4.177561,2.994508,21.81876
4.239605,2.798917,21.52538
4.33063,2.608433,21.23965
4.449725,2.424959,20.96444
4.5957,2.250328,20.70249
4.767097,2.086284,20.45642
4.962203,1.934467,20.2287
5.179069,1.796395,20.02159
5.415529,1.673445,19.83717
5.669218,1.566848,19.67727
5.937603,1.477668,19.5435
6.218001,1.406796,19.43719
6.507614,1.354939,19.35941
6.803544,1.322618,19.31093
7.102835,1.310153,19.29223
7.402497,1.317671,19.30351
7.699539,1.345095,19.34464
7.990986,1.392151,19.41523
8.273934,1.458371,19.51456
8.54555,1.543091,19.64164
8.803123,1.645465,19.7952
9.044079,1.764471,19.97371
9.266009,1.898919,20.17538
9.466698,2.047467,20.3982
9.644138,2.208629,20.63994
9.796558,2.380796,20.89819
9.922436,2.562248,21.17037
10.02051,2.751169,21.45375
10.08981,2.945676,21.74551
10.12963,3.143823,22.04273
10.13958,3.343628,22.34244
10.11955,3.543099,22.64165
10.06976,3.74024,22.93736
9.990697,3.933084,23.22663
9.883149,4.119699,23.50655
9.748192,4.298228,23.77434
9.587174,4.46688,24.02732
9.401706,4.623974,24.26296
9.193639,4.767939,24.47891
8.965054,4.897336,24.673
8.718232,5.010873,24.84331
8.455642,5.107416,24.98812
8.179903,5.186001,25.106
7.893778,5.24584,25.19576
7.600119,5.286337,25.2565
7.301866,5.307087,25.28763
7.001992,5.307882,25.28882
6.7035,5.288716,25.26007
6.409366,5.249779,25.20167
6.122533,5.191461,25.11419
5.845866,5.114343,24.99851
5.582132,5.019197,24.85579
5.333964,4.906974,24.68746
5.103839,4.778793,24.49519
4.894058,4.635937,24.28091
4.70672,4.479834,24.04675
4.543694,4.312041,23.79506
4.406608,4.134235,23.52835
4.296835,3.948196,23.24929
4.215468,3.755778,22.96067
4.163324,3.558908,22.66536
4.140921,3.35955,22.36632
4.148483,3.159698,22.06655
4.185936,2.961346,21.76902
4.252906,2.766477,21.47672
4.348722,2.577039,21.19256
4.472427,2.394927,20.91939
4.622786,2.221958,20.65994
4.798296,2.059858,20.41679
4.997205,1.910249,20.19237
5.217521,1.774628,19.98894
5.457048,1.654346,19.80852
5.713392,1.550608,19.65291
5.983986,1.464449,19.52367
6.266134,1.396729,19.42209
6.557011,1.348127,19.34919
6.853715,1.319127,19.30569
7.153277,1.310019,19.29203
7.452709,1.320895,19.30834
7.749017,1.351645,19.35447
8.039239,1.401962,19.42994
8.320474,1.471343,19.53402
8.589914,1.559096,19.66564
8.84487,1.664343,19.82351
9.08279,1.786034,20.00605
9.3013,1.922951,20.21143
9.498212,2.073727,20.43759
9.671562,2.236854,20.68228
9.81962,2.410707,20.94306
9.940902,2.593543,21.21731
10.0342,2.783539,21.50231
10.09858,2.978795,21.79519
10.1334,3.177358,22.09304
10.1383,3.377247,22.39287
10.11325,3.576466,22.6917
10.0585,3.773022,22.98653
9.97458,3.96495,23.27443
9.86234,4.150334,23.5525
9.722899,4.327323,23.81799
9.557651,4.494148,24.06822
9.368247,4.64914,24.30071
9.15658,4.790751,24.51313
8.924762,4.917569,24.70335
8.675108,5.028325,24.86949
8.410121,5.12191,25.00986
8.132442,5.197392,25.12309
7.844845,5.254016,25.20802
7.550209,5.291215,25.26382
7.251474,5.308619,25.28993
6.951622,5.306053,25.28608
6.653653,5.283544,25.25232
6.360546,5.241315,25.18897
6.075227,5.17979,25.09669
5.800544,5.099582,24.97637
5.539245,5.001493,24.82924
5.293942,4.886504,24.65676
5.067084,4.755763,24.46064
4.860932,4.610573,24.24286
4.677558,4.452392,24.00559
4.518788,4.282796,23.75119
4.386206,4.103479,23.48222
4.28114,3.916234,23.20135
4.204639,3.722933,22.9114
4.157467,3.525506,22.61526
4.140095,3.325925,22.31589
4.152698,3.126184,22.01628
4.195148,2.928282,21.71942
4.267021,2.734193,21.42829
4.367602,2.545856,21.14578
4.495883,2.365155,20.87473
4.650581,2.193897,20.61785
4.830159,2.033784,20.37768
5.032813,1.886427,20.15664
5.256521,1.753293,19.95694
5.499044,1.635716,19.78057
5.757967,1.534865,19.6293
6.030699,1.451751,19.50463
6.31451,1.387205,19.40781
6.606574,1.34187,19.33981
6.903967,1.3162,19.3013
7.20372,1.310451,19.29268
7.502835,1.324682,19.31402
7.79832,1.358748,19.36512
8.087233,1.412311,19.44547
8.36668,1.484836,19.55425
8.633871,1.575597,19.6904
8.886136,1.683687,19.85253
9.120955,1.808028,20.03904
9.335979,1.947376,20.24806
9.529058,2.100336,20.4775
9.698272,2.265385,20.72508
9.841923,2.440871,20.98831
9.958574,2.625039,21.26456
10.04707,2.816053,21.55108
10.10651,3.012003,21.84501
10.13632,3.210931,22.1434
10.13618,3.410848,22.44327
10.10611,3.609754,22.74163
10.04641,3.805669,23.0355
9.95766,3.996631,23.32195
9.84076,4.180733,23.5981
9.696875,4.356134,23.8612
9.527441,4.521083,24.10862
9.334153,4.673931,24.3379
9.118946,4.813148,24.54672
8.883963,4.937349,24.73302
8.631554,5.04529,24.89493
8.364246,5.13589,25.03084
8.084702,5.208249,25.13937
7.795718,5.261642,25.21946
7.500182,5.295533,25.2703
7.201048,5.309586,25.29138
6.901309,5.303659,25.28249
6.60395,5.277813,25.24372
6.311946,5.232305,25.17546
6.028217,5.16759,25.07838
5.755596,5.084313,24.95347
5.496807,4.983309,24.80196
5.254437,4.865585,24.62538
5.030911,4.732321,24.42548
4.828454,4.584844,24.20427
4.649094,4.424627,23.96394
4.494625,4.253278,23.70692
4.366584,4.0725,23.43575
4.266255,3.884104,23.15316
4.194639,3.689971,22.86196
4.152453,3.492042,22.56506
4.140117,3.292297,22.26545
4.157756,3.092722,21.96608
4.205191,2.895326,21.66999
