u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
104.0,36.0,38.0,33.0,100.5,50.0,115.5,51.0,44.0,48.0,112.0,61.0,42.0,64.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.0
103.5,36.0,38.5,33.0,111.0,51.0,115.5,51.0,44.0,48.5,112.0,60.5,42.0,63.0
103.5,36.0,38.5,33.0,105.5,49.5,115.5,51.0,44.0,48.5,112.0,60.5,42.0,63.0
104.0,36.0,38.5,33.0,100.5,49.0,115.5,51.0,44.0,48.5,112.0,61.0,42.0,63.5
104.0,36.0,39.0,33.0,100.5,50.0,115.5,51.0,43.0,49.0,107.5,61.0,42.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
104.0,36.0,38.5,33.5,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
103.0,37.0,39.0,33.0,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
103.0,37.0,39.0,33.0,100.0,49.0,112.5,51.0,44.0,49.0,107.5,61.0,41.0,64.0
103.5,36.5,39.0,33.0,100.0,49.0,113.0,51.0,44.0,49.0,107.5,61.0,41.0,64.0
103.5,36.5,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,100.0,50.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,100.0,50.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,100.0,50.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,100.0,50.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
104.0,36.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.5,36.5,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,37.0,39.0,33.5,100.5,49.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,37.0,39.0,33.5,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,37.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,36.0,39.0,33.0,100.5,49.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,36.0,39.0,33.0,100.5,49.0,112.5,51.5,44.0,49.0,112.0,61.0,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,62.0,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,112.0,62.0,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,62.5,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,62.5,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,62.5,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,62.5,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,62.5,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,62.5,41.0,64.0
103.0,36.0,39.0,33.0,99.5,49.5,112.5,51.5,44.0,49.0,107.5,61.5,41.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,113.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,113.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,113.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,113.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,113.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,113.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,38.5,33.5,101.0,50.0,112.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,39.0,34.0,99.5,49.0,112.0,51.0,44.0,49.0,107.5,61.5,40.0,64.0
103.0,36.0,39.0,34.0,99.5,49.0,112.0,51.0,44.0,49.0,107.5,61.5,41.0,65.0
