x,y,z
7.14,3.31,22.292
7.091823,3.30376,22.20459
7.091823,3.30376,22.20459
7.091823,3.30376,22.20459
7.202249,3.368433,22.31137
7.105655,3.441825,22.19708
7.005933,3.549776,22.11847
7.125929,3.443151,22.07364
7.076512,3.30258,21.99897
7.212031,3.214279,21.95878
7.353246,3.126036,21.95174
7.469389,3.146563,21.83399
7.402918,3.167031,21.68253
7.503163,3.062258,21.76469
7.62003,2.994212,21.66728
7.7105,3.012359,21.80607
7.751558,3.147978,21.89382
7.720483,3.023223,21.99987
7.633366,2.932109,21.89085
7.529669,3.062582,21.89205
7.415512,3.113414,22.00233
7.290289,3.156238,22.10363
7.412101,3.196063,21.99708
7.286191,3.127079,22.08173
7.248567,3.271181,22.00692
7.087597,3.233059,22.02724
7.144936,3.375932,21.96339
7.190311,3.468983,21.83278
7.143448,3.345427,21.93434
7.277831,3.247687,21.94722
7.276045,3.229,22.11283
7.255324,3.305287,22.25956
7.190681,3.153984,22.23298
7.178123,3.314903,22.19144
7.071455,3.404236,22.09969
6.936048,3.31536,22.06039
6.813879,3.241062,22.14602
6.659186,3.29078,22.18312
6.51579,3.206873,22.16988
6.60568,3.095261,22.25497
6.490407,3.005429,22.3351
6.577507,2.878981,22.27027
6.437363,2.828943,22.34533
6.560079,2.7169,22.35817
6.587286,2.856887,22.27191
6.68364,2.960155,22.18342
6.757269,3.07915,22.09289
6.893853,3.138235,22.01784
7.001577,3.070699,22.1256
7.083064,3.134288,22.25635
7.224121,3.081449,22.32768
7.339303,3.071869,22.44776
7.318853,2.946495,22.33987
7.286464,2.832874,22.45742
7.184231,2.701347,22.4626
7.096447,2.662256,22.59878
7.065322,2.589956,22.74568
6.999368,2.703288,22.84856
7.070394,2.811761,22.95328
6.97606,2.856452,23.08321
6.997209,2.692849,23.10697
6.94062,2.796006,23.22501
6.97399,2.633322,23.21094
6.860825,2.726003,23.29082
6.737311,2.797016,23.37731
6.875655,2.773802,23.4673
6.87823,2.70306,23.61819
6.92414,2.586271,23.50851
7.078768,2.565219,23.56703
7.115537,2.422487,23.64483
6.997969,2.473451,23.75141
7.14819,2.51671,23.69361
7.025852,2.622993,23.65469
7.115385,2.722366,23.75412
7.181867,2.637192,23.88102
7.220767,2.750189,23.99719
7.319285,2.737165,23.86339
7.293738,2.711264,24.02604
7.261087,2.870949,23.99122
7.237968,2.80682,23.83913
7.245688,2.672647,23.9377
7.352773,2.795941,23.90439
7.463981,2.688877,23.96723
7.335824,2.67298,24.07259
7.26764,2.713541,24.21916
7.346603,2.815944,24.32431
7.2552,2.954821,24.31264
7.285269,2.835493,24.20023
7.383089,2.969632,24.21491
7.445787,2.831136,24.28322
7.532576,2.924666,24.17599
7.522411,2.943174,24.34131
7.393114,3.026159,24.27671
7.238696,3.054734,24.22089
7.32407,3.151248,24.32659
7.200576,3.158701,24.43827
7.338233,3.065202,24.44756
7.49932,3.044098,24.41036
7.597287,3.139566,24.31515
7.455616,3.063532,24.27126
7.47569,2.981364,24.12765
7.317615,2.929895,24.13953
7.213881,2.802737,24.11041
7.050357,2.77285,24.12242
6.940921,2.709516,24.231
7.085703,2.640712,24.27663
7.030048,2.564785,24.1391
6.920629,2.546132,24.26343
7.021774,2.669567,24.21535
7.068609,2.51922,24.26994
7.115172,2.382169,24.35257
7.018719,2.491631,24.43314
7.064255,2.648535,24.46609
7.005935,2.498306,24.42357
6.856157,2.4267,24.43829
6.724825,2.451721,24.33877
6.811467,2.592877,24.35737
6.794329,2.438158,24.29782
6.83747,2.59567,24.26456
6.724453,2.5795,24.14314
6.747718,2.414582,24.14935
6.640729,2.507729,24.06186
6.727005,2.509351,24.20444
6.564256,2.542495,24.19058
6.646266,2.683721,24.22386
6.587854,2.57785,24.33857
6.444425,2.511398,24.28575
6.421663,2.360802,24.21807
6.386575,2.382131,24.3796
6.307414,2.500808,24.46578
6.406586,2.630933,24.49757
6.475222,2.623954,24.64929
6.616024,2.711179,24.66784
6.526193,2.666286,24.80085
6.610864,2.801575,24.75284
6.661235,2.792983,24.91148
6.661602,2.627523,24.89146
6.768235,2.755568,24.88807
6.724598,2.688891,24.74168
6.747494,2.565033,24.63254
6.640141,2.539484,24.75744
6.524361,2.450117,24.83735
6.455864,2.338036,24.73477
6.308564,2.400669,24.68832
6.162334,2.320705,24.68782
6.293983,2.226326,24.72705
6.289478,2.360463,24.82587
6.253635,2.506811,24.89711
6.368809,2.386547,24.89009
6.239239,2.448514,24.97465
6.341709,2.576726,25.00362
6.501195,2.602371,25.04466
6.652968,2.63299,25.10634
6.500784,2.694623,25.07772
6.447913,2.840474,25.01682
6.554041,2.71227,25.02566
6.576292,2.649238,25.17834
6.672251,2.709576,25.05615
6.558258,2.779143,24.95643
6.601948,2.632478,25.02245
6.490627,2.688282,24.91168
6.628148,2.739392,24.8326
6.584818,2.840257,24.70719
6.750522,2.824151,24.69941
6.620447,2.79389,24.5997
6.769549,2.760428,24.53316
6.847483,2.818724,24.66846
6.917344,2.731598,24.79218
6.887041,2.583292,24.72243
6.727414,2.628133,24.73936
6.566229,2.669295,24.7495
6.694456,2.563011,24.74321
6.820943,2.613625,24.83922
6.683798,2.67163,24.76435
6.76933,2.530362,24.74188
6.852768,2.606742,24.86428
6.752504,2.707455,24.95135
6.646323,2.810351,24.87444
6.533595,2.870319,24.98155
6.666727,2.958852,24.93448
6.777138,3.009184,24.82023
6.716748,2.907893,24.70245
6.69446,2.751876,24.64823
6.53731,2.717856,24.6921
6.465154,2.808276,24.57211
6.343296,2.893735,24.49711
6.248243,2.78689,24.41152
6.216867,2.911779,24.51733
6.346141,2.806599,24.51546
6.250156,2.760689,24.64374
6.12903,2.697287,24.73906
6.173606,2.576509,24.63321
6.210217,2.73356,24.59111
6.303422,2.766782,24.457
6.425615,2.673118,24.52082
6.406585,2.508705,24.54042
6.26079,2.564475,24.48201
6.225524,2.671298,24.35904
6.241501,2.517435,24.42108
6.393995,2.5728,24.45927
6.448813,2.488223,24.32653
6.532554,2.404263,24.20941
6.680381,2.476576,24.18303
6.781569,2.484445,24.31524
6.930394,2.53524,24.26002
6.88461,2.693769,24.23656
7.008912,2.741709,24.13642
7.074801,2.589946,24.11631
7.009743,2.713934,24.02592
6.931184,2.808269,23.91319
7.01791,2.856069,23.77913
7.045439,2.750343,23.90499
6.949751,2.886325,23.91641
7.085222,2.885526,23.81933
7.112031,2.721037,23.82081
7.19402,2.665761,23.68665
7.275301,2.604118,23.81845
7.317265,2.707548,23.94221
7.415827,2.613602,23.8461
7.349735,2.509423,23.73405
7.241162,2.427294,23.6379
7.160673,2.417326,23.7835
7.069597,2.37259,23.65129
7.029149,2.216883,23.69484
7.192784,2.218381,23.66323
7.293271,2.331213,23.59288
7.151939,2.282997,23.51887
7.263811,2.171635,23.57236
7.427183,2.178164,23.60468
7.321174,2.170872,23.47628
7.189668,2.07722,23.51767
7.076271,1.956,23.53265
6.919335,1.99989,23.49768
6.882816,1.838638,23.47666
6.981866,1.743076,23.57066
7.110251,1.637581,23.55778
7.064909,1.647199,23.39769
7.180364,1.656359,23.51754
7.280787,1.78683,23.49165
7.281986,1.721695,23.33825
7.167053,1.728865,23.21776
7.140269,1.76817,23.05802
7.000988,1.832572,22.99298
6.877394,1.91604,22.91858
6.82168,2.055888,22.84705
6.93478,2.142139,22.76018
6.860845,2.246902,22.6537
6.958885,2.162325,22.54876
7.104908,2.105837,22.49163
7.074195,2.177745,22.34444
6.924924,2.138406,22.40728
6.812586,2.05099,22.49397
6.891815,2.168963,22.40689
6.797386,2.081423,22.30107
6.801438,2.199815,22.18384
6.767829,2.341254,22.26534
6.713415,2.289877,22.41426
6.859709,2.365872,22.43876
6.787246,2.247088,22.34702
6.821077,2.336806,22.2107
6.684838,2.30828,22.11903
6.696454,2.150311,22.06718
6.69388,2.067722,21.92243
6.74332,2.00423,22.06839
6.835199,1.978141,22.20497
6.905972,1.888866,22.32662
7.017138,1.974406,22.41664
6.876824,2.054944,22.37659
6.975541,1.921008,22.3669
7.064986,1.942742,22.22796
7.041667,1.778878,22.2084
6.89341,1.772521,22.28428
7.007298,1.650961,22.27877
6.89482,1.572096,22.37314
6.972404,1.695466,22.454
6.998888,1.585812,22.33131
6.970961,1.472126,22.44995
7.107961,1.377235,22.44782
7.227409,1.477157,22.5072
7.38661,1.507688,22.54594
7.364864,1.411052,22.67998
7.522459,1.449633,22.7181
7.406042,1.332967,22.69332
7.374613,1.180398,22.63405
7.264387,1.07019,22.69306
7.351883,1.111088,22.55723
7.245215,1.170918,22.67046
7.284811,1.035267,22.75883
7.123684,1.064967,22.72827
7.207363,1.160628,22.62045
7.096164,1.037362,22.60569
7.198812,1.124954,22.70351
7.038389,1.136808,22.74712
6.925433,1.015698,22.72838
6.877453,0.8704545,22.79456
7.018789,0.9580324,22.80606
6.974206,0.8941368,22.95339
6.976147,0.7368347,22.89835
7.05856,0.5957474,22.93121
7.056875,0.6922021,22.7953
6.900921,0.6550658,22.74973
7.011372,0.5307622,22.73845
6.920885,0.4989906,22.60214
6.949014,0.611086,22.48205
6.947946,0.5935501,22.31631
6.996394,0.7451237,22.36587
7.078348,0.7219635,22.50914
7.168186,0.5865848,22.54628
7.16771,0.6729123,22.40371
7.07029,0.5745724,22.31089
7.16468,0.6862797,22.23095
7.24896,0.5685295,22.14843
7.381867,0.5311032,22.24178
7.401486,0.6965404,22.23694
7.560606,0.6831326,22.28468
7.546422,0.5510013,22.18409
7.392567,0.5744618,22.24372
7.268219,0.5491399,22.13568
7.152749,0.5188891,22.01936
7.170975,0.6516265,21.92023
7.099639,0.5277311,22.0059
7.108068,0.6934338,21.99011
6.980893,0.6092269,22.05729
6.881029,0.522076,21.95625
6.787449,0.4601454,22.07947
6.763075,0.6132892,22.14055
6.816928,0.5223349,22.26941
6.918144,0.4835623,22.39602
7.046138,0.4104416,22.47379
6.943878,0.510008,22.55986
6.799063,0.4584428,22.49546
6.681732,0.3723853,22.57673
6.558212,0.3189259,22.67503
6.426764,0.2634273,22.5889
6.345376,0.250013,22.44407
6.480849,0.3336291,22.39475
6.407772,0.4727746,22.45021
6.322984,0.3342538,22.48764
6.427145,0.4637528,22.50022
6.331594,0.3873956,22.38701
6.173022,0.3780884,22.33655
6.063573,0.342261,22.21607
5.936195,0.3910924,22.12032
6.040664,0.4854267,22.20956
6.123005,0.4769205,22.06491
6.176749,0.5385526,21.91968
6.082509,0.6324949,22.02003
5.996836,0.716901,22.13542
6.067035,0.6284935,22.01281
6.046,0.6894928,21.85914
6.034069,0.5235478,21.84925
6.093996,0.6703597,21.79794
5.94677,0.6098018,21.84729
5.809526,0.7042044,21.85278
5.974958,0.7243333,21.855
5.890482,0.8172343,21.9646
5.844772,0.9387497,22.06911
5.961705,1.048813,22.02449
5.799351,1.014802,22.0083
5.651246,1.054321,22.07372
5.797885,1.053289,22.15293
5.916523,0.9424474,22.19057
5.957571,0.8485645,22.05912
5.850795,0.948226,21.97885
5.991193,0.8974444,22.05293
6.126469,0.8727196,21.95876
6.085143,0.7197896,22.01055
6.11405,0.8584238,21.92267
6.070068,0.7645442,21.79218
6.02803,0.608168,21.75271
6.114896,0.482664,21.68578
6.081937,0.6438863,21.65934
6.014787,0.5832662,21.51936
6.056888,0.465419,21.40928
6.090886,0.3026059,21.39862
6.106676,0.2651941,21.56026
6.108721,0.1008385,21.58784
5.959498,0.02924272,21.60745
6.112741,-0.02667797,21.57328
6.067748,-0.1286986,21.69716
5.907803,-0.1679942,21.72268
5.985146,-0.1222894,21.5823
6.035632,-0.2146984,21.71148
5.871131,-0.2057583,21.73673
5.88445,-0.2803003,21.58826
5.989939,-0.3782735,21.67223
6.071696,-0.2631836,21.76082
5.968299,-0.1349911,21.73526
