x,y,z
6,4,16.15
11.9,4,16.15
11.9,4,16.15
11.9,4,16.15
11.88817,4.405368,16.29666
11.85273,4.806951,16.4433
11.79383,5.200999,16.58988
11.71169,5.583834,16.73639
11.60664,5.95188,16.88279
11.47912,6.301701,17.02906
11.32963,6.63003,17.17518
11.15876,6.933803,17.32111
10.96722,7.210181,17.46683
10.75575,7.456586,17.61232
10.52521,7.670717,17.75756
10.27653,7.850573,17.9025
10.0107,7.994476,18.04713
9.728792,8.101082,18.19143
9.431931,8.169394,18.33536
9.121306,8.198777,18.47891
8.798167,8.188955,18.62204
8.463808,8.14002,18.76473
8.119569,8.052429,18.90696
7.766831,7.927,19.04869
7.407009,7.764904,19.18991
7.041545,7.567654,19.33059
6.671904,7.337092,19.47071
6.299569,7.075371,19.61023
5.926033,6.784936,19.74914
5.552794,6.468496,19.88741
5.181348,6.129008,20.02502
4.813184,5.76964,20.16193
4.44978,5.393751,20.29814
4.092592,5.004847,20.4336
3.74305,4.60656,20.56831
3.402561,4.20261,20.70222
3.072486,3.796768,20.83533
2.754148,3.392823,20.96761
2.448827,2.994548,21.09903
2.157745,2.605661,21.22957
1.88207,2.229794,21.35921
1.622905,1.870454,21.48792
1.381293,1.530999,21.61568
1.158201,1.214598,21.74247
0.9545222,0.9242033,21.86827
0.7710755,0.6625289,21.99305
0.6085957,0.4320175,22.11679
0.4677339,0.2348201,22.23947
0.349055,0.07277887,22.36107
0.2530354,-0.05259341,22.48156
0.1800598,-0.1401251,22.60093
0.1304209,-0.1890004,22.71915
0.1043173,-0.1987621,22.8362
0.1018546,-0.1693195,22.95207
0.1230419,-0.1009467,23.06672
0.1677943,0.005717173,23.18015
0.2359324,0.1496764,23.29232
0.3271834,0.3295861,23.40323
0.4411806,0.5437679,23.51285
0.5774682,0.7902211,23.62116
0.7354984,1.066643,23.72814
0.9146378,1.370456,23.83377
1.114169,1.698822,23.93804
1.33329,2.048671,24.04092
1.571126,2.416745,24.1424
1.826719,2.799598,24.24245
2.099046,3.193662,24.34108
2.387013,3.595252,24.43824
2.689471,4.000624,24.53393
3.0052,4.405987,24.62813
3.33294,4.807562,24.72082
3.671374,5.201599,24.81199
4.019145,5.584412,24.90162
4.374857,5.952433,24.98969
4.737088,6.302222,25.07619
5.104381,6.630517,25.16111
5.475266,6.934248,25.24442
5.848254,7.210583,25.32612
6.221856,7.456942,25.40618
6.594562,7.67102,25.4846
6.964887,7.850822,25.56136
7.33134,7.994668,25.63645
7.692458,8.101216,25.70985
8.046786,8.16947,25.78155
8.392911,8.198792,25.85154
8.72944,8.18891,25.9198
9.055024,8.139915,25.98633
9.368357,8.052265,26.05111
9.668184,7.926779,26.11412
9.953301,7.764628,26.17537
10.22257,7.567324,26.23483
10.4749,7.336714,26.29251
10.7093,7.074945,26.34838
10.92481,6.784468,26.40243
11.12057,6.467992,26.45466
11.2958,6.128469,26.50506
11.44979,5.769075,26.55362
11.58193,5.393163,26.60033
11.69169,5.004243,26.64519
11.77863,4.605943,26.68817
11.8424,4.201984,26.72929
11.88274,3.796144,26.76852
11.89949,3.392206,26.80587
11.89258,2.993944,26.84132
11.86205,2.605072,26.87487
11.80801,2.229228,26.90651
11.73069,1.869919,26.93624
11.63038,1.530494,26.96406
11.5075,1.214131,26.98995
11.36253,0.9237779,27.01391
11.19606,0.6621504,27.03594
11.00876,0.4316886,27.05604
10.80137,0.2345447,27.0742
10.57474,0.07255782,27.09042
10.32975,-0.05275763,27.10469
10.06741,-0.1402303,27.11701
9.788752,-0.1890455,27.12739
9.494907,-0.1987469,27.13581
9.187046,-0.1692438,27.14228
8.866409,-0.100812,27.1468
8.534275,0.005909434,27.14936
8.191979,0.1499255,27.14996
7.840898,0.3298891,27.14861
7.482434,0.5441211,27.14531
7.11802,0.7906259,27.14005
6.749126,1.067093,27.13284
6.377232,1.370944,27.12367
6.003821,1.699343,27.11255
5.630399,2.049227,27.09949
5.258455,2.417323,27.08447
4.889485,2.800196,27.06752
4.524973,3.194272,27.04862
4.16637,3.595875,27.02779
3.81512,4.001247,27.00502
3.472631,4.406608,26.98032
3.140281,4.808172,26.9537
2.819393,5.202194,26.92515
2.511258,5.584987,26.89469
2.217112,5.952981,26.86232
1.938135,6.302747,26.82805
1.675445,6.631004,26.79188
1.430096,6.934695,26.75381
1.203071,7.210988,26.71386
0.995284,7.457296,26.67204
0.8075614,7.671323,26.62834
0.6406593,7.85107,26.58278
0.4952473,7.994861,26.53536
0.3719099,8.10135,26.4861
0.2711378,8.169544,26.435
0.1933374,8.198807,26.38207
0.1388201,8.188865,26.32733
0.1078055,8.139811,26.27077
0.100417,8.052102,26.21242
0.1166848,7.926556,26.15227
0.1565431,7.76435,26.09035
0.2198316,7.566995,26.02666
0.3062982,7.336332,25.96121
0.4155954,7.074521,25.89402
0.5472846,6.784001,25.8251
0.700836,6.467488,25.75446
0.8756379,6.127931,25.68211
1.070987,5.768509,25.60807
1.286101,5.392575,25.53234
1.520113,5.003638,25.45495
1.772092,4.605326,25.3759
2.041024,4.201365,25.29522
2.32583,3.795525,25.2129
2.625369,3.391585,25.12898
2.93844,2.993335,25.04346
3.263787,2.60448,24.95636
3.600106,2.228659,24.86769
3.946042,1.869378,24.77747
4.30022,1.52999,24.68572
4.661213,1.213665,24.59245
5.027574,0.9233561,24.49769
5.39783,0.6617744,24.40143
5.770504,0.4313577,24.30371
6.1441,0.2342669,24.20454
6.517118,0.07233677,24.10394
6.888056,-0.0529201,24.00193
7.25544,-0.1403344,23.89852
7.617794,-0.1890908,23.79373
7.973651,-0.1987316,23.68758
8.321599,-0.1691685,23.58009
8.660238,-0.1006774,23.47128
8.988211,0.006102195,23.36117
9.304196,0.1501763,23.24978
9.606936,0.3301945,23.13713
9.895215,0.5444776,23.02323
10.16787,0.7910254,22.90811
10.42382,1.067536,22.7918
10.66203,1.371427,22.67429
10.88154,1.699861,22.55564
11.08148,2.049773,22.43584
11.26104,2.417901,22.31492
11.41951,2.800794,22.19291
11.55625,3.194892,22.06982
11.67071,3.596499,21.94568
11.76243,4.001875,21.82051
11.83105,4.407233,21.69434
11.87628,4.808788,21.56717
11.89795,5.202792,21.43905
11.89597,5.585565,21.30998
11.87035,5.953533,21.18
11.82119,6.303268,21.04912
11.74869,6.63149,20.91737
11.65314,6.935142,20.78477
11.53492,7.211387,20.65136
11.39451,7.457648,20.51714
11.23246,7.671624,20.38214
11.04944,7.851321,20.24639
10.84616,7.995054,20.10991
10.62346,8.101484,19.97273
10.38222,8.16962,19.83487
10.1234,8.198822,19.69635
9.848055,8.188819,19.55721
9.557276,8.139705,19.41745
9.252233,8.051937,19.27712
8.934154,7.926336,19.13623
8.604304,7.764075,18.99481
8.264012,7.566668,18.85289
7.914642,7.335958,18.71048
7.5576,7.074096,18.56762
7.194307,6.783535,18.42433
6.82622,6.466977,18.28063
6.454825,6.12739,18.13655
6.081612,5.76794,17.99213
5.708066,5.391983,17.84737
5.335691,5.003028,17.70232
4.96598,4.604708,17.55698
4.60042,4.200742,17.4114
4.240466,3.794902,17.26559
3.887568,3.390968,17.11959
3.543141,2.99273,16.97341
3.20857,2.603896,16.82709
2.885186,2.228097,16.68064
2.574293,1.868844,16.53411
2.277136,1.529489,16.3875
1.994907,1.213195,16.24085
1.728737,0.922929,16.09418
1.479694,0.6613936,15.94753
1.248781,0.431031,15.80091
1.036915,0.233989,15.65435
0.8449521,0.07211747,15.50788
0.6736553,-0.05308457,15.36153
0.5237184,-0.1404413,15.21531
0.395742,-0.1891353,15.06926
0.290234,-0.1987161,14.9234
0.2076239,-0.1690934,14.77777
0.1482385,-0.1005417,14.63237
0.1123178,0.006296458,14.48725
0.1000048,0.1504242,14.34242
0.1113496,0.3304956,14.19791
0.1463068,0.5448346,14.05375
0.2047349,0.7914252,13.90996
0.286403,1.067985,13.76657
0.3909769,1.37191,13.62361
0.5180488,1.700387,13.48109
0.6670935,2.050328,13.33905
0.8375266,2.418474,13.1975
1.028666,2.801395,13.05648
1.239728,3.1955,12.91601
1.46989,3.597124,12.77612
1.718203,4.002494,12.63683
1.983692,4.407857,12.49816
2.265286,4.809396,12.36014
2.561855,5.203393,12.22279
2.872201,5.586138,12.08615
3.195108,5.954089,11.95022
3.529242,6.303786,11.81504
3.873303,6.631979,11.68063
4.225872,6.935585,11.54702
4.585565,7.211792,11.41423
4.950929,7.457999,11.28227
5.320499,7.671929,11.15119
5.692795,7.851571,11.02098
6.066322,7.995245,10.8917
6.439584,8.10162,10.76334
6.811082,8.169695,10.63595
7.179329,8.198836,10.50953
7.542836,8.188774,10.38412
7.900178,8.139599,10.25974
8.249879,8.051774,10.1364
8.590569,7.926114,10.01412
8.920873,7.7638,9.892947
9.239464,7.566337,9.772878
9.545065,7.335577,9.653946
9.836451,7.073674,9.536164
10.11245,6.783064,9.419559
10.37197,6.466475,9.304154
10.61395,6.126849,9.189962
10.83742,5.767378,9.077012
11.04151,5.391391,8.965315
11.22538,5.002427,8.854899
11.38829,4.604087,8.745776
11.5296,4.200123,8.637974
11.64874,3.794275,8.531503
11.74523,3.390355,8.42639
11.81868,2.99212,8.322646
11.8688,2.603312,8.220298
11.89538,2.227529,8.119355
11.89833,1.86831,8.019845
11.87763,1.528981,7.921775
11.83336,1.212726,7.825169
11.7657,0.9225072,7.730044
11.67491,0.6610128,7.636416
11.56138,0.4307003,7.544302
11.42554,0.2337146,7.453717
11.26795,0.07189517,7.364679
11.08923,-0.05324904,7.277202
10.89012,-0.1405437,7.191302
10.67138,-0.1891804,7.106996
10.43393,-0.1987011,7.024296
10.17868,-0.1690173,6.94322
9.906691,-0.1004075,6.86378
9.61903,0.006488218,6.78599
9.316848,0.1506753,6.709866
9.001386,0.330801,6.635419
8.673878,0.5451913,6.562665
8.335649,0.7918302,6.491614
7.988054,1.068435,6.422281
7.632488,1.3724,6.354677
7.270376,1.700912,6.288814
6.903181,2.050877,6.224704
6.532342,2.419056,6.162359
6.159391,2.801989,6.101789
5.78579,3.196116,6.043005
5.413048,3.597733,5.986019
5.042659,4.003122,5.93084
4.676109,4.408466,5.877477
4.314868,4.810012,5.82594
3.960383,5.203994,5.776236
3.614077,5.58672,5.728381
3.277338,5.954644,5.682375
2.951526,6.304311,5.638233
2.637919,6.632468,5.595956
2.337811,6.936033,5.555559
2.052371,7.212196,5.517043
1.782776,7.458355,5.480419
1.530082,7.672233,5.44569
1.295313,7.851815,5.412865
1.079408,7.995439,5.381948
0.8832392,8.101751,5.352947
0.7075768,8.169769,5.325863
0.5531455,8.198851,5.300705
0.4205461,8.188728,5.277475
0.3103241,8.139494,5.256178
0.2229182,8.051611,5.236818
0.1586732,7.925893,5.219398
0.1178534,7.763518,5.203921
0.1006185,7.566001,5.190391
0.1070389,7.335196,5.178808
0.1370889,7.07324,5.169176
0.1906475,6.7826,5.161495
0.2675008,6.465967,5.155769
0.3673368,6.126322,5.151997
0.4897652,5.766809,5.15018
0.6342808,5.390814,5.150318
0.8003157,5.001817,5.152412
0.9872062,4.603466,5.156462
1.194185,4.199497,5.162465
1.42044,3.793648,5.170422
1.665058,3.389742,5.18033
1.927058,2.991519,5.192189
2.20539,2.602727,5.205996
2.498938,2.226967,5.221749
2.806515,1.867762,5.239444
3.126916,1.52848,5.259079
3.458817,1.212262,5.280649
3.800919,0.9220749,5.304153
4.151838,0.6606371,5.329584
4.510167,0.4303696,5.356939
4.874471,0.2334405,5.386212
5.243288,0.07167312,5.417401
5.615139,-0.05341352,5.450496
5.988533,-0.1406488,5.485493
6.361973,-0.1892252,5.522387
6.733951,-0.1986853,5.561169
7.103008,-0.1689412,5.601834
7.46762,-0.1002733,5.644374
7.826369,0.006682732,5.688782
8.177773,0.1509198,5.73505
8.520455,0.3311027,5.783168
8.853032,0.5455345,5.833131
9.174168,0.7922303,5.884927
9.482567,1.068879,5.938548
9.77702,1.372896,5.993984
10.05632,1.70143,6.051226
10.31935,2.05144,6.110263
10.56507,2.419645,6.171085
10.79247,2.80259,6.233681
11.00067,3.196732,6.298039
11.1888,3.598358,6.36415
11.35614,4.003749,6.432
11.502,4.409091,6.501577
11.62579,4.810627,6.57287
11.72703,5.20458,6.645865
11.8053,5.587301,6.72055
11.8603,5.955185,6.796912
11.8918,6.304829,6.874936
11.89967,6.632938,6.954608
11.88389,6.936476,7.035916
11.84451,7.212595,7.118847
11.7817,7.458707,7.203378
11.6957,7.672534,7.289505
11.58687,7.852068,7.377201
11.45563,7.995635,7.466462
11.30252,8.101888,7.557261
11.12815,8.169845,7.649594
10.93322,8.198866,7.743432
10.71849,8.188682,7.838771
10.48486,8.139389,7.93558
10.23324,8.051443,8.033857
9.964643,7.925673,8.13357
9.680151,7.763243,8.234715
9.380901,7.565682,8.33726
9.068095,7.334819,8.441201
8.742987,7.072818,8.546509
8.406879,6.782136,8.653169
8.061121,6.465466,8.761161
7.707108,6.125787,8.870466
7.34623,5.766247,8.981067
6.979974,5.390214,9.092941
6.609767,5.001215,9.20607
6.237138,4.602853,9.320434
5.863546,4.198862,9.436011
5.490501,3.793029,9.552782
5.1195,3.389114,9.670726
4.75204,2.990917,9.789822
4.389562,2.602128,9.910048
4.033553,2.226391,10.03139
3.685429,1.867229,10.15381
3.346586,1.527967,10.2773
3.018392,1.211799,10.40183
2.702134,0.9216533,10.52739
2.399119,0.6602613,10.65394
2.110533,0.4300431,10.78148
1.837543,0.2331664,10.90996
1.581244,0.07145407,11.03938
1.342663,-0.05357148,11.1697
1.122757,-0.1407527,11.30092
0.9224132,-0.1892695,11.43299
0.7424182,-0.1986693,11.56591
0.5835152,-0.1688661,11.69963
0.4463262,-0.1001356,11.83415
0.331403,0.006879749,11.96944
0.2392162,0.1511742,12.10547
0.1701238,0.3314121,12.24222
0.1244116,0.545896,12.37966
0.1022576,0.7926406,12.51777
0.1037525,1.069322,12.65653
0.1288897,1.373379,12.79591
0.1775675,1.701949,12.93589
0.2495954,2.051989,13.07643
0.344676,2.420204,13.21753
0.46244,2.803184,13.35914
0.6024008,3.197324,13.50126
0.7640085,3.598974,13.64384
0.9466114,4.004369,13.78686
1.149477,4.409707,13.93031
1.371793,4.811235,14.07415
1.612667,5.205189,14.21837
1.871133,5.587889,14.36292
2.146155,5.955748,14.50779
2.43663,6.30536,14.65296
2.741384,6.633433,14.79839
3.059223,6.936931,14.94406
3.388835,7.212994,15.08995
3.728927,7.459067,15.23602
4.078125,7.672834,15.38226
4.43503,7.852315,15.52863
4.798209,7.995821,15.67511
5.166208,8.102021,15.82168
5.537549,8.169919,15.96831
5.910746,8.19888,16.11496
6.2843,8.188637,16.26163
6.656703,8.139284,16.40827
7.026495,8.05128,16.55488
7.392149,7.925447,16.7014
7.752232,7.762968,16.84783
8.105289,7.565346,16.99413
8.449903,7.334433,17.14029
8.784695,7.072396,17.28626
9.108311,6.781672,17.43204
9.419481,6.464951,17.5776
9.716931,6.125239,17.72289
9.99947,5.765685,17.8679
10.26599,5.389614,18.01262
10.51539,5.000598,18.15699
10.74668,4.60224,18.30102
10.95895,4.198259,18.44465
11.15133,3.792394,18.58789
11.32305,3.3885,18.73069
11.47343,2.990316,18.87303
11.60186,2.601544,19.01488
11.70784,2.225829,19.15623
11.79092,1.866695,19.29704
11.85078,1.527466,19.43729
11.88718,1.211336,19.57695
11.89998,0.9212317,19.71602
11.88912,0.6598758,19.85444
11.85464,0.4297167,19.99221
11.79669,0.2328782,20.1293
11.7155,0.07122926,20.26567
11.61139,-0.05373796,20.40131
11.48478,-0.1408564,20.5362
11.33617,-0.1893151,20.67031
11.16617,-0.1986537,20.80362
10.97545,-0.1687907,20.93609
10.76479,-0.1000047,21.06772
10.53501,0.00707176,21.19847
10.28705,0.1514223,21.32833
10.02191,0.331706,21.45726
9.740641,0.5462484,21.58525
9.444358,0.7930406,21.71228
9.134281,1.069766,21.83831
8.811619,1.373863,21.96333
8.477681,1.702481,22.08733
8.133829,2.052552,22.21026
7.781421,2.420793,22.33212
7.421871,2.803778,22.45288
7.056575,3.197964,22.57252
6.687086,3.599607,22.69102
6.314843,4.004989,22.80835
5.941337,4.410324,22.9245
5.568044,4.811859,23.03945
5.196505,5.205782,23.15317
4.828166,5.588448,23.26565
4.464548,5.956282,23.37685
4.107065,6.305878,23.48678
3.757193,6.633916,23.59541
3.416314,6.937362,23.7027
3.085756,7.213403,23.80866
2.766922,7.459419,23.91325
2.461052,7.673142,24.01647
2.169372,7.852562,24.11828
1.893034,7.996016,24.21869
1.633165,8.102158,24.31765
1.390822,8.169992,24.41516
1.16696,8.198895,24.5112
0.9624639,8.18859,24.60576
0.7781789,8.139176,24.69882
0.6148311,8.051116,24.79035
0.473068,7.925232,24.88035
0.3534677,7.762685,24.9688
0.2565155,7.565019,25.05567
0.1825922,7.334066,25.14097
0.1319914,7.071962,25.22467
0.1049218,6.781196,25.30675
0.101491,6.464462,25.3872
0.1217108,6.124705,25.46602
0.1655029,5.765108,25.54318
0.2326872,5.389044,25.61866
0.3230017,4.999997,25.69247
0.4360737,4.601627,25.76457
0.5714632,4.197624,25.83497
0.7286114,3.791776,25.90365
0.9068955,3.387887,25.97059
1.105613,2.989684,26.03579
1.323958,2.600944,26.09923
1.561038,2.225268,26.1609
1.815917,1.866161,26.22079
2.087589,1.526952,26.2789
2.374933,1.21086,26.33519
2.676829,0.9208104,26.38968
2.992033,0.6595101,26.44235
3.319317,0.429382,26.49319
3.65733,0.2326114,26.54219
4.004735,0.07101598,26.58935
4.360163,-0.05389993,26.63464
4.722167,-0.1409625,26.67808
5.089272,-0.1893579,26.71964
5.46003,-0.198638,26.75932
5.832974,-0.1687134,26.79712
6.206566,-0.09986326,26.83302
6.579352,0.00726402,26.86703
6.949793,0.1516704,26.89913
7.316447,0.3320232,26.92932
7.677801,0.5466102,26.95759
8.032428,0.7934407,26.98394
8.378925,1.07021,27.00836
8.715884,1.374359,27.03086
9.041933,1.703,27.05142
9.355784,2.053087,27.07004
9.65618,2.421352,27.08672
9.941934,2.804388,27.10146
10.21188,3.198556,27.11425
10.46492,3.600208,27.12509
10.70007,4.005624,27.13398
10.91637,4.410956,27.14091
11.11295,4.812467,27.1459
11.28904,5.206376,27.14892
11.44392,5.589036,27.15
11.57696,5.956859,27.14911
11.68764,6.306396,27.14628
11.77552,6.634399,27.14148
11.84025,6.937828,27.13474
11.88155,7.213802,27.12604
11.89927,7.45977,27.11539
11.89333,7.673435,27.10279
11.86376,7.852815,27.08824
11.81069,7.996207,27.07174
11.7343,8.102286,27.05331
11.63493,8.170069,27.03294
11.51296,8.198909,27.01063
11.3689,8.188545,26.98639
11.2033,8.139071,26.96023
11.01682,8.050949,26.93214
10.81024,7.925006,26.90214
10.58438,7.76241,26.87023
10.34013,7.564691,26.83641
10.07847,7.333679,26.80069
9.800454,7.07154,26.76307
9.507215,6.780732,26.72358
9.199914,6.463961,26.6822
8.879762,6.124156,26.63894
8.548083,5.764546,26.59383
8.206187,5.38846,26.54685
7.855403,4.999379,26.49803
7.497221,4.600998,26.44737
7.133036,4.197005,26.39488
6.764308,3.791173,26.34057
6.392493,3.387259,26.28444
6.019104,2.989098,26.22652
5.645661,2.600375,26.1668
5.273638,2.224706,26.1053
4.904506,1.865614,26.04203
4.539789,1.526464,25.97701
4.180905,1.210397,25.91023
3.829316,0.9203783,25.84172
3.486451,0.659115,25.77149
3.153665,0.4290558,25.69955
2.832291,0.2323375,25.62591
2.523601,0.07078566,25.55058
2.228851,-0.05406615,25.47359
1.949239,-0.1410661,25.39494
1.685869,-0.1894019,25.31464
1.439783,-0.1986217,25.23271
1.211997,-0.1686378,25.14917
1.003396,-0.09973233,25.06403
0.8148423,0.007451274,24.97731
0.6470696,0.151925,24.88901
0.5007703,0.3323174,24.79916
0.3765206,0.5469539,24.70778
0.2748131,0.7938513,24.61486
0.1960638,1.070665,24.52046
0.1405911,1.374842,24.42456
0.1086119,1.703518,24.32719
0.1002549,2.05365,24.22836
0.1155545,2.421956,24.12811
0.154451,2.804981,24.02642
0.2167837,3.199164,23.92335
0.3023106,3.600857,23.81888
0.4106784,4.006244,23.71306
0.5414565,4.411573,23.60589
0.6941311,4.813059,23.4974
0.868082,5.206985,23.38759
1.0626,5.58961,23.27651
1.276915,5.957393,23.16415
1.510182,6.306927,23.05055
1.761437,6.634894,22.93572
2.029704,6.938259,22.81969
2.313874,7.214201,22.70247
2.612843,7.460131,22.58408
2.925374,7.673743,22.46455
3.250234,7.853062,22.34391
3.58614,7.996397,22.22215
3.931725,8.102427,22.09932
4.285583,8.170142,21.97543
4.646314,8.198923,21.85051
5.012474,8.188499,21.72457
5.382637,8.138963,21.59763
5.755231,8.050785,21.46973
6.128808,7.924786,21.3409
6.50189,7.762127,21.21112
6.872937,7.564354,21.08046
7.240484,7.333302,20.94892
7.603078,7.071128,20.81653
7.959245,6.780255,20.68329
8.307534,6.463446,20.54926
8.646571,6.123636,20.41445
8.974997,5.763998,20.27889
9.291531,5.38786,20.14257
9.594829,4.998793,20.00556
9.883713,4.6004,19.86786
10.15703,4.196402,19.7295
10.41368,3.790538,19.5905
10.65265,3.386662,19.45089
10.87294,2.988512,19.31069
11.0737,2.599776,19.16993
11.25411,2.224144,19.02864
11.41345,1.865094,18.88683
11.55108,1.52595,18.74454
11.66647,1.209934,18.60178
11.75913,0.919946,18.45859
11.82869,0.6587397,18.31499
11.87489,0.4287298,18.171
11.89753,0.2320496,18.02666
11.89651,0.07056687,17.88198
11.87186,-0.05422787,17.73699
11.82366,-0.1411748,17.59172
11.75211,-0.1894483,17.4462
11.6575,-0.1986059,17.30044
11.54019,-0.1685622,17.15448
11.40067,-0.09959064,17.00834
11.23951,0.007653549,16.86205
11.05733,0.1521733,16.71564
10.85488,0.3326192,16.56912
10.63295,0.5473249,16.42252
10.39244,0.7942516,16.27588
10.13433,1.071109,16.12922
9.859642,1.375314,15.98256
9.569463,1.704051,15.83593
9.264989,2.054199,15.68935
8.947405,2.422515,15.54286
8.618001,2.805591,15.39647
8.27812,3.199788,15.25023
7.929105,3.601457,15.10413
7.572354,4.006847,14.95823
7.209278,4.412205,14.81253
6.841352,4.813683,14.66708
6.470075,5.207563,14.52189
6.096913,5.590168,14.37699
5.72334,5.957955,14.23239
5.350898,6.307432,14.08815
4.981037,6.635364,13.94428
4.615284,6.938714,13.80079
4.255062,7.2146,13.65771
3.901858,7.460473,13.51509
3.557066,7.674051,13.37293
3.22205,7.853308,13.23126
2.898174,7.996588,13.09011
2.586754,8.102559,12.94952
2.28902,8.170217,12.80949
2.006148,8.198937,12.67004
1.739308,8.188451,12.53122
1.489537,8.138858,12.39305
1.257866,8.050621,12.25554
1.045196,7.924554,12.11872
0.8524071,7.761852,11.98262
0.6802574,7.564027,11.84727
0.5294287,7.332925,11.71267
0.4005377,7.070683,11.57886
0.2941062,6.779791,11.44587
0.2105525,6.462944,11.31372
0.1502096,6.123074,11.18241
0.1133256,5.763407,11.052
0.1000446,5.387275,10.92249
0.1104212,4.998191,10.79392
0.1444151,4.599755,10.66629
0.201886,4.195751,10.53964
0.2826046,3.789919,10.41398
0.3862547,3.386049,10.28936
0.5124158,2.98788,10.16576
0.6605729,2.599192,10.04323
0.8301384,2.223583,9.921788
1.020433,1.86456,9.801461
1.23072,1.52545,9.682246
1.460105,1.209471,9.56419
1.707694,0.9195467,9.447304
1.972509,0.6583642,9.331609
2.253456,0.4284036,9.217127
2.549426,0.2317903,9.103877
2.859251,0.07035933,8.991879
3.181669,-0.05438959,8.881155
3.515369,-0.1412727,8.771723
