x,y,z
7.14,3.07,7.95
7.14,3.07,7.95
7.14,3.07,7.95
7.14,3.07,7.95
7.15,3.136654,7.95
7.16,3.203234,7.95
7.17,3.269667,7.95
7.179999,3.335877,7.95
7.189998,3.401792,7.95
7.199996,3.467339,7.95
7.209993,3.532444,7.95
7.21999,3.597035,7.95
7.229986,3.66104,7.95
7.239981,3.724389,7.95
7.249975,3.787011,7.95
7.259968,3.848837,7.95
7.269959,3.909797,7.95
7.279949,3.969824,7.95
7.289937,4.028851,7.95
7.299924,4.086813,7.95
7.309909,4.143645,7.95
7.319892,4.199285,7.95
7.329873,4.25367,7.95
7.339852,4.30674,7.95
7.349828,4.358436,7.95
7.359803,4.4087,7.95
7.369775,4.457477,7.95
7.379744,4.504712,7.95
7.38971,4.550354,7.95
7.399674,4.594351,7.95
7.409636,4.636654,7.95
7.419593,4.677217,7.95
7.429548,4.715993,7.95
7.4395,4.752942,7.95
7.449449,4.788021,7.95
7.459394,4.82119,7.95
7.469335,4.852415,7.95
7.479272,4.881659,7.95
7.489206,4.90889,7.95
7.499136,4.934078,7.95
7.509063,4.957195,7.95
7.518985,4.978216,7.95
7.528903,4.997116,7.95
7.538815,5.013876,7.95
7.548725,5.028476,7.95
7.558629,5.040899,7.95
7.568529,5.051134,7.95
7.578424,5.059167,7.95
7.588315,5.06499,7.95
7.598199,5.068597,7.95
7.608079,5.069983,7.95
7.617955,5.069147,7.95
7.627824,5.066091,7.95
7.637688,5.060816,7.95
7.647547,5.053329,7.95
7.6574,5.04364,7.95
7.667247,5.031757,7.95
7.677089,5.017695,7.95
7.686924,5.001469,7.95
7.696754,4.983097,7.95
7.706577,4.9626,7.95
7.716393,4.94,7.95
7.726204,4.915322,7.95
7.736008,4.888595,7.95
7.745805,4.859846,7.95
7.755596,4.82911,7.95
7.765379,4.796419,7.95
7.775156,4.761809,7.95
7.784926,4.725321,7.95
7.794689,4.686993,7.95
7.804444,4.646868,7.95
7.814192,4.604992,7.95
7.823933,4.56141,7.95
7.833665,4.516171,7.95
7.84339,4.469326,7.95
7.853108,4.420926,7.95
7.862817,4.371025,7.95
7.872519,4.319679,7.95
7.882212,4.266944,7.95
7.891897,4.212879,7.95
7.901573,4.157545,7.95
7.911242,4.101003,7.95
7.920901,4.043314,7.95
7.930552,3.984545,7.95
7.940194,3.92476,7.95
7.949828,3.864024,7.95
7.959452,3.802407,7.95
7.969067,3.739976,7.95
7.978673,3.6768,7.95
7.988269,3.612951,7.95
7.997857,3.548498,7.95
8.007434,3.483514,7.95
8.017002,3.41807,7.95
8.026561,3.35224,7.95
8.036109,3.286095,7.95
8.045648,3.219711,7.95
8.055176,3.153161,7.95
8.064694,3.086518,7.95
8.074202,3.019857,7.95
8.083699,2.953251,7.95
8.093186,2.886775,7.95
8.102663,2.820503,7.95
8.112129,2.754508,7.95
8.121584,2.688864,7.95
8.131028,2.623643,7.95
8.140461,2.558918,7.95
8.149883,2.49476,7.95
8.159294,2.431242,7.95
8.168694,2.368433,7.95
8.178082,2.306404,7.95
8.187458,2.245223,7.95
8.196822,2.184959,7.95
8.206176,2.125678,7.95
8.215517,2.067446,7.95
8.224846,2.010327,7.95
8.234163,1.954386,7.95
8.243468,1.899685,7.95
8.252761,1.846284,7.95
8.262042,1.794242,7.95
8.27131,1.743618,7.95
8.280565,1.694467,7.95
8.289808,1.646845,7.95
8.299038,1.600804,7.95
8.308255,1.556395,7.95
8.317459,1.513667,7.95
8.326651,1.472669,7.95
8.335828,1.433445,7.95
8.344993,1.39604,7.95
8.354144,1.360494,7.95
8.363281,1.326848,7.95
8.372405,1.295138,7.95
8.381516,1.265401,7.95
8.390613,1.237668,7.95
8.399695,1.211971,7.95
8.408764,1.188338,7.95
8.417818,1.166796,7.95
8.426859,1.147368,7.95
8.435884,1.130076,7.95
8.444897,1.11494,7.95
8.453894,1.101975,7.95
8.462876,1.091197,7.95
8.471845,1.082618,7.95
8.480798,1.076246,7.95
8.489736,1.07209,7.95
8.498659,1.070153,7.95
8.507566,1.070439,7.95
8.516459,1.072945,7.95
8.525337,1.077671,7.95
8.5342,1.08461,7.95
8.543046,1.093754,7.95
8.551878,1.105095,7.95
8.560693,1.118618,7.95
8.569492,1.134309,7.95
8.578277,1.152152,7.95
8.587045,1.172124,7.95
8.595797,1.194206,7.95
8.604532,1.218371,7.95
8.613251,1.244593,7.95
8.621954,1.272844,7.95
8.63064,1.303091,7.95
8.63931,1.335301,7.95
8.647964,1.369439,7.95
8.6566,1.405465,7.95
8.665219,1.443341,7.95
8.673822,1.483025,7.95
8.682408,1.524471,7.95
8.690976,1.567635,7.95
8.699528,1.612468,7.95
8.708062,1.65892,7.95
8.716578,1.70694,7.95
8.725078,1.756474,7.95
8.733559,1.807467,7.95
8.742023,1.859863,7.95
8.750468,1.913604,7.95
8.758896,1.968629,7.95
8.767306,2.024878,7.95
8.775698,2.082289,7.95
8.784072,2.140796,7.95
8.792427,2.200336,7.95
8.800764,2.260842,7.95
8.809083,2.322247,7.95
8.817383,2.384483,7.95
8.825665,2.447481,7.95
8.833927,2.51117,7.95
8.842172,2.57548,7.95
8.850396,2.640339,7.95
8.858603,2.705676,7.95
8.86679,2.771417,7.95
8.874957,2.83749,7.95
8.883105,2.903822,7.95
8.891234,2.970338,7.95
8.899344,3.036965,7.95
8.907434,3.103628,7.95
8.915504,3.170254,7.95
8.923555,3.236769,7.95
8.931586,3.303099,7.95
8.939597,3.36917,7.95
8.947588,3.434908,7.95
8.955559,3.500241,7.95
8.96351,3.565095,7.95
8.97144,3.6294,7.95
8.97935,3.693083,7.95
8.98724,3.756074,7.95
8.99511,3.818303,7.95
9.002958,3.8797,7.95
9.010786,3.940198,7.95
9.018593,3.999729,7.95
9.026379,4.058227,7.95
9.034144,4.115627,7.95
9.041888,4.171865,7.95
9.049612,4.226881,7.95
9.057313,4.280609,7.95
9.064994,4.332993,7.95
9.072653,4.383974,7.95
9.080291,4.433495,7.95
9.087907,4.481501,7.95
9.095501,4.527938,7.95
9.103074,4.572757,7.95
9.110625,4.615905,7.95
9.118154,4.657336,7.95
9.125661,4.697003,7.95
9.133146,4.734863,7.95
9.140609,4.770874,7.95
9.148049,4.804994,7.95
9.155468,4.837187,7.95
9.162864,4.867416,7.95
9.170238,4.895649,7.95
9.177588,4.921854,7.95
9.184916,4.946,7.95
9.192222,4.968063,7.95
9.199505,4.988017,7.95
9.206764,5.005839,7.95
9.214001,5.021512,7.95
9.221215,5.035016,7.95
9.228406,5.046337,7.95
9.235573,5.055462,7.95
9.242718,5.062381,7.95
9.249838,5.067087,7.95
9.256936,5.069573,7.95
9.264009,5.069839,7.95
9.27106,5.067883,7.95
9.278087,5.063706,7.95
9.285089,5.057315,7.95
9.292068,5.048717,7.95
9.299024,5.037919,7.95
9.305955,5.024935,7.95
9.312861,5.009779,7.95
9.319744,4.992468,7.95
9.326603,4.973022,7.95
9.333438,4.95146,7.95
9.340247,4.92781,7.95
9.347034,4.902094,7.95
9.353794,4.874343,7.95
9.360531,4.844587,7.95
9.367242,4.812861,7.95
9.37393,4.779197,7.95
9.380591,4.743635,7.95
9.387229,4.706213,7.95
9.393841,4.666974,7.95
9.400429,4.62596,7.95
9.406991,4.583217,7.95
9.413527,4.538794,7.95
9.420039,4.492737,7.95
9.426526,4.445102,7.95
9.432987,4.395937,7.95
9.439423,4.345301,7.95
9.445832,4.293246,7.95
9.452216,4.239834,7.95
9.458575,4.185121,7.95
9.464908,4.12917,7.95
9.471215,4.072041,7.95
9.477496,4.0138,7.95
9.483751,3.954509,7.95
9.489981,3.894237,7.95
9.496183,3.833047,7.95
9.50236,3.77101,7.95
9.508512,3.708196,7.95
9.514635,3.644671,7.95
9.520733,3.580509,7.95
9.526805,3.515778,7.95
9.532849,3.450554,7.95
9.538868,3.384905,7.95
9.54486,3.318908,7.95
9.550825,3.252633,7.95
9.556763,3.186157,7.95
9.562675,3.11955,7.95
9.568559,3.052889,7.95
9.574416,2.986246,7.95
9.580247,2.919696,7.95
9.58605,2.853314,7.95
9.591825,2.787172,7.95
9.597574,2.721346,7.95
9.603296,2.655905,7.95
9.608991,2.590926,7.95
9.614657,2.526477,7.95
9.620296,2.462634,7.95
9.625908,2.399464,7.95
9.631492,2.337041,7.95
9.637049,2.275431,7.95
9.642577,2.214705,7.95
9.648078,2.154927,7.95
9.653551,2.096168,7.95
9.658996,2.038489,7.95
9.664413,1.981956,7.95
9.669802,1.926634,7.95
9.675163,1.87258,7.95
9.680495,1.819858,7.95
9.685801,1.768524,7.95
9.691076,1.718637,7.95
9.696324,1.670249,7.95
9.701544,1.623419,7.95
9.706735,1.578194,7.95
9.711897,1.534628,7.95
9.717031,1.492767,7.95
9.722136,1.452659,7.95
9.727213,1.414346,7.95
9.732261,1.377874,7.95
9.73728,1.343282,7.95
9.74227,1.310608,7.95
9.747231,1.279889,7.95
9.752163,1.251158,7.95
9.757067,1.224449,7.95
9.761941,1.199789,7.95
9.766786,1.177208,7.95
9.771602,1.156729,7.95
9.776388,1.138377,7.95
9.781145,1.12217,7.95
9.785873,1.108127,7.95
9.790572,1.096264,7.95
9.795241,1.086594,7.95
9.799881,1.079127,7.95
9.804491,1.073872,7.95
9.809072,1.070835,7.95
9.813622,1.070019,7.95
9.818143,1.071426,7.95
9.822635,1.075052,7.95
9.827096,1.080895,7.95
9.831528,1.088948,7.95
9.83593,1.099201,7.95
9.840302,1.111645,7.95
9.844643,1.126264,7.95
9.848955,1.143042,7.95
9.853236,1.161962,7.95
9.857489,1.183001,7.95
9.86171,1.206136,7.95
9.8659,1.231343,7.95
9.870061,1.258593,7.95
9.874191,1.287854,7.95
9.878292,1.319097,7.95
9.882361,1.352283,7.95
9.8864,1.387379,7.95
9.890409,1.424343,7.95
9.894387,1.463137,7.95
9.898335,1.503715,7.95
9.902252,1.546034,7.95
9.906137,1.590045,7.95
9.909993,1.635701,7.95
9.913818,1.68295,7.95
9.917612,1.731741,7.95
9.921375,1.782019,7.95
9.925107,1.833727,7.95
9.928808,1.886809,7.95
9.932478,1.941205,7.95
9.936117,1.996856,7.95
9.939725,2.053698,7.95
9.943302,2.11167,7.95
9.946848,2.170706,7.95
9.950363,2.230742,7.95
9.953846,2.291709,7.95
9.957298,2.353543,7.95
9.960719,2.416171,7.95
9.964108,2.479527,7.95
9.967466,2.543537,7.95
9.970793,2.608134,7.95
9.974089,2.673244,7.95
9.977352,2.738793,7.95
9.980584,2.804712,7.95
9.983785,2.870923,7.95
9.986954,2.937358,7.95
9.990091,3.003938,7.95
9.993197,3.070594,7.95
9.996271,3.137247,7.95
9.999313,3.203827,7.95
10.00232,3.270257,7.95
10.0053,3.336466,7.95
10.00825,3.402377,7.95
10.01116,3.46792,7.95
10.01405,3.533022,7.95
10.0169,3.597607,7.95
10.01972,3.661608,7.95
10.0225,3.72495,7.95
10.02526,3.787566,7.95
10.02798,3.849383,7.95
10.03067,3.910336,7.95
10.03333,3.970353,7.95
10.03596,4.029372,7.95
10.03856,4.087324,7.95
10.04112,4.144146,7.95
10.04365,4.199774,7.95
10.04615,4.254148,7.95
10.04861,4.307205,7.95
10.05104,4.358889,7.95
10.05344,4.409141,7.95
10.05581,4.457904,7.95
10.05815,4.505126,7.95
10.06045,4.550753,7.95
10.06273,4.594735,7.95
10.06496,4.637022,7.95
10.06717,4.67757,7.95
10.06934,4.716331,7.95
10.07149,4.753263,7.95
10.07359,4.788324,7.95
10.07567,4.821477,7.95
10.07771,4.852684,7.95
10.07972,4.88191,7.95
10.0817,4.909123,7.95
10.08365,4.934293,7.95
10.08556,4.957392,7.95
10.08744,4.978394,7.95
10.08929,4.997275,7.95
10.0911,5.014015,7.95
10.09288,5.028596,7.95
10.09463,5.041,7.95
10.09635,5.051215,7.95
10.09803,5.059228,7.95
10.09968,5.065032,7.95
10.1013,5.068619,7.95
10.10288,5.069985,7.95
10.10444,5.06913,7.95
10.10596,5.066053,7.95
10.10744,5.060759,7.95
10.10889,5.053253,7.95
10.11031,5.043543,7.95
10.1117,5.031642,7.95
10.11305,5.01756,7.95
10.11438,5.001315,7.95
10.11566,4.982924,7.95
10.11692,4.962408,7.95
10.11814,4.939789,7.95
10.11933,4.915094,7.95
10.12048,4.888348,7.95
10.1216,4.859582,7.95
10.12269,4.828827,7.95
10.12375,4.796119,7.95
10.12477,4.761493,7.95
10.12576,4.724987,7.95
10.12672,4.686644,7.95
10.12764,4.646502,7.95
10.12853,4.604611,7.95
10.12939,4.561014,7.95
10.13021,4.515762,7.95
10.131,4.468902,7.95
10.13176,4.420489,7.95
10.13248,4.370574,7.95
10.13318,4.319216,7.95
10.13383,4.266469,7.95
10.13446,4.212393,7.95
10.13505,4.157047,7.95
10.13561,4.100495,7.95
10.13613,4.042796,7.95
10.13662,3.984016,7.95
10.13708,3.924223,7.95
10.1375,3.863479,7.95
10.13789,3.801855,7.95
10.13825,3.739416,7.95
10.13858,3.676236,7.95
10.13887,3.61238,7.95
10.13913,3.547923,7.95
10.13935,3.482933,7.95
10.13954,3.417486,7.95
10.1397,3.351652,7.95
10.13982,3.285506,7.95
10.13992,3.21912,7.95
10.13997,3.152567,7.95
10.14,3.085925,7.95
10.13999,3.019263,7.95
10.13995,2.952659,7.95
10.13987,2.886184,7.95
10.13976,2.819915,7.95
10.13962,2.753922,7.95
10.13945,2.688282,7.95
10.13924,2.623064,7.95
10.139,2.558344,7.95
10.13872,2.494193,7.95
10.13841,2.430678,7.95
10.13807,2.367877,7.95
10.13769,2.305856,7.95
10.13729,2.244681,7.95
10.13684,2.184426,7.95
10.13637,2.125154,7.95
10.13586,2.066933,7.95
10.13532,2.009823,7.95
10.13474,1.953894,7.95
10.13414,1.899204,7.95
10.13349,1.845816,7.95
10.13282,1.793784,7.95
10.13211,1.743174,7.95
10.13137,1.694037,7.95
10.1306,1.646429,7.95
10.12979,1.6004,7.95
10.12895,1.556007,7.95
10.12807,1.513295,7.95
10.12716,1.472311,7.95
10.12622,1.433104,7.95
10.12525,1.395716,7.95
10.12424,1.360187,7.95
10.1232,1.326557,7.95
10.12213,1.294865,7.95
10.12102,1.265145,7.95
10.11988,1.237431,7.95
10.11871,1.211751,7.95
10.11751,1.188137,7.95
10.11627,1.166614,7.95
10.11499,1.147205,7.95
10.11369,1.129932,7.95
10.11235,1.114815,7.95
10.11098,1.10187,7.95
10.10958,1.091111,7.95
10.10814,1.082551,7.95
10.10667,1.0762,7.95
10.10517,1.072063,7.95
10.10363,1.070146,7.95
10.10206,1.070451,7.95
10.10046,1.072978,7.95
10.09882,1.077723,7.95
10.09716,1.084682,7.95
10.09546,1.093846,7.95
10.09372,1.105205,7.95
10.09196,1.118748,7.95
10.09016,1.134459,7.95
10.08833,1.15232,7.95
10.08646,1.172311,7.95
10.08457,1.194412,7.95
10.08264,1.218595,7.95
10.08067,1.244836,7.95
10.07868,1.273104,7.95
10.07665,1.30337,7.95
10.07459,1.335597,7.95
10.0725,1.369751,7.95
10.07037,1.405794,7.95
10.06821,1.443687,7.95
10.06602,1.483386,7.95
10.0638,1.524848,7.95
10.06154,1.568025,7.95
10.05925,1.612875,7.95
10.05693,1.65934,7.95
10.05458,1.707373,7.95
10.05219,1.756922,7.95
10.04978,1.807928,7.95
10.04733,1.860335,7.95
10.04484,1.914087,7.95
10.04233,1.969126,7.95
10.03978,2.025385,7.95
10.0372,2.082804,7.95
10.03459,2.14132,7.95
10.03195,2.200871,7.95
10.02927,2.261385,7.95
10.02657,2.322797,7.95
10.02383,2.385042,7.95
10.02105,2.448045,7.95
10.01825,2.511739,7.95
10.01541,2.576053,7.95
10.01255,2.64092,7.95
10.00965,2.70626,7.95
10.00671,2.772003,7.95
10.00375,2.838078,7.95
10.00076,2.904414,7.95
9.997728,2.970931,7.95
9.99467,3.037557,7.95
9.991579,3.10422,7.95
