x,y,z
5.060879,4.835345,21.68534
5.121644,4.802696,21.6527
5.191598,4.772499,21.6225
5.270519,4.745183,21.59518
5.35813,4.721166,21.57117
5.454106,4.700846,21.55085
5.558071,4.684599,21.5346
5.669602,4.672777,21.52278
5.788236,4.665701,21.5157
5.913463,4.663663,21.51366
6.044737,4.666922,21.51692
6.181478,4.675698,21.5257
6.323071,4.690176,21.54017
6.468874,4.710499,21.5605
6.770425,4.769042,21.61904
6.924783,4.807336,21.65734
7.080579,4.851619,21.70162
7.23709,4.901816,21.75182
7.393589,4.957806,21.80781
7.54935,5.019424,21.86942
7.703652,5.086461,21.93646
7.855785,5.158664,22.00866
8.00505,5.235737,22.08574
8.150767,5.317346,22.16735
8.29228,5.403116,22.25311
8.428955,5.492636,22.34264
8.560191,5.585464,22.43546
8.685418,5.68112,22.53112
8.804103,5.779103,22.6291
8.915752,5.878883,22.72888
9.019914,5.979908,22.82991
9.11618,6.081606,22.93161
9.204192,6.183396,23.0334
9.283638,6.284679,23.13468
9.354256,6.384854,23.23485
9.415837,6.483315,23.33331
9.468225,6.579458,23.42946
9.511312,6.672683,23.52268
9.545053,6.762398,23.6124
9.569445,6.848029,23.69803
9.584545,6.929012,23.77901
9.590461,7.004811,23.85481
9.587348,7.07491,23.92491
9.575416,7.138824,23.98882
9.554915,7.196099,24.0461
9.526147,7.246314,24.09631
9.489454,7.289089,24.13909
9.445219,7.324084,24.17408
9.393863,7.351003,24.201
9.335838,7.369595,24.21959
9.271632,7.379656,24.22966
9.201758,7.381033,24.23103
9.126753,7.373623,24.22362
9.047173,7.357375,24.20737
8.963591,7.33229,24.18229
8.876594,7.298422,24.14842
8.786774,7.25588,24.10588
8.694728,7.204822,24.05482
8.601056,7.14546,23.99546
8.506349,7.078056,23.92805
8.411192,7.002922,23.85292
8.31616,6.920419,23.77042
8.221811,6.830952,23.68095
8.128682,6.734968,23.58497
8.03729,6.632959,23.48296
7.948123,6.525452,23.37545
7.861642,6.413009,23.26301
7.778275,6.296226,23.14622
7.698418,6.175724,23.02572
7.622426,6.052149,22.90215
7.550616,5.926167,22.77617
7.483267,5.798462,22.64846
7.420612,5.669728,22.51973
7.362844,5.540666,22.39067
7.31011,5.411982,22.26198
7.262513,5.284381,22.13438
7.220109,5.158562,22.00856
7.182913,5.035213,21.88521
7.150894,4.91501,21.76501
7.123976,4.798611,21.64861
7.102044,4.686647,21.53665
7.084939,4.57973,21.42973
7.072464,4.478436,21.32844
7.064387,4.383311,21.23331
7.060438,4.294862,21.14486
7.060316,4.213557,21.06356
7.06369,4.139819,20.98982
7.070204,4.074027,20.92403
7.079475,4.016513,20.86651
7.091103,3.967557,20.81756
7.104671,3.927389,20.77739
7.119745,3.896185,20.74618
7.135887,3.874067,20.72407
7.152649,3.861102,20.7111
7.169583,3.857304,20.7073
7.186241,3.862631,20.71263
7.202181,3.876985,20.72698
7.216971,3.900217,20.75022
7.230191,3.932123,20.78212
7.241436,3.972449,20.82245
7.250322,4.020892,20.87089
7.256488,4.0771,20.9271
7.259597,4.140679,20.99068
7.259342,4.211188,21.06119
7.255447,4.28815,21.13815
7.247671,4.371053,21.22105
7.235806,4.459347,21.30935
7.219686,4.552459,21.40246
7.199181,4.649785,21.49978
7.174201,4.750704,21.6007
7.144702,4.854574,21.70457
7.110679,4.960741,21.81074
7.072171,5.068542,21.91854
7.029259,5.177311,22.02731
6.982067,5.286378,22.13638
6.930761,5.395079,22.24508
6.875549,5.502757,22.35276
6.816678,5.608767,22.45877
6.754433,5.712479,22.56248
6.689134,5.81329,22.66329
6.621139,5.910609,22.76061
6.550836,6.003881,22.85388
6.478642,6.09258,22.94258
6.405001,6.176213,23.02621
6.33038,6.254325,23.10432
6.255267,6.326499,23.1765
6.180166,6.392363,23.24236
6.105595,6.451584,23.30158
6.03208,6.503879,23.35388
5.960155,6.549012,23.39901
5.890353,6.586793,23.43679
5.823207,6.617084,23.46708
5.759244,6.639795,23.4898
5.69898,6.654887,23.50489
5.642917,6.662369,23.51237
5.591542,6.662301,23.5123
5.545318,6.654788,23.50479
5.504685,6.639988,23.48999
5.470055,6.618098,23.4681
5.441806,6.589363,23.43936
5.420285,6.554068,23.40407
5.4058,6.512536,23.36254
5.398619,6.46513,23.31513
5.398968,6.412242,23.26224
5.40703,6.3543,23.2043
5.42294,6.291755,23.14175
5.446786,6.225084,23.07508
5.478611,6.154784,23.00478
5.518404,6.081368,22.93137
5.566104,6.005363,22.85536
5.621605,5.927305,22.7773
5.684746,5.847733,22.69773
5.75532,5.76719,22.61719
5.833069,5.686213,22.53621
5.917691,5.605337,22.45534
6.008835,5.525081,22.37508
6.106109,5.445955,22.29595
6.209076,5.368449,22.21845
6.317264,5.293033,22.14303
6.430161,5.220151,22.07015
6.547223,5.150222,22.00022
6.667874,5.083634,21.93363
6.791516,5.020741,21.87074
6.917519,4.961866,21.81186
7.04524,4.907292,21.75729
7.174019,4.857263,21.70726
7.303185,4.811983,21.66198
7.432057,4.771616,21.62161
7.559954,4.736282,21.58628
7.686194,4.706061,21.55606
7.810102,4.680985,21.53098
7.931009,4.661048,21.51105
8.048264,4.646199,21.4962
8.161232,4.636345,21.48634
8.269299,4.631353,21.48135
8.371878,4.63105,21.48105
8.468411,4.635227,21.48523
8.558374,4.643636,21.49364
8.641277,4.655998,21.506
8.716671,4.672002,21.522
8.784151,4.691307,21.54131
8.843353,4.713548,21.56355
8.893965,4.738336,21.58834
8.935719,4.765264,21.61526
8.968403,4.793908,21.64391
8.991854,4.823831,21.67383
9.005962,4.854588,21.70459
9.010675,4.885728,21.73573
9.005991,4.916798,21.7668
8.991964,4.947347,21.79735
8.968702,4.976932,21.82693
8.936367,5.005115,21.85511
8.895172,5.031474,21.88147
8.845382,5.055604,21.9056
8.787311,5.077117,21.92712
8.721318,5.095651,21.94565
8.64781,5.110867,21.96087
8.567234,5.122457,21.97246
8.480078,5.130144,21.98014
8.386864,5.133685,21.98368
8.288149,5.132873,21.98287
8.184518,5.127539,21.97754
8.076581,5.117554,21.96755
7.964972,5.10283,21.95283
7.850339,5.083322,21.93332
7.733346,5.059024,21.90902
7.614669,5.029978,21.87998
7.494982,4.996266,21.84627
7.374966,4.958015,21.80801
7.255294,4.915392,21.76539
7.136634,4.868609,21.71861
7.019641,4.817916,21.66792
6.904955,4.763601,21.6136
6.793195,4.705993,21.55599
6.684956,4.645451,21.49545
6.580807,4.58237,21.43237
6.481286,4.517175,21.36717
6.386895,4.450317,21.30032
6.298101,4.382272,21.23227
6.215331,4.313536,21.16353
6.13897,4.244623,21.09462
6.069359,4.176063,21.02606
6.006791,4.108393,20.95839
5.951512,4.042157,20.89216
5.903721,3.977904,20.8279
5.863565,3.91618,20.76618
5.831142,3.857525,20.70752
5.806499,3.802471,20.65247
5.789634,3.751536,20.60154
5.780492,3.705224,20.55522
5.778973,3.664013,20.51401
5.784925,3.628362,20.47836
5.798152,3.5987,20.4487
5.818415,3.575424,20.42542
5.845427,3.558899,20.4089
5.878866,3.549453,20.39945
5.91837,3.54737,20.39737
5.963542,3.552899,20.4029
6.013952,3.566238,20.41624
6.069147,3.587544,20.43754
6.128642,3.616923,20.46692
6.191931,3.654433,20.50443
6.258497,3.700084,20.55008
6.3278,3.753833,20.60383
6.399297,3.815589,20.66559
6.472433,3.885206,20.7352
6.546656,3.962496,20.81249
6.62141,4.04721,20.89721
6.696151,4.139065,20.98907
6.770336,4.237716,21.08772
6.843443,4.342788,21.19279
6.914961,4.453848,21.30385
6.984404,4.570437,21.42044
7.051301,4.692044,21.54204
7.11522,4.818137,21.66814
7.175747,4.948141,21.79814
7.232505,5.081452,21.93145
7.285151,5.217453,22.06745
7.333379,5.35549,22.20549
7.376922,5.494906,22.34491
7.41555,5.635017,22.48502
7.449079,5.775144,22.62514
7.477363,5.914586,22.76459
7.500303,6.05266,22.90266
7.51784,6.188668,23.03867
7.529962,6.321936,23.17194
7.536696,6.451787,23.30179
7.538116,6.577574,23.42757
7.534334,6.698656,23.54865
7.525503,6.814429,23.66443
7.511817,6.924309,23.77431
7.493505,7.02774,23.87774
7.470833,7.124212,23.97421
7.444098,7.213242,24.06324
7.413628,7.294396,24.1444
7.379777,7.367276,24.21728
7.342926,7.431538,24.28154
7.303476,7.486877,24.33688
7.261845,7.533047,24.38305
7.218468,7.569844,24.41984
7.173787,7.597126,24.44713
7.128258,7.614796,24.4648
7.082335,7.622817,24.47282
7.036474,7.621201,24.4712
6.991131,7.610016,24.46001
6.94675,7.589383,24.43938
6.903767,7.559476,24.40948
6.862603,7.520518,24.37052
6.823664,7.472782,24.32278
6.787331,7.416588,24.26659
6.753968,7.352306,24.2023
6.723904,7.280339,24.13034
6.697447,7.201141,24.05114
6.674868,7.115194,23.96519
6.656406,7.023023,23.87302
6.642265,6.925173,23.77517
6.632609,6.822226,23.67223
6.627566,6.714778,23.56478
6.627222,6.603451,23.45345
6.631622,6.488883,23.33888
6.640773,6.371714,23.22171
