x,y,z
7.14,3.31,23.57
7.14,3.31,23.57
7.229962,3.4897,23.64791
7.3197,3.667605,23.72562
7.408988,3.841936,23.80295
7.585327,4.172966,23.95566
7.671936,4.326356,24.03067
7.757216,4.469592,24.10452
7.840953,4.601241,24.17704
7.922938,4.719988,24.24804
8.002966,4.824647,24.31735
8.080837,4.914173,24.38479
8.156356,4.98767,24.45019
8.229336,5.044405,24.51339
8.299592,5.083809,24.57424
8.36695,5.105491,24.63257
8.431241,5.109232,24.68825
8.492305,5.094996,24.74113
8.549989,5.062926,24.79109
8.604148,5.01334,24.83799
8.654648,4.946735,24.88172
8.701362,4.863777,24.92218
8.744173,4.765293,24.95926
8.782975,4.652269,24.99286
8.874405,4.237902,25.07204
8.896302,4.079284,25.091
8.935491,3.564016,25.12494
8.911175,2.67859,25.10388
8.892925,2.513463,25.08808
8.870296,2.356295,25.06848
8.84334,2.208655,25.04514
8.812127,2.072021,25.0181
8.776735,1.947755,24.98745
8.737252,1.837101,24.95326
8.693776,1.741163,24.91561
8.646418,1.660901,24.8746
8.595293,1.597116,24.83032
8.540531,1.550446,24.7829
8.482269,1.521356,24.73244
8.420651,1.510138,24.67908
8.355833,1.516904,24.62294
8.287976,1.541585,24.56418
8.21725,1.583936,24.50293
8.14383,1.643534,24.43934
8.067903,1.719782,24.37359
7.989655,1.811919,24.30582
7.909284,1.919024,24.23622
7.82699,2.040027,24.16495
7.742978,2.173721,24.09219
7.65746,2.318766,24.01813
7.570649,2.473716,23.94295
7.48276,2.637023,23.86684
7.394016,2.807052,23.78998
7.304636,2.982108,23.71258
7.214844,3.16044,23.63482
7.124866,3.340265,23.55689
7.034926,3.519789,23.479
6.945249,3.697216,23.40134
6.812108,2.665189,23.28604
6.900975,2.836185,23.363
6.99044,3.011915,23.44048
7.080278,3.190622,23.51828
7.170265,3.370522,23.59621
7.260178,3.549819,23.67408
7.34979,3.72672,23.75168
7.438876,3.899455,23.82883
7.527216,4.0663,23.90534
7.614589,4.225591,23.981
7.700775,4.375733,24.05564
7.785559,4.515226,24.12907
7.86873,4.642676,24.2011
7.950079,4.756812,24.27155
8.029405,4.856493,24.34025
8.106506,4.940719,24.40702
8.181192,5.008653,24.4717
8.253276,5.059614,24.53412
8.322577,5.093093,24.59414
8.388921,5.108757,24.6516
8.452145,5.106448,24.70635
8.512089,5.086189,24.75826
8.568603,5.048183,24.80721
8.621546,4.992811,24.85306
8.670786,4.920624,24.8957
8.7162,4.832344,24.93503
8.757674,4.728853,24.97095
8.795105,4.611187,25.00336
8.882256,4.185516,25.07884
8.902682,4.024131,25.09653
8.931708,2.966454,25.12166
8.920845,2.791774,25.11226
8.905529,2.622271,25.09899
8.885801,2.459639,25.08191
8.86171,2.305507,25.06104
8.833314,2.161406,25.03645
8.800687,2.028784,25.0082
8.763908,1.908964,24.97635
8.723071,1.803144,24.94098
8.678277,1.712378,24.90219
8.629638,1.637576,24.86006
8.577276,1.579485,24.81472
8.521321,1.538683,24.76626
8.461914,1.51558,24.71481
8.399202,1.510406,24.6605
8.333344,1.523213,24.60347
8.264503,1.553873,24.54385
8.19285,1.60208,24.48179
8.118567,1.667352,24.41746
8.041837,1.749037,24.35101
7.962852,1.846319,24.28261
7.881812,1.958225,24.21243
7.798916,2.083638,24.14064
7.714376,2.221302,24.06742
7.628399,2.369846,23.99297
7.5412,2.527784,23.91745
7.453001,2.693535,23.84107
7.364017,2.865448,23.764
7.274474,3.041803,23.68646
