x,y,z
7.591842,6.327637,24.62398
7.837121,6.149726,24.64746
8.077584,5.96613,24.66769
8.311541,5.777653,24.68464
8.537354,5.585154,24.6983
8.75347,5.389478,24.70865
8.958389,5.191494,24.71568
9.150696,4.992071,24.71938
9.329039,4.792116,24.71975
9.492189,4.592507,24.71678
9.639022,4.394121,24.71049
9.768503,4.197859,24.70087
9.879743,4.004584,24.68794
9.971967,3.815153,24.67172
10.04454,3.630399,24.65221
10.09695,3.451162,24.62945
10.12884,3.278229,24.60346
10.13999,3.112367,24.57426
10.13031,2.954305,24.54189
10.09988,2.804763,24.50638
10.04891,2.664396,24.46778
9.977745,2.533821,24.42613
9.886889,2.413633,24.38147
9.776969,2.304357,24.33385
9.648747,2.20648,24.28333
9.503108,2.12043,24.22996
9.341075,2.046602,24.17381
9.163766,1.985318,24.11492
8.97241,1.936849,24.05338
8.768329,1.901409,23.98924
8.552945,1.87916,23.92258
8.327775,1.870198,23.85348
8.094341,1.874564,23.78201
7.854283,1.892238,23.70824
7.609279,1.923141,23.63227
7.361017,1.967136,23.55417
7.11121,2.024032,23.47403
6.861615,2.093568,23.39194
6.613951,2.175438,23.308
6.369939,2.26928,23.22229
6.13126,2.374682,23.13491
5.899593,2.491164,23.04596
5.676534,2.618215,22.95554
5.463633,2.75527,22.86375
5.262356,2.901728,22.77068
5.074113,3.056922,22.67645
4.900223,3.220172,22.58116
4.741863,3.390751,22.48491
4.600148,3.567912,22.3878
4.476067,3.750848,22.28996
4.370474,3.938756,22.19148
4.284099,4.130812,22.09248
4.217549,4.326141,21.99306
4.171281,4.523887,21.89334
4.145617,4.72317,21.79344
4.140735,4.923117,21.69344
4.156669,5.122817,21.59348
4.193307,5.321393,21.49366
4.250397,5.517964,21.39409
4.327545,5.711667,21.29488
4.424214,5.90162,21.19614
4.539721,6.08699,21.09799
4.673286,6.266953,21.00053
4.823973,6.44072,20.90386
4.990726,6.607498,20.8081
5.172396,6.766557,20.71336
5.367731,6.917198,20.61973
5.575356,7.058736,20.52733
5.793842,7.19055,20.43625
6.021669,7.312055,20.3466
6.257269,7.422717,20.25847
6.498985,7.52203,20.17197
6.74515,7.609562,20.08719
6.994054,7.684923,20.00422
7.243983,7.747781,19.92316
7.493191,7.797851,19.84409
7.739924,7.834913,19.76711
7.982517,7.858803,19.6923
8.219261,7.869414,19.61974
8.448504,7.8667,19.54951
8.668667,7.850672,19.4817
8.878228,7.8214,19.41637
9.075717,7.779017,19.3536
9.259771,7.723711,19.29346
9.429113,7.655725,19.23602
9.582576,7.57536,19.18134
9.719078,7.482979,19.12947
9.837682,7.37899,19.08049
9.937563,7.263855,19.03444
10.01803,7.138077,18.99137
10.07852,7.002229,18.95133
10.11862,6.856909,18.91437
10.13804,6.702752,18.88052
10.13666,6.540462,18.84983
10.11448,6.37075,18.82233
10.07165,6.194371,18.79805
10.00847,6.012098,18.77702
9.925393,5.824761,18.75925
9.822981,5.633182,18.74478
9.701948,5.438213,18.73361
9.563128,5.240708,18.72575
9.407497,5.041567,18.72123
9.23613,4.841664,18.72003
9.050214,4.641887,18.72217
8.851032,4.443112,18.72764
8.639974,4.246245,18.73643
8.418525,4.05215,18.74854
8.188172,3.861677,18.76395
7.950565,3.675694,18.78265
7.707333,3.495017,18.80461
7.460163,3.320449,18.8298
7.210759,3.152756,18.85821
6.960876,2.992702,18.8898
6.712236,2.840988,18.92453
6.466565,2.698288,18.96236
6.225557,2.565229,19.00327
5.990907,2.442417,19.04719
5.764231,2.33039,19.09407
5.547103,2.229645,19.14388
5.341022,2.140627,19.19655
5.147426,2.063739,19.25202
4.967677,1.999318,19.31023
4.802981,1.947649,19.37113
4.654521,1.908966,19.43463
4.52331,1.883437,19.50067
4.410259,1.871177,19.56917
4.31615,1.87224,19.64007
4.241643,1.886622,19.71327
4.187253,1.914258,19.78871
4.153354,1.955025,19.86629
4.140183,2.008745,19.94593
4.147833,2.075175,20.02754
4.176249,2.154021,20.11103
4.225234,2.244933,20.19631
4.294452,2.347514,20.28329
4.38342,2.461296,20.37185
4.491511,2.585778,20.46192
4.618,2.720417,20.55339
4.761981,2.864599,20.64614
4.922465,3.017689,20.7401
5.098341,3.179009,20.83514
5.288394,3.347851,20.93117
